"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Epiphanny Prince","SEA",29,416,45,101.73053152039556,96.52605459057071,149,0.21739130434782608,0.6363636363636364,0.3684210526315789,0.3333333333333333,7,6,1,2,4,0,0,1,1,0.14285714285714285,20,10,10,0
"Satou Sabally","DAL",17,413,39,106.91747572815534,102.4330900243309,182,0.32432432432432434,0.22727272727272727,0.3448275862068966,0.2857142857142857,14,13,1,7,5,1,1,0,8,0.5714285714285714,4,0,4,0
"Bella Alarie","DAL",31,407,46,100.77021822849808,94.62227912932138,67,0,0.26666666666666666,0.15384615384615385,1,20,20,0,11,9,0,0,0,14,0.7,18,4,14,0
"Erica McCall","WAS",23,352,-29,98.14814814814815,101.98863636363636,66,0,0.09090909090909091,0.4,0.5,9,9,0,3,6,0,0,0,2,0.2222222222222222,7,0,7,0
"Natasha Howard","NYL",13,347,-69,100.56179775280899,110.40787623066103,178,0.08333333333333333,0.34615384615384615,0.21428571428571427,0.18181818181818182,7,7,0,2,5,0,0,0,5,0.7142857142857143,17,8,9,0
"Charli Collier","DAL",28,345,-98,98.36065573770492,113.47305389221557,54,0,0.2777777777777778,0.15789473684210525,0.1111111111111111,5,5,0,4,1,0,0,0,3,0.6,4,1,3,0
"Astou Ndour-Fall","CHI",20,342,-60,92.28571428571429,100.2840909090909,99,0.23076923076923078,0.3333333333333333,0.36363636363636365,0.1111111111111111,16,16,0,12,3,1,0,0,8,0.5,7,2,5,0
"Rachel Banham","MIN",27,341,63,106.54069767441861,97.38372093023256,116,0.20930232558139536,0,0.5,0.4,4,4,0,1,3,0,0,0,2,0.5,8,3,5,0
"Shatori Walker-Kimbrough","WAS",17,340,-26,99.70544918998527,103.84047267355983,113,0.23529411764705882,0.6666666666666666,0.07692307692307693,0.25,5,4,1,2,1,1,0,1,4,0.8,13,2,11,0
"DiDi Richards","NYL",31,336,-70,91.43686502177069,101.89228529839883,61,0.18181818181818182,0.18181818181818182,0.375,0.2,6,6,0,2,4,0,0,0,4,0.6666666666666666,17,7,10,0
"Bria Holmes","LVA",19,318,-76,92.50398724082935,104.96,68,0.32,0.3684210526315789,0.2857142857142857,0.14285714285714285,6,3,3,1,2,0,1,2,4,0.6666666666666666,16,4,12,0
"Aerial Powers","MIN",14,309,48,106.0702875399361,97.93322734499205,167,0.125,0.4,0.5238095238095238,0.2727272727272727,5,4,1,3,1,0,0,1,2,0.4,5,1,4,0
"Lauren Cox","LAS",26,305,-78,87.03071672354949,101.37931034482759,59,0.4,0.125,0.2857142857142857,0,16,15,1,7,8,0,0,1,9,0.5625,14,4,10,0
"Emma Cannon","IND",20,295,-60,99.47916666666667,108.9500860585198,91,0.4117647058823529,0.25,0.6,0.16666666666666666,4,4,0,2,2,0,0,0,1,0.25,5,4,1,0
"Arella Guirantes","LAS",25,284,-8,97.99635701275045,98.37837837837839,70,0.05555555555555555,0,0.125,0.3157894736842105,4,4,0,2,2,0,0,0,2,0.5,8,4,4,0
"Chennedy Carter","ATL",11,280,-10,102.26086956521739,104,139,0.25,0.21739130434782608,0.16666666666666666,0.09090909090909091,4,3,1,1,1,1,0,1,1,0.25,8,2,6,0
"Beatrice Mompremier","CON",32,275,-23,91.86046511627907,97.45098039215686,38,0,0.47368421052631576,0.5,0,8,8,0,3,5,0,0,0,4,0.5,12,4,8,0
"Cheyenne Parker","ATL",13,270,-51,105.80524344569288,115.14018691588785,119,0.21052631578947367,0.26666666666666666,0.23809523809523808,0.2,12,12,0,7,5,0,0,0,8,0.6666666666666666,15,4,11,0
"Natalie Achonwa","MIN",21,253,22,101.00401606425702,97.17171717171716,64,0,0.2222222222222222,0.2857142857142857,0.125,5,5,0,5,0,0,0,0,3,0.6,12,4,8,0
"Shekinna Stricklen","ATL",24,236,-80,87.20682302771854,104.93562231759657,54,0.2553191489361702,0,0,0.2,4,4,0,1,3,0,0,0,3,0.75,10,2,8,0
"Jessica Shepard","MIN",22,231,-9,100,101.30434782608697,31,0.3333333333333333,0.5714285714285714,0.125,0,4,3,1,2,1,0,0,1,2,0.5,3,2,1,0
"JiSu Park","LVA",25,223,2,106.75381263616558,105.39956803455723,38,0.3333333333333333,0.2857142857142857,0.1,0.3076923076923077,16,16,0,5,10,1,0,0,6,0.375,3,1,2,0
"Dana Evans","CHI",29,221,1,104.75113122171946,103.12499999999999,92,0.2962962962962963,0.4,0.2727272727272727,0.2857142857142857,1,1,0,0,1,0,0,0,0,0,5,1,4,0
"DiJonai Carrington","CON",24,221,11,95.08196721311477,95.41062801932368,60,0.29411764705882354,0.25,0.375,0,3,1,2,1,0,0,0,2,1,0.3333333333333333,13,5,8,0
"Reshanda Gray","NYL",15,210,-34,102.8708133971292,111.27098321342926,72,0.2857142857142857,0.25,0.4444444444444444,0,4,4,0,3,1,0,0,0,2,0.5,4,1,3,0
"Leaonna Odom","NYL",18,207,-68,91.52542372881356,107.21153846153845,52,0.09090909090909091,0,0.3333333333333333,0,5,5,0,4,1,0,0,0,1,0.2,5,1,4,0
"Karlie Samuelson","SEA",14,206,-1,95.02487562189056,96.71717171717172,48,0.21052631578947367,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,7,4,3,0
"Kennedy Burke","SEA",23,176,-50,96.19883040935673,109.85507246376811,63,0.08333333333333333,0.4166666666666667,0,0.3333333333333333,3,3,0,3,0,0,0,0,1,0.3333333333333333,7,3,4,0
"Kysre Gondrezick","IND",19,173,-71,88.95348837209302,110.55718475073313,36,0.45,0.75,0,0.375,0,0,0,0,0,0,0,0,0,0,7,3,4,0
"Lexie Brown","CHI",17,162,-1,95.6923076923077,96,28,0.28,1,0.5,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0
"Awak Kuier","DAL",16,142,-24,98.54014598540145,104.25531914893618,30,0.5333333333333333,0,0.375,0.5,12,11,1,2,8,1,1,0,5,0.4166666666666667,5,0,5,0
"Blake Dietrick","ATL",9,141,-6,97.76951672862454,100,21,0.45454545454545453,0,0.3333333333333333,0,1,1,0,0,0,1,0,0,1,1,5,1,4,0
"Kristine Anigwe","LAS",10,136,-21,101.5267175572519,105.90405904059041,23,0,0.125,0.2222222222222222,0,1,1,0,0,1,0,0,0,1,1,5,0,5,0
"Chiney Ogwumike","LAS",7,134,14,96.64179104477611,93.15589353612168,38,0,0.2,0.2777777777777778,0,3,3,0,2,1,0,0,0,2,0.6666666666666666,6,4,2,0
"Destiny Slocum","LVA",21,133,46,100.7380073800738,84.38661710037175,22,0.5555555555555556,0,0,0,1,1,0,0,1,0,0,0,0,0,3,2,1,0
"Aaliyah Wilson","IND",14,119,-60,90.5982905982906,116.23931623931625,15,0.3333333333333333,0.25,0.5,0.125,2,2,0,2,0,0,0,0,1,0.5,3,1,2,0
"Alanna Smith","PHO",18,117,-6,95.53571428571428,98.65470852017937,19,0.29411764705882354,0.5,0.3333333333333333,0.5,6,6,0,3,3,0,0,0,3,0.5,7,3,4,0
"Megan Gustafson","WAS",11,109,-61,90.04739336492892,116.74418604651163,35,0,0,0.2,0,1,1,0,1,0,0,0,0,0,0,2,0,2,0
"Bernadett Hatar","IND",7,106,-57,85.07462686567165,111.76470588235294,32,0,0,0.125,0.5,3,3,0,3,0,0,0,0,2,0.6666666666666666,3,2,1,0
