player,team,Usage,pct_FGA,pct_3PA,pct_FTA,pct_OREB,pct_REB,pct_AST,pct_TOV,pct_BLA,pct_PF,pct_PFD
GLORY JOHNSON,DAL,16.9,19.4,32.3,9.3,16.3,25.8,15.9,12.3,16.2,13.1,15.6
MARINE JOHANNÈS,NYL,16.8,18.3,36.7,11.6,10.2,11.5,24.6,15.6,3.3,16.6,9.5
RENEE MONTGOMERY,ATL,16.7,17.7,39.2,12.3,4.4,8.7,24.0,18.6,7.9,13.5,16.1
KRISTINE ANIGWE,DAL,16.7,16.2,0.0,25.8,47.5,33.2,6.0,17.2,37.5,30.0,23.4
ALANNA SMITH,PHO,16.7,18.5,25.0,4.7,39.3,32.4,8.9,17.4,18.2,31.6,14.5
TAMERA YOUNG,LVA,16.6,16.8,7.3,15.6,22.9,20.7,22.9,19.3,15.3,20.3,15.2
AMANDA ZAHUI B,NYL,16.6,17.7,23.3,13.1,22.8,31.7,7.5,15.8,13.1,28.7,16.3
STEFANIE DOLSON,CHI,16.3,15.7,16.8,15.9,24.8,23.5,15.3,20.5,11.8,34.3,21.8
ASIA (AD) DURR,NYL,16.2,17.8,21.6,12.0,5.0,7.0,14.3,11.7,7.8,14.7,12.4
NATISHA HIEDEMAN,CON,15.9,16.6,25.7,22.0,12.5,16.9,43.7,16.0,13.3,23.1,23.7
KENNEDY BURKE,IND,15.8,16.1,22.6,21.6,16.5,11.3,12.6,13.5,28.2,14.9,17.6
JILLIAN ALLEYNE,MIN,15.8,27.3,0.0,0.0,66.7,50.0,20.0,0.0,100,0.0,0.0
STEPHANIE TALBOT,MIN,15.8,16.1,38.8,15.1,13.8,16.5,14.9,17.6,5.0,16.3,13.5
TIFFANY BIAS,NYL,15.7,15.9,35.2,14.0,0.0,6.6,21.2,20.0,11.8,16.7,14.0
ELIZABETH WILLIAMS,ATL,15.6,15.1,0.0,28.1,46.5,25.6,10.3,13.1,38.2,19.4,23.2
ASTOU NDOUR-FALL,CHI,15.5,17.9,16.7,9.6,33.7,26.0,7.0,10.7,22.5,18.5,10.8
JAMIERRA FAULKNER,CHI,15.3,16.4,27.3,13.8,12.5,6.8,37.9,17.9,25.0,23.5,19.0
CAROLYN SWORDS,LVA,15.2,16.2,0.0,11.1,29.2,26.4,8.5,17.6,31.6,25.5,13.1
SUGAR RODGERS,LVA,15.2,16.9,48.3,2.5,4.8,14.0,19.9,19.1,8.8,20.9,6.1
SHEKINNA STRICKLEN,CON,15.2,17.5,44.2,8.1,4.2,8.7,9.3,10.5,1.4,24.7,6.0
NATASHA CLOUD,WAS,15.0,14.6,20.3,13.9,2.7,9.4,32.2,20.6,8.5,16.5,10.2
