Player,Team,pct_FGA_2PT,pct_FGA_3PT,pct_PTS_MR,pct_PTS_FB,pct_PTS_FT,pct_PTS_IP,pct_AST_2PT,pct_UAST_2PT,pct_AST_3PT,pct_UAST_3PT,Usage,pct_FGA,pct_3PA,pct_FTA,pct_OREB,pct_REB,pct_AST,pct_TOV,pct_BLA,pct_PF,pct_PFD,Unnamed: 0,RA_FGA,ITP_FGA,MR_FGA,LC3_FGA,RC3_FGA,AB3_FGA,Year,year,Total Minutes
DOMINIQUE CANTY,CHI,0.9048138968796886,-0.9047625117575462,-0.8576795512092348,0.14489695650362247,0.5699792404052766,0.3801605121938434,-0.2058132907426942,0.46911783012635005,-1.2867847393457368,4.559571942714906,-0.02725233699808111,-0.488539863675718,-0.7664334855423639,1.0140457530525953,-0.6005884515440543,-0.825497658086844,1.5899744115541425,0.15925559438296147,0.17159723814059955,-0.045236820273812914,0.8089269199538663,-0.766803726779178,0.7155795840161514,0.47685239537369944,0.3278104874191908,-0.7508748582482482,-0.654372882243936,-0.6679609293074007,0,2008,736.4
JESSICA MOORE,LAS,1.043242951079469,-1.050196595388868,-0.9154024233697831,-0.9928430149046235,0.16232570302181729,0.8082459389388552,0.30853157739768117,-0.05898623259112411,-1.2867847393457368,-0.5523244282013415,-1.764588820625758,-1.7274032160911246,-1.0286280260509966,-0.580477475695456,-0.11848739688726616,-0.4437646370062226,-0.4313745738097906,-0.8785300004943011,0.29782968918655767,0.7870520020694295,-0.567835418020244,-0.3698700329170152,-0.6433846111480531,-1.022012432649498,-0.6576740676614659,-0.7508748582482482,-0.654372882243936,-0.8808804064966995,0,2008,310.8
PLENETTE PIERSON,DET,1.0138792123098184,-1.0193469412852543,-0.9154024233697831,0.32297799550665235,0.08174302702741253,0.6009624691465336,0.7465283791734694,-0.508699848498973,-1.2867847393457368,-0.5523244282013415,1.178663575167012,0.9450020155478243,-0.9761891179492701,1.2981274777146046,0.650079501840947,0.3415147206453415,0.2110032817084085,0.47510338412821485,0.49831652320072656,0.4574326664879474,1.5677723030892028,0.8028886080393746,1.9386473596639353,0.8515686023794988,1.0504991611450056,-0.7508748582482482,-0.654372882243936,-0.8099072474335999,0,2008,649.6
QUIANNA CHANEY,CHI,-1.4820385831104643,1.6028736575219118,1.433474451470985,0.8967946767386373,-0.47759554752198535,-0.27323303389064846,-0.5232605140480819,0.795057056334791,0.6319652403482727,0.3013622657416719,0.42241122347025867,0.6972293450647425,2.1060533693633214,-0.7454281545314615,-0.998845844521401,-0.6618977919094349,0.6563852615343597,0.7007089482319675,-1.4694246254568573,-0.5149443734774248,-0.31850050641863353,0.8209310486694729,-0.8472292404226838,-0.7722016279789651,-0.7233730380001762,0.005912400458647814,-0.654372882243936,0.5385827747652924,0,2008,238.0
ERLANA LARKINS,NYL,1.043242951079469,-1.050196595388868,-0.9154024233697831,-0.8345487580130414,0.03908161032449242,1.4796641345705055,0.27638502313890756,-0.021853915681301777,-1.2867847393457368,-0.5523244282013415,0.3610934652245758,-0.028390618492852397,-1.0286280260509966,1.5180617161626118,1.6142816111545237,0.6687144530001599,-0.28576892655899877,0.5503052388294657,1.1294787784305176,0.7870520020694295,1.773744621368794,-0.5863793204781949,0.7835277937743618,-0.5223908233084321,-0.9861689193550178,-0.7508748582482482,-0.654372882243936,-0.8808804064966995,0,2008,334.8
MURRIEL PAGE,LAS,0.3594873197290386,-0.33184036411900564,-0.2804508296037531,0.4219119060638911,-0.2737687788302556,-0.01638177784364118,1.7470898804777932,-1.536027283004059,1.0166366048247428,-0.5523244282013415,-1.335364512905979,-1.0371793483168266,-0.4576265822766411,-0.763756007735462,-0.020669791594584336,-0.3674180327900984,-0.32002907885330273,-1.1793374192993045,0.6988033572148954,0.32558493225535445,-0.8713735712743786,0.5863793204781949,-0.7792810306644736,-1.1469178349847644,-0.46057715664533444,-0.3724812288948002,0.012150159617261366,-0.6679609293074007,0,2008,243.0
SANCHO LYTTLE,ATL,1.043242951079469,-1.050196595388868,-0.9154024233697831,-0.458599897895534,-0.36383176964753144,1.7996016640325674,1.116213753149364,-0.8882746435771574,-1.2867847393457368,-0.5523244282013415,0.17714019048752794,0.3255703393401209,-1.0286280260509966,0.23511199188257018,1.0623108384315338,2.021140013400076,-0.6283704495020382,-0.5025207269880466,0.09734285517238883,0.16077526446461338,-0.03664364982550861,0.9111432518199644,1.1912170523236232,0.9764740047147651,-0.5262761269840449,-0.7508748582482482,-0.654372882243936,-0.8808804064966995,0,2008,488.7000000000001
CATHY JOENS,CHI,-1.9518584034248703,2.0964681231797315,2.312638196685488,-0.1914783393909894,-0.837847510791089,-1.278107246144729,0.8268947648204029,-0.5912161082985783,0.8254526332585932,-0.12803702941529285,0.17714019048752794,0.48485277036495866,1.907950827645688,-1.075329512203472,-0.9569240136816803,-0.3674180327900984,-0.4827648022512465,0.3848611584867141,-1.4694246254568573,-0.3830966392448319,-1.4025653394691142,-1.0915676581209475,-1.0510738696973145,-0.8971070303142314,-0.6576740676614659,-0.3724812288948002,3.6780268898538466,0.9644217291438899,0,2008,273.0
CHELSEA NEWTON,SAC,0.7328262840860217,-0.7240716805792371,-0.6889511556630171,0.27351104022803296,0.40881388841646715,-0.03891258977758918,0.5817772885972553,-0.33954151590978204,1.0166366048247428,-0.5523244282013415,-0.5382336557121037,-0.45314376789242045,-0.6499025786496384,0.00601382683256276,-0.5516796488977135,-0.8800309468126472,0.36517396703277605,-0.637884065450298,-0.4744158936828337,0.2514205817495211,-0.014962353164499079,-1.0193978956005543,-0.3715917721152122,-0.02276921396736637,-0.19778127529049272,-0.7508748582482482,-0.654372882243936,-0.5260146111812015,0,2008,392.6
HAMCHETOU MAIGA-BA,SAC,0.9970999330128757,-1.0017185675117606,-0.8487991093383813,2.0938949944812264,-0.5392175938706478,1.0335540582783351,0.44515443299746826,-0.19926387425045308,1.0166366048247428,-0.5523244282013415,0.05450467399616222,0.09549571674868815,-0.9587094819153612,-0.3422153840434484,-0.12547436869388612,-0.41104466377074067,-0.2686388504118468,0.14421522344271107,0.3572331955611263,-0.11116068739010938,-0.4594289347151959,-0.5322519985879,1.0553206328072027,-0.2725800186378993,0.7220043094514534,-0.3724812288948002,-0.654372882243936,-0.8808804064966995,0,2008,590.1999999999999
NIKKI BLUE,WAS,-0.27393047373056295,0.3336307458303759,0.9672512532511727,-0.09254442883375062,-0.2642884640073845,-0.5481089394848139,-0.7161398396007225,0.9930960798538438,0.8530936893886389,-0.1893797858662879,-1.0287757216775655,-1.0725754441001238,0.1308544975316229,-0.6079692555014571,-0.6145623951572945,-1.1199774172061805,1.4101086120090467,-0.14155182442204206,-0.2739290596686647,-0.08643923722149817,-0.9038955162658932,0.7307188455189813,-0.7113328209062634,-0.02276921396736637,-0.2634802456292032,-0.3724812288948002,-0.3211113613133373,-0.029202497739504434,0,2008,538.1999999999999
SHANNON BOBBITT,LAS,-1.3016613306683262,1.413368639456856,1.5977626260817759,0.31308460445092834,-0.45863491787624305,-0.714836947796029,-1.716701340905046,2.0204235143589298,0.555952335990647,0.4700548459819081,-0.4769158974664212,-0.6832183904838532,0.8358664842326127,-0.855395273755465,-0.6355233105771548,-0.6946177651449168,1.564279297333414,1.061677850797972,-0.006613280983106319,-0.6055896907623324,-0.8930548679353881,1.0374403362306526,-0.3715917721152122,-0.5223908233084321,-0.7233730380001762,1.141093288518992,0.3454116805478599,0.751502251954591,0,2008,551.1999999999999
