Player,Team,Year,Pos,Archetype,DBPM,mean,Total Minutes,BPM,RAPM
BETHANY DONAPHIN,NYL,2003,PowerF,Secondary Creator/Distributor,6.7929270265102355,30.171444827784175,1.7,3.5932728359336705,29.499760068452233
LEVYS TORRES,MIA,2001,C,Secondary Creator/Distributor,6.763769418050634,14.621447732741004,7.8,5.2373234065588115,17.47248248706095
ERIKA DE SOUZA,LAS,2002,PowerF,Interior Primary Option,6.732770748297998,-17.84086257100973,41.8,3.873689736032217,-18.200794067450516
SANIYA CHONG,DAL,2018,G,Roller/Cutter,6.651371902681442,7.786006437951866,42.5,5.918636590141357,8.108653989811879
MARCEDES WALKER,HOU,2008,C,Interior Primary Option,6.6330762359113855,20.547556569913542,10.8,-22.734177247366436,-31.588935886027958
LANAY MONTGOMERY,SEA,2017,C,Roller/Cutter,6.628590061449059,8.681053048757848,28.699999999999996,1.6013547428231574,-9.354702335228781
DELISHA MILTON-JONES,ATL,2014,F,Secondary Creator/Distributor,6.619744477994912,1.0216110224049952,342.3,-4.307863119739908,-6.134137774177282
CHANEL MOKANGO,LAS,2010,F,Roller/Cutter,6.593145571731489,3.849123472754813,71.39999999999999,-4.60239736073113,-18.56876130012533
RAINA PEREZ,SEA,2022,G,Secondary Creator/Distributor,6.576291641835893,-48.37399434791374,2.3,14.531091811031482,-50.18902941595722
KERRI GARDIN,WAS,2011,F,Roller/Cutter,6.306657505635769,2.443005787270769,392.0,-1.6311038069374177,-9.352951415385261
WILLNETT CROCKETT,PHO,2008,F,Roller/Cutter,6.149284251894929,7.688871710381565,41.5,2.294733175182303,14.68908937629378
NADIRAH MCKENITH,MIN,2014,G,Roller/Cutter,6.1137333026102185,18.162975761945827,24.0,-0.31827926065125745,-9.652409379035543
NICKY ANOSIKE,LAS,2012,PowerF,Roller/Cutter,6.1110154596674535,5.556182608780948,57.0,1.91321178334917,-7.402874139344395
CHRISTY SMITH,CHA,1999,G,Spot-up Shooter,6.082009738712953,-5.037579071351883,19.2,0.7762548720051639,-2.264814651603258
COURTNEY COLEMAN,CON,2003,F,Roller/Cutter,6.058360910722276,7.517563220841895,142.0,0.0499786148246546,-5.975948075554797
SLOBODANKA TUVIC,PHO,2001,C,Roller/Cutter,6.034154906856431,4.166388590532356,324.0,2.4982250653898683,7.134663293126639
CHRISTI THOMAS,MIN,2009,PowerF,Roller/Cutter,5.938783682416228,3.7826792571991192,66.0,-2.3582269676481973,-18.61383677508996
CHUCKY JEFFERY,NYL,2014,G,Roller/Cutter,5.884995125565377,10.317105731808736,72.0,0.8993535313741017,-11.869379822144081
MEGAN HUFF,LVA,2020,F,Roller/Cutter,5.841665580646287,9.528343538516571,15.400000000000002,-23.72558569299705,-26.34415322692403
SHANELE STIRES,MIN,2002,F,Spot-up Shooter,5.795926961844986,31.705673984509257,19.8,3.2474701522814415,31.387495619347696
ZANE TAMANE,PHO,2012,C,Roller/Cutter,5.744410735831984,-15.960461162403544,14.6,-6.446737719170491,-46.67747656807727
ASHLEY ROBINSON,SEA,2009,C,Roller/Cutter,5.679734153175303,2.962301132371129,166.4,1.115653239219073,-10.33813065867534
SAM THOMAS,PHO,2023,SG,Roller/Cutter,5.570692782923257,17.77405937625101,10.8,-1.6288865481369177,-21.490059093760777
KELLY SCHUMACHER,DET,2009,C,Secondary Creator/Distributor,5.552010894595136,3.0837841844399665,9.9,0.9466345795857087,-23.136137340289874
EVINA WESTBROOK,LAS,2023,G,Secondary Creator/Distributor,5.527237028934877,10.155834437796855,127.8,-1.5067873461295118,14.934832718608641
ADRIANNE ROSS,SAN,2008,G,Roller/Cutter,5.451454703113779,-8.174889086549085,6.8,-9.55424346916421,-45.18901617725417
TINA KRAJISNIK,CHI,2022,C,Roller/Cutter,5.44639922973306,-11.429000241396702,5.4,22.880756629573302,56.83521801821929
HALEY GORECKI,PHO,2021,G,Secondary Creator/Distributor,5.420936437131091,7.471183840592041,6.300000000000001,-16.98164970403227,-44.82213029950689
TAMMY JACKSON,HOU,2002,PowerF,Roller/Cutter,5.397621299347163,14.813052518609116,70.0,-1.1462809306087438,13.045243517636836
ANGEL MCCOUGHTRY,MIN,2022,SG,Interior Primary Option,5.327207735886995,-16.57953803502514,19.8,3.7124898006152383,-53.37542217645523
NADIA COLHADO,ATL,2015,C,Roller/Cutter,5.252238259142722,-16.496042865990173,31.799999999999997,-0.41852029041787286,-33.66746661803072
LA'SHAWN BROWN,WAS,1998,C,Roller/Cutter,5.220337605678224,-6.314852810169958,254.1,-1.07936877508335,-8.932257508942786
CHARMIN SMITH,MIN,1999,G,Roller/Cutter,5.2120145158273825,19.875112014357963,54.6,-1.051418952534375,9.551906735193743
CHRISTI THOMAS,CHI,2010,PowerF,Roller/Cutter,5.2092188154808925,-4.209438590114794,126.0,0.8790037967845459,-16.49418407600268
BLAKE DIETRICK,SEA,2019,G,Secondary Creator/Distributor,5.203070128379195,5.711558002231993,105.4,-3.3985381666408214,-9.094020412310293
MADINAH SLAISE,DET,2000,G,Secondary Creator/Distributor,5.18853691420691,62.98338969773506,6.6000000000000005,-15.649175791072661,85.91022487782104
KAILA CHARLES,ATL,2022,SG,Roller/Cutter,5.172745307050596,-49.06639529252054,2.0,18.30091541429626,-29.290941734586074
JESSICA MOORE,LAS,2005,PowerF,Roller/Cutter,5.163144253217484,6.635965772032666,153.29999999999998,1.3822526507643018,6.820005563926299
NANCY LIEBERMAN,DET,2008,G,Secondary Creator/Distributor,5.126668287736838,15.300606695143722,9.2,-9.778318946736157,14.398378654372964
ALLIE QUIGLEY,SEA,2011,G,Secondary Creator/Distributor,5.0366289967844065,9.939868935712951,14.0,-1.391752822328022,-16.687155384239034
AYANA WALKER,CHA,2006,F,Roller/Cutter,5.0329503735448125,5.628447810033938,182.5,0.7535006695361464,8.76725883130378
JESSICA BRUNGO,CON,2006,F,Secondary Creator/Distributor,4.992453121524256,-10.889557616285964,7.2,-28.72648760592726,-43.2609608251545
STACEY THOMAS,POR,2001,F,Roller/Cutter,4.968768084126078,6.603032161962137,409.6,1.7186896820488577,8.665119432536462
ASHLEY ROBINSON,SEA,2008,C,Roller/Cutter,4.866695477303678,0.6250279789470591,330.0,0.9751547633837938,-13.905998688022848
TIFFANY STANSBURY,LAS,2010,PowerF,Roller/Cutter,4.852210464053974,6.79438126024808,14.0,-8.71434581714366,-21.37571833367621
KATIE MATTERA,CHI,2009,C,Roller/Cutter,4.836728010076692,3.1250424827036767,102.0,-0.36925804548218544,-15.079323783195118
VICTORIA MACAULAY,CHI,2015,F,Roller/Cutter,4.807235618442023,-21.345298489947595,24.8,-8.975687784197136,-18.17642350443157
FLORINA PASCALAU,SEA,2008,C,Roller/Cutter,4.801613528888613,-2.60056569574974,9.3,-6.372819930647637,-3.644809131129099
NAKIA SANFORD,WAS,2005,PowerF,Roller/Cutter,4.788018321998221,11.014008298914666,291.6,-0.771398610005015,8.852163978503114
CHARMIN SMITH,PHO,2003,G,Spot-up Shooter,4.697799327681693,21.16978156711045,17.6,1.6996982799309608,20.121277972089956
TAMMY JACKSON,HOU,1997,PowerF,Roller/Cutter,4.681759969861246,4.504753617153402,532.0,,
KAMIAH SMALLS,MIN,2022,G,Secondary Creator/Distributor,4.678586479602651,1.7047121362061397,33.900000000000006,-5.500363695117746,-12.732035663743787
TARI PHILLIPS,HOU,2007,PowerF,Roller/Cutter,4.671760786497646,-18.9190536291915,34.8,-3.295550445167809,-22.918728262061013
KIAH STOKES,LVA,2023,C,Roller/Cutter,4.650032328835275,5.619811773965486,792.0,3.597196474493235,10.080745401156172
CAMERON BRINK,LAS,2024,F,Secondary Creator/Distributor,4.644231478175326,1.8148109566937312,330.0,2.373877743235004,-5.354534328248809
ASHLEY ROBINSON,SEA,2007,C,Roller/Cutter,4.630347476147028,4.702657348276264,409.2,1.1348675425143693,5.4408510432193715
ERIN PERPEROGLOU,SAC,2005,F,Roller/Cutter,4.619566550632581,-0.9464144504857248,207.0,1.5019722901621901,-5.279828128331139
SHEREKA WRIGHT,PHO,2005,F,Spot-up Shooter,4.6110166338759875,-2.905353020420196,347.5,-0.46641817337505564,-3.149336080073024
TAKEISHA LEWIS,SEA,2002,PowerF,Roller/Cutter,4.606410653603115,7.998775881568114,56.0,-0.1769402503610058,6.981602241684188
LAUREN COX,LAS,2021,F,Roller/Cutter,4.58312908190988,2.605720183652047,304.2,0.1710189019442785,-10.776633688994803
NIKKI GREENE,LAS,2014,PowerF,Roller/Cutter,4.527121230124997,7.803155320022251,37.4,-5.994996367835667,-7.347444912264667
COQUESE WASHINGTON,NYL,1999,G,Secondary Creator/Distributor,4.481171684562032,13.855753659310537,74.1,2.7927239135602937,14.501671130563198
DEMYA WALKER,SAC,2008,F,Roller/Cutter,4.478551138616161,2.039419829030169,51.8,-9.31842793517212,-13.22667686658839
A'QUONESIA FRANKLIN,SEA,2009,G,Secondary Creator/Distributor,4.469418053920069,20.622766313348706,19.6,-11.887140920592621,26.99396464082892
LINDA FROHLICH,NYL,2002,PowerF,Secondary Creator/Distributor,4.467769141498376,12.57299502773517,67.2,0.2956332341796992,9.581258404499177
VICKI HALL,LAS,2002,F,Roller/Cutter,4.41743096490896,9.223206694653546,19.200000000000003,-3.1079306898687564,3.8730062437466035
TAMMY SUTTON-BROWN,IND,2011,C,Roller/Cutter,4.4137285187839375,1.2065792252618477,646.0,1.0975624643624387,1.142866718822079
EUGENIA RYCRAW,LAS,1998,C,Roller/Cutter,4.395886400235746,6.812440605210242,228.0,1.399051463720852,6.246878730025641
BARBARA FARRIS,DET,2009,PowerF,Roller/Cutter,4.390854801334049,30.52416216361613,110.5,-2.289782532850441,15.418396044237857
KAREN BOOKER,UTA,1997,C,Roller/Cutter,4.383868617422768,-1.2316258520250811,322.40000000000003,,
MICHELLE EDWARDS,SEA,2001,G,Secondary Creator/Distributor,4.329507014668053,-6.233731406527753,12.6,-1.0556145193569382,-11.477893153414183
ALISON BALES,ATL,2010,C,Roller/Cutter,4.326216521625447,9.715931983330693,530.4,2.8673665836390896,8.784316017051937
DAVELLYN WHYTE,SAN,2014,G,Secondary Creator/Distributor,4.262607399847608,-11.877091152490404,9.8,-16.79361766213912,-43.9675783326354
JACINTA MONROE,WAS,2010,F,Roller/Cutter,4.188664154748344,-5.492030944953098,117.3,-1.4344220113807022,-17.801968494037187
TAMMY JACKSON,HOU,1998,PowerF,Roller/Cutter,4.166867151983364,8.107893174503733,174.3,,
CHELSEA HOPKINS,ATL,2017,G,Secondary Creator/Distributor,4.116449386245842,-2.8584208329720067,8.7,-8.243128612337763,-36.277915250289354
KIAH STOKES,LVA,2022,C,Roller/Cutter,4.101123170574242,2.646973093488552,474.3,1.8752238220556103,3.5572308702965927
DETRINA WHITE,NYL,2005,F,Roller/Cutter,4.080079117314818,0.0793384460097579,91.0,-0.6311211920796058,-19.96545145563289
JENNIFER HAMSON,LAS,2015,C,Roller/Cutter,4.038394608244386,0.3644656750086225,162.5,4.284187616263689,-6.694537470206193
SLOBODANKA TUVIC,PHO,2004,C,Roller/Cutter,3.983312083531705,6.762139459044899,693.0,1.2266381530122894,6.009150138865484
KAELA DAVIS,ATL,2020,F,Secondary Creator/Distributor,3.9633952415763876,-26.218659714031247,2.4,-22.965230178555444,-71.5724196097847
LAUREN COX,CON,2023,F,Secondary Creator/Distributor,3.9633952415763876,-100.007064534716,0.1,-22.965230178555444,-203.11690755932085
EMMA CANNON,LVA,2020,F,Secondary Creator/Distributor,3.9633952415763876,101.47761470535798,0.4,-22.965230178555444,-1.2403216041998206
MIKIAH HERBERT HARRIGAN,SEA,2021,F,Secondary Creator/Distributor,3.9633952415763876,33.83133058093486,1.2,-22.965230178555444,33.24871650246942
ADAORA ELONU,ATL,2018,F,Secondary Creator/Distributor,3.9633952415763876,103.20196159125352,1.1,-22.965230178555444,149.95012551941127
STACEY THOMAS,DET,2003,F,Spot-up Shooter,3.950396725395626,13.92833592614194,267.0,-2.7421999310038956,-15.559061938967336
AYANA WALKER,DET,2007,F,Roller/Cutter,3.9274029001752258,-10.089347334483753,43.2,-10.11062152415066,-22.544887983924262
