Player,Team,Year,Pos,Archetype,OBPM,mean,Total Minutes
RIQUNA WILLIAMS,TUL,2014,G,Primary On-Ball Creator,-4.301734503718216,2.5445369303974052,178.2
MISTIE BASS,PHO,2014,F,Roller/Cutter,-4.301794107666086,-3.3882767447522,496.4
ALYSSA THOMAS,CON,2015,F,Interior Primary Option,-4.308560721598826,-0.1121482882847789,624.0
KELSEY BONE,CON,2015,C,Interior Primary Option,-4.312282569044531,0.1236613671080995,960.3
CHANTE BLACK,TUL,2010,C,Roller/Cutter,-4.31759635756657,-5.14082169040574,710.5999999999999
QUANITRA HOLLINGSWORTH,MIN,2009,C,Interior Primary Option,-4.318398243364416,-3.8761944701059488,435.2000000000001
KELLY SCHUMACHER,IND,2003,C,Interior Primary Option,-4.320589410029603,-3.99975560247422,479.4
NATASHA HOWARD,IND,2014,F,Interior Primary Option,-4.322743608875596,-2.7352645069897785,574.5999999999999
SHEKINNA STRICKLEN,ATL,2021,F,Spot-up Shooter,-4.324220075858942,-14.347244637885249,235.2
KISHA FORD,ORL,1999,SG,Roller/Cutter,-4.327865919897807,-2.2647034038187654,44.0
RONEEKA HODGES,TUL,2014,G,Spot-up Shooter,-4.329012395886536,2.1691265388772223,724.2
CHRISTI THOMAS,CHI,2010,PowerF,Roller/Cutter,-4.330215018696347,-12.284745485887884,126.0
LADY GROOMS,SAC,2001,F,Roller/Cutter,-4.33660690480009,3.881978119495391,542.5
CAMILLE SMITH,SEA,2009,F,Interior Primary Option,-4.336664575999347,-0.498560969428233,1043.8
TEMEKA JOHNSON,LAS,2015,G,Secondary Creator/Distributor,-4.338224116611307,-1.3869667591866153,720.8
DEARICA HAMBY,LAS,2023,F,Interior Primary Option,-4.345650755891426,-1.7558000208109303,988.0
RUTH RILEY,DET,2003,C,Roller/Cutter,-4.348135890521677,6.2952216064449305,996.2
SVETLANA ABROSIMOVA,MIN,2001,F,Perimeter-Oriented Big/Wing,-4.348683733869649,-4.181594035266715,845.0
TULLY BEVILAQUA,IND,2010,G,Spot-up Shooter,-4.350827572535752,-2.881878579328242,659.5999999999999
LINDSEY MOORE,MIN,2014,G,Spot-up Shooter,-4.351480812208599,5.599504941245301,102.0
BRIANN JANUARY,IND,2011,G,Secondary Creator/Distributor,-4.352214706227926,5.981658890940415,286.0
TANISHA WRIGHT,SEA,2012,G,Secondary Creator/Distributor,-4.354080398094718,-1.691727581669023,953.6
TONI FOSTER,PHO,1997,PowerF,Interior Primary Option,-4.35440214158581,-3.529192794232594,725.1999999999999
TIERRA RUFFIN-PRATT,WAS,2015,G,Secondary Creator/Distributor,-4.357259431347128,0.730106259057453,764.8
KELLY MILLER,ATL,2010,G,Spot-up Shooter,-4.357576681264703,-5.850492443868021,491.99999999999994
AVERY WARLEY-TALBERT,PHO,2012,C,Roller/Cutter,-4.362046517307091,0.5837186400530183,498.4
AYANA WALKER,DET,2002,F,Secondary Creator/Distributor,-4.362339739971622,3.529406934916672,550.4
JIA PERKINS,CHI,2006,G,Secondary Creator/Distributor,-4.364663185184115,-3.9902766657348634,840.0
MORGAN TUCK,CON,2019,F,Secondary Creator/Distributor,-4.365938597004134,-4.145560607807528,353.09999999999997
VICKY BULLETT,WAS,2001,F,Secondary Creator/Distributor,-4.366950845312256,-10.207453445062058,1072.0
JESSICA BRELAND,CHI,2017,F,Interior Primary Option,-4.367581057778431,-4.27619505457339,833.0
RUTH RILEY,SAN,2010,C,Roller/Cutter,-4.3690439963700065,-8.303023253554661,260.0
SHAY MURPHY,SAN,2017,G,Spot-up Shooter,-4.3716114806721595,0.4085066382797768,254.8
CHAMIQUE HOLDSCLAW,WAS,2001,F,Perimeter-Oriented Big/Wing,-4.372279070280791,-2.355301429682279,974.4
LAURIE KOEHN,WAS,2008,G,Spot-up Shooter,-4.372605001112768,-3.823657175530132,144.0
LETICIA ROMERO,DAL,2018,G,Secondary Creator/Distributor,-4.372794925188458,-5.295914905170442,144.9
BRIANNA TURNER,CHI,2024,PowerF,Roller/Cutter,-4.37299901356947,-10.138883970176217,253.8
NADIRAH MCKENITH,WAS,2013,G,Secondary Creator/Distributor,-4.376438633851523,-3.763669014400686,281.6
