Player,Year,Pos,Archetype,DBPM,mean,BPM,RAPM
KATIE MATTERA,2009,C,Roller/Cutter,6.3274289198588525,3.1250424827036767,4.775518904123673,-8.290828520634513
CHANEL MOKANGO,2010,F,Roller/Cutter,6.246685234705357,3.849123472754813,-8.76566302979665,-17.678585410778894
LANAY MONTGOMERY,2017,C,Roller/Cutter,6.154069312169344,8.681053048757848,-7.744589280663483,-23.762766580218106
QUACY BARNES,2002,C,Interior Primary Option,6.152761618398929,12.34337493450948,-9.683876296340163,-19.418936920579778
KRISTEN RASMUSSEN,2000,F,Roller/Cutter,6.0989616788002525,7.457048871746747,0.8168534855263552,7.613384980405292
CHUCKY JEFFERY,2014,G,Roller/Cutter,6.048472206492079,10.317105731808736,-3.1795916303253904,-6.943083272165692
DAVELLYN WHYTE,2014,G,Secondary Creator/Distributor,5.955258052920212,-11.877091152490404,,
NADIRAH MCKENITH,2014,G,Roller/Cutter,5.8327561437246045,18.162975761945827,-0.11109438673892402,4.436791192214711
KASHA TERRY,2007,PowerF,Roller/Cutter,5.654554020334593,3.2302362708377816,-7.549961374522307,-19.34241066498106
HEATHER OWEN,2000,PowerF,Roller/Cutter,5.541186615467314,0.3732539311280872,-5.67090230829578,-17.49168827107004
COURTNEY COLEMAN,2003,F,Roller/Cutter,5.5140925017265925,7.517563220841895,-3.4258699822522534,10.34735403697156
MERCEDES RUSSELL,2018,C,Roller/Cutter,5.48027710440091,3.692402681396691,0.49281136743899445,-13.285311990754776
STACEY THOMAS,2001,F,Roller/Cutter,5.454087567524991,6.603032161962137,-0.19841647817644503,-6.306754458314765
KAMIAH SMALLS,2022,G,Secondary Creator/Distributor,5.451255388244234,1.7047121362061397,0.4042393996288194,-15.446667296433194
COQUESE WASHINGTON,1999,G,Secondary Creator/Distributor,5.418424579820343,13.855753659310537,-0.3393496135920575,3.7720979032592457
MICHELLE EDWARDS,2001,G,Secondary Creator/Distributor,5.40776652293099,-6.233731406527753,-12.700159511778404,39.9348716975897
ASHLEY ROBINSON,2009,C,Roller/Cutter,5.368125180741603,2.962301132371129,-4.233255799132711,-15.12644840880863
PAULINE JORDAN,1998,PowerF,Roller/Cutter,5.323414616967173,1.0405856586429438,2.997754369205424,4.269814540450544
AMERYST ALSTON,2016,G,Secondary Creator/Distributor,5.321328007832946,-47.56482833700246,,
WANISHA SMITH,2008,G,Secondary Creator/Distributor,5.321328007832946,96.30365687700822,,
AARYN ELLENBERG,2014,G,Secondary Creator/Distributor,5.321328007832946,-0.9204486890500254,,
AYANA WALKER,2006,F,Roller/Cutter,5.249812024404994,5.628447810033938,-2.907434336903586,14.274712853743642
VICTORIA MACAULAY,2015,F,Roller/Cutter,5.169068010906729,-21.345298489947595,1.3483379997813256,-22.89584673402106
STACEY THOMAS,2003,F,Spot-up Shooter,5.123860930889832,13.92833592614194,1.9488511878328327,5.434926656567578
CELESTE TAYLOR,2024,G,Secondary Creator/Distributor,5.121102738468707,5.641174183303878,5.350903883943335,3.5548560673566603
NADIA COLHADO,2015,C,Roller/Cutter,5.116206587602146,-16.496042865990173,-16.451546219575842,-25.68764592783618
CHANTE BLACK,2013,C,Roller/Cutter,5.110720598520351,-9.451367105348371,,
SHEREKA WRIGHT,2005,F,Spot-up Shooter,5.034527222434136,-2.905353020420196,-1.2311488240041442,0.48979750481317774
AMANDA WILSON,2000,F,Secondary Creator/Distributor,5.0034126292321375,-9.407703994122382,,
EMMA CANNON,2022,F,Roller/Cutter,4.940402324998947,-0.9110415146289406,-0.8493423400696383,3.355138457211379
DEMYA WALKER,2008,F,Roller/Cutter,4.915355088379616,2.039419829030169,-15.418721315339251,-11.914483857199194
HALEY GORECKI,2021,G,Secondary Creator/Distributor,4.908836453338208,7.471183840592041,,
AMAYA VALDEMORO,1999,F,Secondary Creator/Distributor,4.804556739986462,1.549658922690971,-1.6280052746166973,-19.707761637355762
VAL WHITING,2002,PowerF,Interior Primary Option,4.7897337173543235,9.075418689842367,-12.17834264635582,6.351352114949529
TARI PHILLIPS,2007,PowerF,Roller/Cutter,4.786202644558274,-18.9190536291915,-4.618738590006452,-14.489570425156765
ASHLEY ROBINSON,2008,C,Roller/Cutter,4.7460080499938115,0.6250279789470591,-2.6498981590452875,-2.9287264139555598
ERIN PERPEROGLOU,2005,F,Roller/Cutter,4.741610063474894,-0.9464144504857248,-1.9965894954996966,-8.310259120052832
BLAKE DIETRICK,2019,G,Secondary Creator/Distributor,4.705210662164282,5.711558002231993,-1.0703020318145615,15.069609605641407
GRACE DALEY,2001,G,Secondary Creator/Distributor,4.562494013364778,7.821976017004464,8.037936706310155,4.3371785181500115
JILLIAN ALLEYNE,2021,PowerF,Roller/Cutter,4.562045154260982,40.434681114198554,,
SLOBODANKA TUVIC,2001,C,Roller/Cutter,4.545241182463423,4.166388590532356,1.2835998204239556,-4.95940927134274
ALLIE QUIGLEY,2011,G,Secondary Creator/Distributor,4.535528222365346,9.939868935712951,-12.647581012688995,73.46298965692887
A'QUONESIA FRANKLIN,2009,G,Secondary Creator/Distributor,4.534813224190882,20.622766313348706,-10.6129970308569,12.11722481018197
