Player,Year,Pos,Archetype,OBPM,mean
ERIN PHILLIPS,2014,G,Spot-up Shooter,-1.4959397388116145,2.938276810509117
NIELE IVEY,2003,G,Spot-up Shooter,-1.4982170411104292,5.65615132240222
MORIAH JEFFERSON,2023,G,Primary On-Ball Creator,-1.498822392487228,-4.561371623358917
VICKY BULLETT,1999,F,Perimeter-Oriented Big/Wing,-1.4989532947333397,-0.8838659656270549
ELAINE POWELL,1999,G,Secondary Creator/Distributor,-1.4990975425369422,-0.7792755119106634
NICOLE LEVANDUSKY,2001,G,Spot-up Shooter,-1.4997111228729523,2.1801942036478033
CRYSTAL DANGERFIELD,2023,G,Secondary Creator/Distributor,-1.5005534819300976,5.023353031097158
TIANNA HAWKINS,2014,F,Interior Primary Option,-1.5021974578381037,-4.6941662481010304
ERICA WHEELER,2023,G,Primary On-Ball Creator,-1.504580431417264,-0.79941704364359
GILLIAN GORING,2007,C,Roller/Cutter,-1.5089578098162388,-2.7036526604866995
NYKESHA SALES,2000,SG,Primary On-Ball Creator,-1.5098032750239325,0.1615806189005234
SHANNON JOHNSON,2000,G,Primary On-Ball Creator,-1.5177742797834128,2.851034754319946
CHARLOTTE SMITH,2005,F,Spot-up Shooter,-1.5204621021385185,-0.6444076328961361
ERICA WHEELER,2019,G,Primary On-Ball Creator,-1.5220215609253627,-1.472046398401682
AMBER HOLT,2009,F,Spot-up Shooter,-1.5242162296166621,-1.4286752406190992
PLENETTE PIERSON,2016,F,Perimeter-Oriented Big/Wing,-1.5261547378698905,-0.466825476598379
VANESSA HAYDEN,2008,C,Interior Primary Option,-1.5292944115250195,-1.6390512528128474
NICOLE POWELL,2005,F,Spot-up Shooter,-1.5316851894213028,6.65664903305867
ARIKE OGUNBOWALE,2019,G,Primary On-Ball Creator,-1.5321755922570468,-5.061269356072015
LINDSAY WHALEN,2004,G,Secondary Creator/Distributor,-1.5322943233475277,-0.6494977807382435
SHAY MURPHY,2009,G,Secondary Creator/Distributor,-1.5342262967093492,-3.1574616755471365
AMANDA ZAHUI B,2015,C,Secondary Creator/Distributor,-1.5393372671008712,-3.491350558393851
CANDICE DUPREE,2015,F,Perimeter-Oriented Big/Wing,-1.5422120269144441,-0.4857432936825331
LINDA FROHLICH,2003,PowerF,Secondary Creator/Distributor,-1.5434028718619306,4.469074546925236
TAJ MCWILLIAMS-FRANKLIN,2009,PowerF,Roller/Cutter,-1.5436766756914089,0.9619845432906844
SHAMEKA CHRISTON,2008,G,Primary On-Ball Creator,-1.543943259156631,-0.719626140039422
SYDNEY WIESE,2020,G,Spot-up Shooter,-1.5466803685755561,0.2332793379607836
TA'SHIA PHILLIPS,2011,C,Roller/Cutter,-1.546755973096447,-3.232507989871885
MARINA MABREY,2024,G,Primary On-Ball Creator,-1.5486228767119796,-0.5720907271828297
SABRINA IONESCU,2020,G,Primary On-Ball Creator,-1.5519100157351795,-11.41587100333819
CAPPIE PONDEXTER,2016,G,Primary On-Ball Creator,-1.553619171314007,2.915359384728552
HEATHER OWEN,2000,PowerF,Roller/Cutter,-1.5538410772621296,-25.721504749968492
SHATORI WALKER-KIMBROUGH,2019,G,Secondary Creator/Distributor,-1.5586448945126474,3.9395765277321617
ISABELLE HARRISON,2022,F,Interior Primary Option,-1.5629248859427247,-4.017743344236031
