Player,Year,Pos,Archetype,BPM,RAPM
CAYLA GEORGE,2023,PowerF,Spot-up Shooter,-2.353877465644676,-10.024143472587706
DANIELLE ROBINSON,2011,G,Secondary Creator/Distributor,-2.3569274470228105,-3.4862011131822426
KRISTIN FOLKL,2002,F,Roller/Cutter,-2.358050917520182,3.7609613389125456
BRITTNEY GRINER,2016,C,Interior Primary Option,-2.358354704324014,2.2527363877605575
KATIE SMITH,2000,G,Primary On-Ball Creator,-2.358939415765798,2.2518815559352086
SOPHIA YOUNG-MALCOLM,2012,F,Interior Primary Option,-2.362628731705561,4.2494920036072
KRISTY WALLACE,2023,G,Spot-up Shooter,-2.3627219924142677,5.443925264952491
DEMYA WALKER,2012,F,Roller/Cutter,-2.3627719908156846,-2.1961340691271425
NATASHA CLOUD,2018,G,Secondary Creator/Distributor,-2.3675805457064434,4.0615438990531985
KATIE DOUGLAS,2006,SG,Primary On-Ball Creator,-2.3750040454777643,4.409799916905711
SAMANTHA PRAHALIS,2012,G,Primary On-Ball Creator,-2.376011552507303,-4.600728420478106
A'JA WILSON,2021,C,Perimeter-Oriented Big/Wing,-2.377903234550316,0.41465594102080633
LINDSAY WHALEN,2016,G,Secondary Creator/Distributor,-2.3854136877978283,-5.411016964485956
NIA CLOUDEN,2022,G,Spot-up Shooter,-2.3873365177739276,-4.0126610543946715
KELSEY MITCHELL,2024,G,Primary On-Ball Creator,-2.3976623081327677,0.19421804008108767
EDWINA BROWN,2000,SG,Secondary Creator/Distributor,-2.398971022443015,3.1213438275236784
CRYSTAL ROBINSON,1999,F,Spot-up Shooter,-2.3996865051910405,0.8767899262960781
BECKY HAMMON,2006,G,Primary On-Ball Creator,-2.4002436295518637,-9.660542786251872
SHAVONTE ZELLOUS,2011,G,Secondary Creator/Distributor,-2.4006436116050223,5.111742710102942
ELENA BARANOVA,2001,F,Perimeter-Oriented Big/Wing,-2.4021046586629025,4.735690993846264
ASHLEY ROBINSON,2004,C,Roller/Cutter,-2.402683287586802,9.665232754371194
CHARLOTTE SMITH,1999,F,Secondary Creator/Distributor,-2.40661083327492,2.8583635245932544
KATIE MATTERA,2007,C,Roller/Cutter,-2.4105603536707187,8.709968803464239
MEGAN GUSTAFSON,2023,C,Interior Primary Option,-2.4110188289620567,-1.8012554452611491
KIA VAUGHN,2013,C,Roller/Cutter,-2.4127620710633564,-1.0873658108678308
ERIN PHILLIPS,2015,G,Spot-up Shooter,-2.414369859725552,4.813827252637387
GABBY WILLIAMS,2020,F,Secondary Creator/Distributor,-2.4192274379838237,-5.362909483695854
TULLY BEVILAQUA,2006,G,Spot-up Shooter,-2.422065208484985,4.255509538685044
TANGELA SMITH,2001,C,Perimeter-Oriented Big/Wing,-2.4267494141611277,4.326944582794683
ERIN PERPEROGLOU,2009,F,Secondary Creator/Distributor,-2.430215653011135,-0.5415652644184861
MURRIEL PAGE,1999,F,Roller/Cutter,-2.4380045247990045,2.0887456877590482
KRISTIN HAYNIE,2006,G,Secondary Creator/Distributor,-2.4409623869683896,-1.136127822071999
NATALIE ACHONWA,2021,F,Roller/Cutter,-2.4449351700272492,12.568435105735377
KAYLA PEDERSEN,2012,F,Roller/Cutter,-2.4503240172185166,-3.761173605352969
LINDSAY WHALEN,2014,G,Perimeter-Oriented Big/Wing,-2.4504004984731784,3.5086552770515738
QUIANNA CHANEY,2008,G,Spot-up Shooter,-2.456633568705395,7.849026146542459
ELENA SHAKIROVA,2001,C,Roller/Cutter,-2.4568465793944188,2.8811308872958
MARINA MABREY,2021,G,Primary On-Ball Creator,-2.457234431853446,1.0642964362763172
BRANDY REED,1999,F,Perimeter-Oriented Big/Wing,-2.4598182113825406,2.0772722800478616
JORDIN CANADA,2019,G,Secondary Creator/Distributor,-2.4605023501781393,3.6257316906110804
PLENETTE PIERSON,2014,F,Interior Primary Option,-2.4606736793577904,3.8178450639890116
KATIE SMITH,2013,G,Spot-up Shooter,-2.460694648670803,5.630670141673243
TAYLER HILL,2013,G,Spot-up Shooter,-2.4634443318113637,-3.557984368733451
NICOLE POWELL,2006,F,Spot-up Shooter,-2.4641673786226526,3.558961878953663
REBEKKAH BRUNSON,2011,F,Interior Primary Option,-2.4663019486802376,4.449361551424756
KAYLA MCBRIDE,2023,G,Primary On-Ball Creator,-2.4686487199270175,-1.9461293328232665
PLENETTE PIERSON,2015,F,Perimeter-Oriented Big/Wing,-2.469615931979275,-0.8983231194595909
KARLIE SAMUELSON,2024,G,Spot-up Shooter,-2.470574759651266,6.375168809284666
BECKY HAMMON,2001,G,Spot-up Shooter,-2.4706574194935556,2.2912982405625666
ALYSHA CLARK,2022,F,Spot-up Shooter,-2.471401763212661,8.75527893503744
VERONICA BURTON,2024,G,Secondary Creator/Distributor,-2.4774795109023016,-3.27783732455024
SHENISE JOHNSON,2013,G,Primary On-Ball Creator,-2.4785870834499293,-6.317196663196045
TANISHA WRIGHT,2016,G,Secondary Creator/Distributor,-2.479914765954044,6.732355229861791
SHANNON JOHNSON,2003,G,Primary On-Ball Creator,-2.480546417740172,1.37312323804051
TANISHA WRIGHT,2008,G,Secondary Creator/Distributor,-2.4824579981265193,4.404884361990503
SKYLAR DIGGINS,2018,G,Primary On-Ball Creator,-2.4825424560244196,7.434957847076017
TIFFANY HAYES,2023,G,Primary On-Ball Creator,-2.4832980073885875,0.6983137701920854
SANDORA IRVIN,2005,F,Roller/Cutter,-2.484010309661252,-10.464157106142174
KAMILA VODICHKOVA,2003,PowerF,Interior Primary Option,-2.487172026388426,1.9408175675348178
RITA WILLIAMS,2001,G,Primary On-Ball Creator,-2.492259290387795,-2.4065000932073084
EWELINA KOBRYN,2012,C,Secondary Creator/Distributor,-2.493532758971183,2.6667924611399343
LYNETTE WOODARD,1997,G,Interior Primary Option,-2.4942964198434048,7.573256397386203
BETNIJAH LANEY-HAMILTON,2020,SG,Primary On-Ball Creator,-2.5041889906659067,-3.2428142346145234
LEILANI MITCHELL,2011,G,Spot-up Shooter,-2.5051301591802915,-1.0921276593568685
DEARICA HAMBY,2021,F,Interior Primary Option,-2.506015757393263,5.777699219492701
STEPHANIE WHITE,2003,SG,Spot-up Shooter,-2.508010463992485,-1.035445529210539
FRAN HARRIS,1998,SG,Secondary Creator/Distributor,-2.5086830506125404,1.7836191136461095
GORDANA GRUBIN,2000,G,Primary On-Ball Creator,-2.509241133252938,-7.48726742003143
ELENA BARANOVA,1998,F,Perimeter-Oriented Big/Wing,-2.509264742169011,-4.766447484861219
KETIA SWANIER,2010,G,Secondary Creator/Distributor,-2.510125369633836,-3.39731961685942
STACEY DALES,2004,F,Spot-up Shooter,-2.5134876808905027,-1.2270013602320144
ALANNA SMITH,2021,F,Spot-up Shooter,-2.513608619375683,3.006036755493576
SHANNON JOHNSON,2006,G,Primary On-Ball Creator,-2.5179970323895446,-0.38733459148156146
SYLVIA CRAWLEY,2003,F,Roller/Cutter,-2.5217149083159405,-1.0311274782305353
JIA PERKINS,2006,G,Secondary Creator/Distributor,-2.5281433589611666,1.6148533542071857
ALYSHA CLARK,2024,F,Spot-up Shooter,-2.5307992719101473,9.308089820050188
MYISHA HINES-ALLEN,2020,F,Perimeter-Oriented Big/Wing,-2.5335270640635157,-2.781443511206593
RITA WILLIAMS,2002,G,Spot-up Shooter,-2.5395990590108797,0.20586224133427278
CHINEY OGWUMIKE,2022,PowerF,Interior Primary Option,-2.54134229039493,8.130433851186563
CAMILLE SMITH,2010,F,Interior Primary Option,-2.5433687267223957,4.4870753380854005
MONIQUE BILLINGS,2021,F,Roller/Cutter,-2.5444628721507567,-0.6635031910614164
KARIMA CHRISTMAS-KELLY,2012,SG,Secondary Creator/Distributor,-2.545174204420707,11.955868137186034
VICKIE JOHNSON,2008,SG,Secondary Creator/Distributor,-2.545845445818937,6.125884184440567
EMMA MEESSEMAN,2016,F,Perimeter-Oriented Big/Wing,-2.5477436275645853,0.03737074034810606
SYLVIA CRAWLEY,2001,F,Interior Primary Option,-2.555389469045368,3.3564755549889282
MORENIKE ATUNRASE,2008,SG,Spot-up Shooter,-2.558509127577285,-1.4073412174765298
NATASHA HOWARD,2018,F,Interior Primary Option,-2.559476598367121,4.660606555815252
ISABELLE HARRISON,2017,F,Interior Primary Option,-2.560086012215816,-0.1732922098547796
OLYMPIA SCOTT,1998,C,Interior Primary Option,-2.5607226349790406,0.6009786993550191
SUGAR RODGERS,2018,G,Spot-up Shooter,-2.5618516005284935,-3.7097604521439216
TAMIKA CATCHINGS,2015,F,Perimeter-Oriented Big/Wing,-2.563383430320864,-6.749225326276616
CAMILLE SMITH,2013,F,Interior Primary Option,-2.569164527487432,0.7593869067104638
MAYA MOORE,2012,F,Primary On-Ball Creator,-2.5726267412578103,5.492312869139028
MERLAKIA JONES,2000,G,Perimeter-Oriented Big/Wing,-2.5766957129206096,3.4760804236300857
DEWANNA BONNER,2009,SG,Interior Primary Option,-2.5772158322179184,2.7654119871322607
JAMIE CAREY,2007,G,Spot-up Shooter,-2.5778366284267618,-4.755662115048684
ANNA DEFORGE,2004,G,Primary On-Ball Creator,-2.5782411266942447,1.7666293355528493
CHARMIN SMITH,1999,G,Roller/Cutter,-2.588009367438559,9.038926497041682
KYM HAMPTON,1997,C,Interior Primary Option,-2.58999323307787,8.597808806628882
KAYLA PEDERSEN,2013,F,Roller/Cutter,-2.595845850184488,-0.5541615620458789
VEDRANA GRGIN FONSECA,2000,F,Secondary Creator/Distributor,-2.596781620222642,-3.297029544155368
ADIA BARNES,2002,F,Roller/Cutter,-2.601901583511918,-0.00856146590837259
SVETLANA ABROSIMOVA,2012,F,Secondary Creator/Distributor,-2.603375341039434,-3.719610943563019
MICHELE TIMMS,1998,G,Spot-up Shooter,-2.604386647887194,3.387386180890023
AMY HERRIG,2001,C,Roller/Cutter,-2.6067439597478503,0.04259016257389936
JENNIFER RIZZOTTI,2003,G,Spot-up Shooter,-2.6072506542148486,-5.974321542874169
KRISTIN FOLKL,2001,F,Roller/Cutter,-2.6073539279789313,4.239253840946299
KARLIE SAMUELSON,2019,G,Spot-up Shooter,-2.610249174427313,-11.821628807737975
ANDREA CONGREAVES,1998,PowerF,Spot-up Shooter,-2.615542273050543,-3.0036088653792063
TAMMY SUTTON-BROWN,2002,C,Interior Primary Option,-2.616468280755888,4.628499620764035
SHANELE STIRES,2002,F,Spot-up Shooter,-2.619851693187491,36.14088158489426
MWADI MABIKA,2003,G,Primary On-Ball Creator,-2.620111027426608,1.8094792198461702
BRITTNEY GRINER,2017,C,Perimeter-Oriented Big/Wing,-2.6251900781203226,3.178205674031827
MISTIE BASS,2008,F,Roller/Cutter,-2.6261840784933455,3.682722938678805
SVETLANA ABROSIMOVA,2005,F,Primary On-Ball Creator,-2.628030660100913,1.4656011182849937
JANEL MCCARVILLE,2014,PowerF,Secondary Creator/Distributor,-2.633739158855916,-0.8994843461411706
RASHANDA MCCANTS,2009,F,Secondary Creator/Distributor,-2.6353311917824147,1.1053943572639082
RUTHIE BOLTON,2003,G,Spot-up Shooter,-2.6368947328927534,10.018252296489678
AGNIESZKA BIBRZYCKA,2006,SG,Spot-up Shooter,-2.6424432501349946,6.788783922558412
SUE BIRD,2009,G,Primary On-Ball Creator,-2.646433778656113,4.100432673008717
TOCCARA WILLIAMS,2004,G,Secondary Creator/Distributor,-2.6468718928501977,-5.744750030018782
VICKI BAUGH,2015,PowerF,Roller/Cutter,-2.647985633744971,-4.654417738870005
KRISTEN MANN,2007,F,Spot-up Shooter,-2.648424964945635,3.917617810221679
RUSHIA BROWN,1998,F,Interior Primary Option,-2.6490902145360042,-4.030854593809347
JASMINE THOMAS,2019,G,Primary On-Ball Creator,-2.64963615027433,3.9993651761515716
ASHLEY ROBINSON,2008,C,Roller/Cutter,-2.6498981590452875,-2.9287264139555598
PENNY TAYLOR,2005,F,Primary On-Ball Creator,-2.65074985311567,5.892723823578336
COURTNEY VANDERSLOOT,2019,G,Primary On-Ball Creator,-2.651750110727178,-0.6640036828026359
DEARICA HAMBY,2020,F,Interior Primary Option,-2.652354047081088,-1.7104716111060847
CANDICE DUPREE,2019,F,Perimeter-Oriented Big/Wing,-2.654220275199562,3.7802416412697086
ALEXIS JONES,2020,G,Spot-up Shooter,-2.6549315220879555,-1.3067624460346146
TARI PHILLIPS,2001,PowerF,Interior Primary Option,-2.6555899009578003,1.6892177213112924
JANTEL LAVENDER,2018,F,Roller/Cutter,-2.6569787725199063,-1.829137302661437
ALEXIS HORNBUCKLE,2009,G,Secondary Creator/Distributor,-2.6577375541641532,8.389371806305709
AMANDA ZAHUI B,2021,C,Secondary Creator/Distributor,-2.659249893187146,3.100423789186795
TICHA PENICHEIRO,2004,G,Secondary Creator/Distributor,-2.659496615677164,1.277571493215731
DEARICA HAMBY,2017,F,Interior Primary Option,-2.6618154857692256,-4.243184543664418
SHAMEKA CHRISTON,2005,G,Primary On-Ball Creator,-2.665600047108447,-4.137375982795671
TAMECKA DIXON,2008,G,Secondary Creator/Distributor,-2.6658253253724613,-3.806250922043633
MARINE JOHANNÈS,2023,G,Spot-up Shooter,-2.666424290060303,7.899831405924774
MARIE FERDINAND-HARRIS,2009,G,Secondary Creator/Distributor,-2.667403086451493,1.971054107239788
TAI DILLARD,2004,G,Spot-up Shooter,-2.6677797114544837,7.320221070699408
TULLY BEVILAQUA,2010,G,Spot-up Shooter,-2.6717612915751134,11.063246329617089
NICKY ANOSIKE,2010,PowerF,Interior Primary Option,-2.672422118994121,5.172103116297073
DELISHA MILTON-JONES,2007,F,Perimeter-Oriented Big/Wing,-2.6756506991972837,-1.9591174511193343
KARA WOLTERS,2000,C,Interior Primary Option,-2.676983589498243,-0.48090820792593336
KISHA FORD,2001,SG,Secondary Creator/Distributor,-2.6808559449560656,1.893306043301762
SYDNEY CARTER,2013,G,Secondary Creator/Distributor,-2.6841609065386316,1.0615324510159798
JANTEL LAVENDER,2013,F,Interior Primary Option,-2.687022206367094,2.9712886177560383
RUTHY HEBARD,2022,F,Roller/Cutter,-2.6870632908450376,2.324141070616413
ARMINTIE HERRINGTON,2008,G,Interior Primary Option,-2.68842048576139,4.641475485559451
DOMINIQUE CANTY,2000,G,Interior Primary Option,-2.6893283987148004,-0.6635966924451313
DEANNA NOLAN,2009,SG,Primary On-Ball Creator,-2.692466106590647,-0.2857435758637454
DEARICA HAMBY,2022,F,Interior Primary Option,-2.6940808413545536,-0.3286327346291471
MARGO DYDEK,2000,C,Perimeter-Oriented Big/Wing,-2.695202284229786,-1.7651938501041062
LEILANI MITCHELL,2020,G,Spot-up Shooter,-2.6970944885670107,-1.1928355090574934
MERLAKIA JONES,2002,G,Perimeter-Oriented Big/Wing,-2.6993276472192727,-1.479096254999558
ALEX BENTLEY,2017,G,Secondary Creator/Distributor,-2.702204561251045,1.9812969515979553
KIA VAUGHN,2017,C,Roller/Cutter,-2.707185408877262,-10.886799697494384
DEWANNA BONNER,2013,SG,Primary On-Ball Creator,-2.708764854946369,-2.0918847250917145
BARBARA FARRIS,2000,PowerF,Interior Primary Option,-2.71225412239499,-15.863902174432324
VANESSA HAYDEN,2006,C,Interior Primary Option,-2.715647249186744,-9.854358327415799
DYMOND SIMON,2012,G,Primary On-Ball Creator,-2.7186284418283564,-2.174301214225154
SWIN CASH,2012,F,Primary On-Ball Creator,-2.7187355885971334,2.004980027586293
BREANNA STEWART,2018,F,Perimeter-Oriented Big/Wing,-2.7194256682028923,-2.4447206354364495
CLAIRE COGGINS,2007,G,Spot-up Shooter,-2.7219579685112754,-2.0923275316701506
ODYSSEY SIMS,2019,G,Perimeter-Oriented Big/Wing,-2.7230982130574803,2.004635763919107
SHEKINNA STRICKLEN,2012,F,Spot-up Shooter,-2.7243486719157826,5.654445570637846
AMBER HOLT,2011,F,Secondary Creator/Distributor,-2.72533573468987,-2.255837902097722
CANDICE DUPREE,2018,F,Perimeter-Oriented Big/Wing,-2.7257871622852026,7.882182044552843
CHARLOTTE SMITH,2004,F,Secondary Creator/Distributor,-2.7271660367628465,3.5241602436030632
REBECCA ALLEN,2021,SG,Spot-up Shooter,-2.7291980186011546,-1.881690474915069
CHANTELLE ANDERSON,2005,C,Roller/Cutter,-2.7318979436688435,3.128543822231488
CHELSEA GRAY,2022,G,Primary On-Ball Creator,-2.7345170987413394,4.045069195204118
MIKIAH HERBERT HARRIGAN,2024,F,Spot-up Shooter,-2.7348451117435317,-6.58798383318054
ALLIE QUIGLEY,2017,G,Primary On-Ball Creator,-2.7411548839408058,-3.9270287850325922
HELEN DARLING,2006,G,Secondary Creator/Distributor,-2.74235527776009,3.7364955398997415
BRIDGET PETTIS,2002,G,Secondary Creator/Distributor,-2.7431532554544042,4.581725040033814
ERICA WHEELER,2021,G,Primary On-Ball Creator,-2.7438667870035034,-2.2136329027544015
KARIMA CHRISTMAS-KELLY,2013,SG,Spot-up Shooter,-2.7442642639341823,-3.0682136600140297
BROOKE WYCKOFF,2005,F,Spot-up Shooter,-2.7466484613035496,-3.9509515199050256
MURRIEL PAGE,2001,F,Roller/Cutter,-2.74992843271745,4.388658621381191
SYDNEY CARTER,2015,G,Secondary Creator/Distributor,-2.7509512918503436,6.742513928397262
EMMA MEESSEMAN,2022,F,Interior Primary Option,-2.7510864874868886,0.24712681672393377
ANGEL MCCOUGHTRY,2012,SG,Perimeter-Oriented Big/Wing,-2.755030442378702,9.569366820308188
RAEGAN SCOTT,1998,PowerF,Roller/Cutter,-2.7558336411443536,-2.6894107192455206
ASHLEY BATTLE,2008,F,Secondary Creator/Distributor,-2.756044865179973,2.318197720096901
CRYSTAL ROBINSON,2006,F,Spot-up Shooter,-2.7563142244630927,4.710497660268456
LEXIE HULL,2023,G,Secondary Creator/Distributor,-2.758586748455949,-4.101260813222913
AALIYAH EDWARDS,2024,F,Interior Primary Option,-2.7588810719668286,1.604881083768859
STEFANIE DOLSON,2020,C,Secondary Creator/Distributor,-2.7634082638084747,-1.6798215043206932
TICHA PENICHEIRO,2010,G,Secondary Creator/Distributor,-2.763792443318387,-2.7003806661954104
ERICA WHEELER,2018,G,Primary On-Ball Creator,-2.764182312898443,-4.060906750442067
ASTOU NDIAYE-DIATTA,1999,F,Roller/Cutter,-2.7672301080257244,-3.241421435698415
VALERIANE AYAYI,2015,F,Secondary Creator/Distributor,-2.7677594129275844,-10.387035289206837
SOPHIA WITHERSPOON,2000,G,Primary On-Ball Creator,-2.7711791615800565,3.4832273859970533
JANEL MCCARVILLE,2016,PowerF,Roller/Cutter,-2.7718835908524975,1.5180924542736474
ARMINTIE HERRINGTON,2010,G,Roller/Cutter,-2.771971918124274,0.13172531189685888
RHYNE HOWARD,2024,G,Primary On-Ball Creator,-2.772243114459549,-2.138311255097432
NOELLE QUINN,2007,G,Secondary Creator/Distributor,-2.77693365613659,2.1402001288651262
REBECCA LOBO,1997,C,Perimeter-Oriented Big/Wing,-2.778138139109976,-0.634538351978883
NIKKI MCCRAY,2005,G,Secondary Creator/Distributor,-2.779514565457288,-3.9928117859167847
TIANNA HAWKINS,2014,F,Interior Primary Option,-2.783398003664176,-0.7118204044235239
EMMA MEESSEMAN,2019,F,Perimeter-Oriented Big/Wing,-2.78563900096644,2.7463100959073508
SHARON MANNING,2000,PowerF,Interior Primary Option,-2.786978380478933,0.31105005356147863
EDWIGE LAWSON-WADE,2005,G,Spot-up Shooter,-2.7873595142286454,-19.36879592462536
GRACE BERGER,2023,G,Secondary Creator/Distributor,-2.7878958434718903,3.6034917974864102
LISA HARRISON,2003,F,Roller/Cutter,-2.788125379418505,-1.0563272764253067
NIKKI TEASLEY,2002,G,Spot-up Shooter,-2.7942624587278933,-1.9938597937220304
TINA THOMPSON,2008,F,Perimeter-Oriented Big/Wing,-2.794612199174715,-2.9098254590570765
MARINA MABREY,2024,G,Primary On-Ball Creator,-2.794935302018553,3.938464883050199
MAYA MOORE,2013,F,Primary On-Ball Creator,-2.796611042155546,4.386548395157924
TAMMY SUTTON-BROWN,2009,C,Interior Primary Option,-2.797484017357419,15.414511534826655
CHERYL FORD,2009,F,Interior Primary Option,-2.79838656978407,4.15656126487876
TAJ MCWILLIAMS-FRANKLIN,2004,PowerF,Interior Primary Option,-2.8001979613029278,2.996189589414838
EBONY HOFFMAN,2013,F,Secondary Creator/Distributor,-2.8003239019501516,4.8696217509908495
SEIMONE AUGUSTUS,2007,SG,Perimeter-Oriented Big/Wing,-2.8014570608339207,-5.692004696708916
CHANTEL TREMITIERE,1998,G,Spot-up Shooter,-2.8042607408792337,-0.609909866832407
BELINDA SNELL,2005,G,Spot-up Shooter,-2.805433491744279,-8.489268671184432
CATHRINE KRAAYEVELD,2013,F,Spot-up Shooter,-2.8095805860249574,9.862088463469806
UKARI FIGGS,2001,G,Spot-up Shooter,-2.810059290139277,2.398770104897106
KYM HAMPTON,1998,C,Interior Primary Option,-2.8102372329692464,1.0358437620254044
DENA HEAD,1997,G,Secondary Creator/Distributor,-2.8155578890669504,6.346097127524892
RONEEKA HODGES,2008,G,Spot-up Shooter,-2.8181170623152996,-3.0351261141039974
KAAYLA CHONES,2004,C,Roller/Cutter,-2.818988356876612,-13.645016290792165
NIKKI BLUE,2006,G,Secondary Creator/Distributor,-2.8229747756726553,-0.29468135606273194
LATOYA SANDERS,2016,PowerF,Roller/Cutter,-2.823194534357593,-7.409737344563251
DAMIRIS DANTAS,2024,PowerF,Secondary Creator/Distributor,-2.8245500020640644,-2.5770766423015306
BETTY LENNOX,2008,G,Primary On-Ball Creator,-2.826649237173108,-1.1443207975700345
MICHELLE CLEARY,2000,G,Spot-up Shooter,-2.828033391907513,-5.378816927553825
KATIE GEARLDS,2007,SG,Spot-up Shooter,-2.831544340098958,-6.6626799366785505
KELLY SCHUMACHER,2001,C,Roller/Cutter,-2.8317965470207254,-14.792135424324911
SHANNON JOHNSON,2005,G,Primary On-Ball Creator,-2.834745651394895,3.1732100977489894
COURTNEY VANDERSLOOT,2021,G,Secondary Creator/Distributor,-2.8374875583250416,6.625017307134159
OLIVIA NELSON-ODODA,2024,C,Roller/Cutter,-2.8402215794657617,-0.29185715405183643
TARA WILLIAMS,2000,G,Spot-up Shooter,-2.8448737408594464,-10.511915510530848
KISHA FORD,1998,SG,Secondary Creator/Distributor,-2.84614800924108,4.631899254447518
SOPHIA YOUNG-MALCOLM,2007,F,Perimeter-Oriented Big/Wing,-2.846482337266565,2.605351438919889
CAROLYN SWORDS,2011,C,Roller/Cutter,-2.8504244491237793,-1.8936646096511711
SHANNON JOHNSON,2009,G,Spot-up Shooter,-2.8519103718179384,-11.301501156303981
NATASHA CLOUD,2016,G,Secondary Creator/Distributor,-2.8527624145003974,2.134647233947123
OLAYINKA SANNI,2008,PowerF,Roller/Cutter,-2.8538333513752088,-6.669657644702455
ANDREA NAGY,2001,G,Secondary Creator/Distributor,-2.8548255995348284,4.002028722214714
AMANDA LASSITER,2004,F,Spot-up Shooter,-2.8562322406617726,-8.821436098535203
TICHA PENICHEIRO,2001,G,Secondary Creator/Distributor,-2.8573202200337446,-1.3288797750443289
DEANNA JACKSON,2004,F,Interior Primary Option,-2.8580320705332025,1.6040055283977628
DANIELLE ROBINSON,2015,G,Secondary Creator/Distributor,-2.858272918130421,-0.6766643539721928
EBONY HOFFMAN,2010,F,Secondary Creator/Distributor,-2.8585479287344473,0.8825351331846432
NIKKI BLUE,2007,G,Secondary Creator/Distributor,-2.8644081591603157,-5.70187561991076
TIFFANY JACKSON,2007,F,Interior Primary Option,-2.871326689613525,-1.4601742409914946
BRANDY REED,2000,F,Perimeter-Oriented Big/Wing,-2.872137088932251,0.24272165357549136
SHEKINNA STRICKLEN,2020,F,Spot-up Shooter,-2.877696027498476,-11.104099896443685
COURTNEY VANDERSLOOT,2018,G,Primary On-Ball Creator,-2.878216856834195,-7.7225570615958254
JASMINE THOMAS,2022,G,Secondary Creator/Distributor,-2.882826373790697,16.15077178582891
LADY GROOMS,2000,F,Roller/Cutter,-2.8832917700560396,-8.466279421040582
ERIN PERPEROGLOU,2001,F,Secondary Creator/Distributor,-2.8835204418996248,-1.7463362264658184
KEDRA HOLLAND-CORN,1999,G,Spot-up Shooter,-2.8835705242731864,1.9071560344807252
JESSICA MOORE,2008,PowerF,Roller/Cutter,-2.8848499919667647,17.876996577532164
DOMINIQUE CANTY,2012,G,Secondary Creator/Distributor,-2.8877361290296943,-9.869682190987074
CAPPIE PONDEXTER,2014,G,Primary On-Ball Creator,-2.888631015583418,-3.8405653444833323
LEILANI MITCHELL,2015,G,Spot-up Shooter,-2.889115394275909,3.2271797373012396
JOY HOLMES,2000,F,Secondary Creator/Distributor,-2.8935125136153235,0.28713527537294975
SKYLAR DIGGINS,2014,G,Primary On-Ball Creator,-2.893621060722899,-1.4384053032559878
DEMYA WALKER,2003,F,Interior Primary Option,-2.894887958847887,0.27087497937755023
LAUREN JACKSON,2011,PowerF,Perimeter-Oriented Big/Wing,-2.8986744750173155,0.04786334107948598
CHELSEA GRAY,2024,G,Primary On-Ball Creator,-2.9026078171747125,10.784550322269345
MWADI MABIKA,2002,G,Primary On-Ball Creator,-2.9058410857335506,0.36872442899159674
KIM PERROT,1998,G,Spot-up Shooter,-2.9059356859292222,-10.841109456412545
AYANA WALKER,2006,F,Roller/Cutter,-2.907434336903586,14.274712853743642
CANDACE PARKER,2012,PowerF,Perimeter-Oriented Big/Wing,-2.9089349620253224,-3.8065596034326923
AMANDA LASSITER,2006,F,Spot-up Shooter,-2.9107823610303374,-6.999063025874914
CATHRINE KRAAYEVELD,2008,F,Spot-up Shooter,-2.9114126100632185,3.139813482593371
ALISON BALES,2010,C,Roller/Cutter,-2.915736377086627,9.632636473187441
TAMERA YOUNG,2013,F,Roller/Cutter,-2.917314855294796,1.9841224392105727
RUTHIE BOLTON,1999,G,Primary On-Ball Creator,-2.9184021350944613,3.7758738202815794
ADRIAN WILLIAMS-STRONG,2008,PowerF,Roller/Cutter,-2.919988282085753,2.679698745509167
CAMILLE SMITH,2018,F,Secondary Creator/Distributor,-2.92010573852187,-1.3677956673791511
LATOYA BOND,2006,G,Secondary Creator/Distributor,-2.923420447516845,-1.8220694421346537
KRISTI TOLIVER,2022,G,Spot-up Shooter,-2.93329911294338,-5.775700473058578
CAPPIE PONDEXTER,2009,G,Primary On-Ball Creator,-2.94098732065109,-2.864296220322591
ELIZABETH WILLIAMS,2019,PowerF,Interior Primary Option,-2.9410200961586392,-0.1486968837718684
DEWANNA BONNER,2021,SG,Primary On-Ball Creator,-2.941191786861303,5.2644041602045615
KELLY SCHUMACHER,2002,C,Roller/Cutter,-2.9438600990364714,4.623208453167358
COURTNEY CLEMENTS,2013,G,Spot-up Shooter,-2.945745844069716,-17.018823529647904
SHAMEKA CHRISTON,2008,G,Primary On-Ball Creator,-2.946762481864252,-1.8851756884197999
NOELLE QUINN,2008,G,Secondary Creator/Distributor,-2.948550919214145,-1.1087291970941224
CANDICE DUPREE,2011,F,Interior Primary Option,-2.9488673687333122,-1.1802031930243393
LOREE MOORE,2007,G,Spot-up Shooter,-2.9507396632094505,0.9114961482639534
ALLISON FEASTER,2000,F,Spot-up Shooter,-2.9521232766155303,-3.348982118108479
MARKITA ALDRIDGE,2001,G,Secondary Creator/Distributor,-2.9530218917449353,10.140039953918635
SANCHO LYTTLE,2008,F,Interior Primary Option,-2.9564684956358147,-0.9829018719128726
JENNIFER LACY,2006,F,Roller/Cutter,-2.958160005290498,-0.4777942200060217
ADIA BARNES,2004,F,Secondary Creator/Distributor,-2.9618349303468454,-2.5497754801624195
BEATRICE MOMPREMIER,2021,F,Roller/Cutter,-2.9655123088817197,-5.727441876089835
CANDICE DUPREE,2013,F,Perimeter-Oriented Big/Wing,-2.965664809733685,-0.18444631551942692
PENNY TAYLOR,2011,F,Primary On-Ball Creator,-2.970321369424598,-3.250369031940755
