Player,Year,Pos,Archetype,BPM,RAPM
KATIE SMITH,2009,G,Primary On-Ball Creator,-8.503551000218447,-0.6192213330671406
NAYO RAINCOCK-EKUNWE,2019,F,Roller/Cutter,-8.515919449573834,-1.510830481237499
ANETE JEKABSONE-ZOGOTA,2014,G,Spot-up Shooter,-8.52370830844745,-11.592900495073783
MIAO LI JIE,2005,G,Spot-up Shooter,-8.524079095185774,4.680503061846595
TIFFANI JOHNSON,2003,C,Roller/Cutter,-8.524248112719532,-5.4832428748723245
IVORY LATTA,2007,G,Spot-up Shooter,-8.529958939150337,-13.262704417870294
ADRIAN WILLIAMS-STRONG,2001,PowerF,Roller/Cutter,-8.532989064114465,-1.5264767621422755
BELINDA SNELL,2006,G,Spot-up Shooter,-8.533557852498195,-1.2895684675611747
KATHLEEN DOYLE,2020,G,Spot-up Shooter,-8.534334519197127,-17.308607965498013
MARIE FERDINAND-HARRIS,2010,G,Secondary Creator/Distributor,-8.535111601668838,-12.973283998710562
NATASHA HOWARD,2015,F,Interior Primary Option,-8.541618561830001,3.746533107986188
CRYSTAL LANGHORNE,2017,PowerF,Interior Primary Option,-8.5509924760069,-1.0986662441152018
HIND BEN ABDELKADER,2018,G,Spot-up Shooter,-8.554435187474423,-10.958492862323792
ALYSHA CLARK,2012,F,Secondary Creator/Distributor,-8.555715948571471,-2.703354018163409
TE'A COOPER,2021,G,Primary On-Ball Creator,-8.570145396951222,0.8846781175222658
TAMICHA JACKSON,2004,G,Primary On-Ball Creator,-8.572498808681674,-8.131031730366026
KELLEY CAIN,2012,C,Roller/Cutter,-8.576483950199528,-17.702578039864804
JAMIERRA FAULKNER,2019,G,Secondary Creator/Distributor,-8.5796732390422,-3.94902155125986
MARISSA COLEMAN,2012,SG,Spot-up Shooter,-8.58584789147459,0.03962813962676215
MARKITA ALDRIDGE,2000,G,Secondary Creator/Distributor,-8.589775795545258,-10.393567965937754
BRIA HOLMES,2019,G,Secondary Creator/Distributor,-8.592412323197195,-5.469311876390685
NYKESHA SALES,2000,SG,Primary On-Ball Creator,-8.597026981145245,-9.939126046003377
EBONY HOFFMAN,2011,F,Secondary Creator/Distributor,-8.600981627170585,-6.212574430050777
LEXIE BROWN,2018,G,Spot-up Shooter,-8.604291946985786,-11.195327104924255
SANDRINE GRUDA,2014,PowerF,Roller/Cutter,-8.613805498544956,-3.7337089447898384
DIAMOND DESHIELDS,2020,G,Secondary Creator/Distributor,-8.614798228847306,-1.590767945752349
KRISTY WALLACE,2022,G,Secondary Creator/Distributor,-8.629371846733816,3.6419384188015984
JAMIE CAREY,2005,G,Spot-up Shooter,-8.62984730830318,-3.524908245978679
TAJ MCWILLIAMS-FRANKLIN,2012,PowerF,Roller/Cutter,-8.640684615545663,-3.264727963060562
STACEY LOVELACE,2008,C,Secondary Creator/Distributor,-8.644188645393443,-15.255234988097651
TAMICHA JACKSON,2000,G,Primary On-Ball Creator,-8.64851063743878,-8.735521725938227
LE'COE WILLINGHAM,2005,F,Interior Primary Option,-8.650879413639615,-6.279248840627005
BETNIJAH LANEY-HAMILTON,2022,SG,Primary On-Ball Creator,-8.668566109558745,-6.30603337265237
CHELSEA GRAY,2015,G,Primary On-Ball Creator,-8.669867686639908,2.699209534056852
E.C. HILL,2000,G,Spot-up Shooter,-8.68044672164764,-16.26508378970736
VANESSA NYGAARD,2001,F,Spot-up Shooter,-8.681462380222914,-21.901872010136906
MEGAN GUSTAFSON,2021,C,Roller/Cutter,-8.687333349061007,-22.24285746965936
DONEEKA LEWIS,2008,G,Secondary Creator/Distributor,-8.688219132047626,-17.822025624304416
MWADI MABIKA,2005,G,Spot-up Shooter,-8.695905673773723,-5.129862488854117
MARIE GÜLICH,2019,C,Roller/Cutter,-8.697186578340137,-2.612498162897486
HALEY JONES,2024,SG,Secondary Creator/Distributor,-8.699702691808413,-1.122991679134052
CHASITY MELVIN,2010,PowerF,Roller/Cutter,-8.705104550201549,-5.574463881851458
PENNY TAYLOR,2016,F,Primary On-Ball Creator,-8.705849401292863,-3.302821750725051
CANDICE WIGGINS,2014,G,Spot-up Shooter,-8.711903686447322,-14.67137902269623
NEKESHIA HENDERSON,2001,G,Spot-up Shooter,-8.717168122953314,-1.949533331072798
ALANA BEARD,2013,SG,Secondary Creator/Distributor,-8.723381954675531,2.777220125145474
MARIA STEPANOVA,2000,C,Roller/Cutter,-8.724408324942786,22.886443453100515
JAZMON GWATHMEY,2018,G,Secondary Creator/Distributor,-8.726085464675062,-10.433190874685558
THERESA PLAISANCE,2014,F,Roller/Cutter,-8.748544731781898,-8.323484175592336
ALANNA SMITH,2019,F,Secondary Creator/Distributor,-8.762365607091985,2.324350217014958
TIFFANY WOOSLEY,1997,G,Spot-up Shooter,-8.763775417175353,-1.3663331910815826
SHAY MURPHY,2007,G,Spot-up Shooter,-8.764692657789963,1.9904140584561554
CHANEL MOKANGO,2010,F,Roller/Cutter,-8.76566302979665,-17.678585410778894
NATISHA HIEDEMAN,2019,G,Secondary Creator/Distributor,-8.773058350959364,-7.916130414187634
SHEILA LAMBERT,2005,G,Primary On-Ball Creator,-8.777501276577638,-8.059876423188845
MICHELLE MARCINIAK,2001,G,Primary On-Ball Creator,-8.77751017596709,-22.00462646407025
ANN WAUTERS,2016,C,Roller/Cutter,-8.789191434650682,16.20234182089974
ADRIANA MOISES PINTO,2002,G,Primary On-Ball Creator,-8.79795592957259,-7.495196346030648
KADI SISSOKO,2023,F,Secondary Creator/Distributor,-8.805527720049978,-3.918211972647649
TAMIKA WHITMORE,2006,F,Perimeter-Oriented Big/Wing,-8.807326925811333,2.0096528053758504
JANELL BURSE,2001,C,Roller/Cutter,-8.821927038869555,-9.884924712013248
AMANDA THOMPSON,2014,F,Roller/Cutter,-8.843922027194486,-25.547822406810347
JENNIFER DEREVJANIK,2004,G,Spot-up Shooter,-8.844070533531344,-11.59839375429668
TIA PASCHAL,1998,F,Secondary Creator/Distributor,-8.859295267270648,17.412153987550322
STELLA JOHNSON,2021,G,Spot-up Shooter,-8.881072950126553,-13.796744926274654
KIESHA BROWN,2009,G,Spot-up Shooter,-8.883029683049847,-9.218126195710973
EDWINA BROWN,2001,SG,Primary On-Ball Creator,-8.884031696652956,-2.5895437990719588
ERICA MCCALL,2017,F,Roller/Cutter,-8.90112694980821,-4.249698069481057
IZIANE CASTRO MARQUES,2003,SG,Primary On-Ball Creator,-8.912888341877519,-7.537256722939424
ALISA BURRAS,2003,C,Roller/Cutter,-8.914154068235003,3.390614095788033
STACY CLINESMITH,2002,G,Spot-up Shooter,-8.918407321646022,-19.841233863977415
KELSEY BONE,2018,C,Roller/Cutter,-8.920358910450641,-7.961959490617877
SUMMER ERB,2000,C,Roller/Cutter,-8.923849935731472,-3.1492883490760164
KIANNA SMITH,2022,G,Secondary Creator/Distributor,-8.930390191240052,-16.21362488905615
NICOLE POWELL,2004,F,Spot-up Shooter,-8.93220761931715,-8.204363788965194
DANIELLE MCCULLEY,2003,PowerF,Roller/Cutter,-8.93382168429622,-19.0194057800183
NADINE DOMOND,1998,G,Spot-up Shooter,-8.934891723992607,-15.401901435160507
SYDNEY WIESE,2017,G,Spot-up Shooter,-8.935845277063553,4.167268698856695
MONIQUE BILLINGS,2023,F,Roller/Cutter,-8.936230221262123,-7.7171143077204
TINA NICHOLSON,1997,G,Spot-up Shooter,-8.952475777954128,-0.3683818133128953
JESSICA MOORE,2010,PowerF,Roller/Cutter,-8.959292903535491,4.123953871284491
REBECCA ALLEN,2016,SG,Secondary Creator/Distributor,-8.96230900190539,-9.717188762635692
MADI WILLIAMS,2023,SG,Roller/Cutter,-8.963290528562084,-30.48886186553568
VEDRANA GRGIN FONSECA,2001,F,Secondary Creator/Distributor,-8.973422670541202,-5.343375396674315
SHAVONTE ZELLOUS,2021,G,Secondary Creator/Distributor,-8.9748533195224,0.6636048992633349
MANDISA STEVENSON,2004,PowerF,Roller/Cutter,-8.975520245000318,0.9510449039057911
AERIAL POWERS,2023,G,Primary On-Ball Creator,-8.977906734007295,-11.714466270930231
EPIPHANNY PRINCE,2015,G,Primary On-Ball Creator,-8.978367610516209,-8.108797519830574
IZIANE CASTRO MARQUES,2013,SG,Primary On-Ball Creator,-8.986495435191616,-6.892018726508503
BREANNA LEWIS,2018,C,Interior Primary Option,-8.99006040680984,-10.219990403532378
ERIN THORN,2003,G,Spot-up Shooter,-8.996219732734989,-9.681098698269473
AMBER JACOBS,2005,G,Spot-up Shooter,-9.00129738279011,-15.267598403666291
BARBARA FARRIS,2007,PowerF,Roller/Cutter,-9.003084608753248,2.0477766700902578
EDNA CAMPBELL,2005,G,Secondary Creator/Distributor,-9.005256253085948,-10.495030051870666
CARLA CORTIJO,2016,G,Primary On-Ball Creator,-9.01449761671503,-5.018184914482342
ASHLEY HOUTS,2010,G,Spot-up Shooter,-9.016453877374873,-17.077604627451233
ALEXIS JONES,2017,G,Primary On-Ball Creator,-9.021035586624066,-7.468644175141345
JANELL BURSE,2003,C,Interior Primary Option,-9.022397320856744,-4.8339947313036165
AMANDA LASSITER,2005,F,Spot-up Shooter,-9.033886795171561,-9.583657447472053
DANIELLE ADAMS,2017,PowerF,Spot-up Shooter,-9.044739665461947,-67.26762324312944
LAETICIA AMIHERE,2023,F,Interior Primary Option,-9.044814091819909,-18.536574224526557
CHINEY OGWUMIKE,2023,PowerF,Interior Primary Option,-9.044847807688624,-8.142773709846475
SUGAR RODGERS,2020,G,Spot-up Shooter,-9.065134363618126,2.5723268000460022
ANEIKA MORELLO,2017,PowerF,Roller/Cutter,-9.069356086099875,-38.692191976784024
ASIA (AD) DURR,2022,G,Secondary Creator/Distributor,-9.086662994532867,-8.958294286206456
KATE PAYE,2002,G,Spot-up Shooter,-9.102482444525574,17.731012477662674
JENNY MOWE,2001,C,Roller/Cutter,-9.109761565421394,-40.55840909976041
JORDIN CANADA,2021,G,Secondary Creator/Distributor,-9.117565860098699,-1.786439452704579
SANDORA IRVIN,2007,F,Roller/Cutter,-9.131166325110675,-14.025432768055873
