player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year
Napheesa Collier,MIN,F,34,1180,34,11.7,23.8,0.492,1.4,4.4,0.31,10.3,19.4,0.533,5.5,6.9,0.804,3.3,14.4,5,2.8,2.1,3.1,3.8,30.3,2024
Sydney Colson,LVA,G,31,248,1,5.5,12.9,0.422,2.8,7.5,0.378,2.6,5.5,0.481,1.6,1.8,0.889,0.2,2.8,6.1,3,1,2.8,4.7,15.4,2024
Zia Cooke,LAS,G,29,257,0,7.1,22,0.321,2.2,7.3,0.297,4.9,14.7,0.333,3.9,5.7,0.69,0.6,3.5,3.3,1.8,0.6,4.1,4.3,20.2,2024
Kahleah Copper,PHO,G-F,37,1197,37,11.7,26.9,0.435,3,9.4,0.314,8.7,17.5,0.5,7.1,8.9,0.807,1,7.2,3.6,1.2,0.1,4.7,5.2,33.5,2024
Lorela Cubaj,ATL,F-C,28,221,1,3.5,8.2,0.429,0,0,,3.5,8.2,0.429,0.7,1.2,0.6,4.5,9.6,3.5,2.1,0.5,2.8,7.7,7.7,2024
Sophie Cunningham,PHO,G,40,1110,21,4.8,11.1,0.429,3.1,8.3,0.378,1.6,2.8,0.583,2.8,3.2,0.87,0.7,7.2,3.6,1.9,0.5,1.8,4.2,15.4,2024
Damiris Dantas,IND,F,20,210,0,8.1,17.7,0.459,3.1,7.9,0.394,5,9.8,0.512,1.9,2.9,0.667,1,10.3,2.9,1.2,1.2,2.9,4.8,21.2,2024
Kaela Davis,CHI,F,4,52,0,3.9,11.8,0.333,2,2,1,2,9.8,0.2,2,3.9,0.5,1,3.9,1,1,2,3.9,4.9,11.8,2024
Marquesha Davis,NYL,G,20,80,0,5.8,14.1,0.409,0.6,0.6,1,5.1,13.4,0.381,3.2,4.5,0.714,1.3,6.4,2.6,0.6,2.6,1.9,7,15.4,2024
Diamond DeShields,CHI,G,32,441,10,6.5,18.7,0.348,1,6,0.173,5.5,12.7,0.431,2.6,4.2,0.611,0.8,5.3,5,2.3,0.9,3.4,6,16.6,2024
