player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year
Bria Holmes,ATL,G,33,702,10,6.6,15.1,0.435,1.2,4.5,0.274,5.3,10.6,0.503,3.5,4.5,0.774,1.7,6.1,3,2.2,0.4,2.8,1.9,17.8,2016
Jordan Hooper,DAL,F,32,291,1,7.3,19.6,0.375,4.9,14.3,0.341,2.4,5.2,0.467,1.2,1.4,0.875,1.4,6.5,0.9,1,0.3,2.8,5.4,20.8,2016
Natasha Howard,MIN,F,34,495,1,9.6,16.7,0.574,0.1,0.5,0.2,9.5,16.2,0.586,4.3,6.4,0.677,4.2,12.5,2.9,2.4,2.8,3.8,10.2,23.7,2016
Briann January,IND,G,29,816,27,5.5,13.8,0.401,1.8,4.7,0.392,3.7,9.1,0.406,4.9,5.6,0.875,1.1,3.3,8.7,2.3,0.2,3.2,5,17.8,2016
Moriah Jefferson,SAS,G,34,1034,34,9.5,22.2,0.426,1.7,4.5,0.375,7.8,17.7,0.439,3.5,4.6,0.775,0.8,3.7,7.3,2.8,0.2,3,3.6,24.2,2016
Glory Johnson,DAL,F,18,502,6,7.3,16.5,0.442,0.4,1.4,0.286,6.9,15.1,0.456,5.6,7.4,0.753,4.9,16.3,2.3,1.7,1.1,2.6,4,20.6,2016
Shenise Johnson,IND,G,29,651,10,7.8,19.1,0.41,2.2,6.2,0.359,5.6,12.8,0.435,4.8,5.1,0.938,2.2,8.1,4.8,2.8,0.8,3.8,4.1,22.7,2016
Jonquel Jones,CON,C,34,479,6,9,16.9,0.531,1.2,3.5,0.333,7.8,13.4,0.583,5.4,7.3,0.739,6.4,13.3,2.3,2.3,4,2.6,7.6,24.5,2016
Brianna Kiesel,DAL,G,14,103,0,2,11.4,0.174,0.5,3,0.167,1.5,8.4,0.176,1.5,2,0.75,0.5,3,8.9,2.5,0,4.9,7.4,5.9,2016
Lynetta Kizer,IND,F,33,569,12,12.7,22.8,0.556,0,0.1,0,12.7,22.7,0.558,3.7,4.6,0.8,3.2,9.7,1.8,2.3,0.9,3.2,7.4,29,2016
Betnijah Laney,CHI,G-F,8,42,1,2.4,14.5,0.167,0,1.2,0,2.4,13.3,0.182,4.8,4.8,1,1.2,6.1,1.2,1.2,0,2.4,7.3,9.7,2016
Crystal Langhorne,SEA,F-C,33,843,33,7.8,12.4,0.63,0.1,0.1,1,7.7,12.3,0.628,3.7,4.9,0.759,2.7,11.2,2.9,1.4,0.6,3.2,3.8,19.3,2016
Erlana Larkins,IND,F,33,880,33,6.3,9.8,0.639,0,0,,6.3,9.8,0.639,3.6,4.1,0.884,4.5,14.4,4,1.8,0.9,3.2,4.7,16.1,2016
Ivory Latta,WAS,G,22,458,2,6.3,19.1,0.331,3.7,12.1,0.305,2.6,7,0.377,4.6,5.1,0.909,1,4.2,4.8,0.9,0.1,3.6,3.9,20.9,2016
Jantel Lavender,LAS,F,34,659,0,11.9,22.2,0.538,0,0.1,0,11.9,22.1,0.54,2.2,3.3,0.683,2.9,9.9,3.5,0.8,1.4,3.2,3.3,26.1,2016
Camille Smith,CON,F,33,812,29,6,15.6,0.384,1.8,5.6,0.322,4.2,10,0.419,2.2,3.6,0.632,1.6,6.1,4.1,2.4,0.6,3.5,5.7,16,2016
Jewell Loyd,SEA,G,34,1075,34,9.5,21.9,0.431,1.9,6.4,0.303,7.5,15.5,0.484,6.3,7.1,0.891,1.6,5.7,5.6,2,0.5,3.7,2.8,27.2,2016
Maggie Lucas,IND,G,4,55,0,10.4,19.8,0.524,1.9,9.4,0.2,8.5,10.4,0.818,6.6,6.6,1,0.9,7.6,2.8,1.9,0,4.7,7.6,29.3,2016
Sancho Lyttle,ATL,F,19,571,18,5.5,13.2,0.416,0.2,0.8,0.222,5.3,12.4,0.429,1.7,2.2,0.76,3.7,13.2,3.1,3.5,1.7,2,3.8,12.8,2016
Ally Malott,WAS,F,23,179,0,4.4,14.4,0.306,2.9,9.4,0.313,1.5,5,0.294,2.6,3.2,0.818,1.8,7.6,2.9,1.8,0.9,3.5,3.8,14.4,2016
Kayla McBride,SAS,G,17,523,17,10.3,28.2,0.367,2.9,9.6,0.305,7.4,18.5,0.399,5.9,6.9,0.853,1.3,6.9,3.3,1.8,0.2,3.4,2.2,29.5,2016
Janel McCarville,MIN,F-C,33,417,0,5.9,12.9,0.457,0.2,1.4,0.182,5.6,11.5,0.489,1.5,2.5,0.6,2.7,10.3,6.5,2.6,1.4,2.8,6.4,13.5,2016
Angel McCoughtry,ATL,F-G,33,989,32,11.4,26.3,0.434,1.3,4.4,0.302,10.1,21.9,0.46,8.7,11.1,0.788,1.9,9.6,4.7,2.7,1.2,4.9,4,32.9,2016
Emma Meesseman,WAS,F,34,996,34,11.1,20.8,0.533,1.6,3.5,0.448,9.5,17.3,0.55,3.6,4.5,0.8,3.5,10.1,4.1,2.2,1.3,2.3,4.6,27.3,2016
Leilani Mitchell,WAS,G,10,161,0,6.5,15,0.435,3.6,10.1,0.355,2.9,4.9,0.6,2.6,3.3,0.8,1,5.6,6.2,0.3,0,4.2,5.6,19.3,2016
Tiffany Mitchell,IND,G,34,681,8,6.6,18.4,0.361,1.9,6.5,0.294,4.7,11.9,0.397,7,7.7,0.911,1.1,4.4,3.7,2.3,0.2,4.2,6.5,22.2,2016
Alex Montgomery,SAS,G-F,25,357,7,5.2,14.5,0.357,1.5,4.7,0.313,3.7,9.8,0.379,1.3,1.8,0.75,2.2,7.9,5.8,1.5,0.6,3,5.5,13.2,2016
Renee Montgomery,MIN,G,34,656,2,6.8,17.1,0.397,2.1,6.6,0.321,4.7,10.5,0.444,4.1,5,0.828,0.5,2.4,7.3,2.6,0.2,4.6,3.7,19.8,2016
Maya Moore,MIN,F,34,1009,34,11.3,25.3,0.448,3.3,8.2,0.404,8,17.1,0.469,7.4,8.5,0.868,2.2,8.9,7.2,2.7,1.3,4,4.5,33.3,2016
Brene Moseley,IND,G,8,77,0,4,15.5,0.261,0.7,3.4,0.2,3.4,12.1,0.278,1.3,3.4,0.4,0.7,2,6.1,2.7,0,10.8,4,10.1,2016
Kaleena Mosqueda-Lewis,SEA,F,32,395,0,7.8,19.9,0.391,4.6,13.1,0.354,3.2,6.9,0.462,1.8,2.4,0.778,1.1,3.4,3.4,0.7,0.3,3.4,6.2,22,2016
Astou Ndour-Fall,SAS,C-F,30,446,9,7.7,19.5,0.396,2.5,7.2,0.344,5.2,12.2,0.427,3.4,4.2,0.829,3,11.3,1.4,1.5,3.1,1.9,5.7,21.4,2016
Chiney Ogwumike,CON,F-C,33,801,18,10,17,0.587,0,0,,10,17,0.587,6.3,8.8,0.719,5.6,14,1.4,2.1,2.1,3,7.6,26.3,2016
Nneka Ogwumike,LAS,F,33,1043,33,12.3,18.4,0.665,0.8,1.3,0.615,11.4,17.1,0.669,7.3,8.4,0.869,3.9,15,5.1,2.1,2,3.5,5.7,32.6,2016
Jenna O'Hea,SEA,F,22,252,2,4.8,13.6,0.348,2.5,7.9,0.316,2.3,5.8,0.393,1.9,2.1,0.9,1.7,5.8,3.9,1.7,0.6,3.1,3.5,13.9,2016
Courtney Paris,DAL,C,34,827,32,7.3,13.4,0.548,0,0.1,0,7.3,13.3,0.551,1.5,2.8,0.556,5.8,16.7,2.3,0.9,1.8,1.7,6.8,16.2,2016
Candace Parker,LAS,F-C,34,1046,34,9.5,21.5,0.442,2.1,5.5,0.382,7.4,16,0.463,5,7,0.707,1.7,12.5,8.3,2.4,1.7,4.9,3.7,26.1,2016
Cheyenne Parker,CHI,F,25,315,7,6.8,13.4,0.506,0,0.2,0,6.8,13.2,0.512,2.7,5.2,0.531,5.7,13.1,1,1.9,0.8,3.1,6.8,16.3,2016
Jia Perkins,MIN,G,34,705,5,6,16.5,0.366,0.9,4.1,0.228,5.1,12.3,0.412,2.9,3.5,0.833,1.5,6.5,3.3,2.3,0.5,1.7,3.4,15.9,2016
Devereaux Peters,IND,F,30,440,0,8.6,15.7,0.549,0.1,0.4,0.333,8.5,15.3,0.554,1.2,2.1,0.556,2.4,10.7,2.6,1.4,2.1,2.1,7.1,18.5,2016
Haley Peters,SAS,F,34,594,0,6.7,19.2,0.349,1.6,6.4,0.25,5.1,12.8,0.399,2.5,3.3,0.757,1.4,7,2.4,1.1,0.6,2.5,5.7,17.5,2016
Sonja Petrovic,PHO,F,31,459,13,5.7,13.4,0.421,1.2,3.6,0.344,4.4,9.9,0.449,5,5.2,0.957,2.8,7.7,2.2,2,0.8,3.3,7.5,17.5,2016
Erin Phillips,DAL,G,32,466,12,5.4,12.2,0.438,2.5,6.6,0.383,2.8,5.7,0.5,3.2,3.5,0.906,1.6,4,4.2,0.5,0.3,2.7,3.5,16.4,2016
Plenette Pierson,DAL,F,27,718,27,8.2,21.3,0.387,2.1,6.3,0.337,6.1,15,0.408,4.1,5,0.829,2.6,8.7,3.8,1.6,0.7,3.4,6.8,22.7,2016
Theresa Plaisance,DAL,F,27,320,1,6.8,17.2,0.398,2.4,7.2,0.333,4.5,10,0.444,1.1,1.8,0.636,3.5,10.7,1.3,1.1,1.8,3,9.7,17.2,2016
Jeanette Pohlen-Mavunga,IND,G,12,49,0,6.4,11.7,0.545,3.2,6.4,0.5,3.2,5.3,0.6,1.1,1.1,1,0,1.1,5.3,0,0,2.1,5.3,17,2016
Cappie Pondexter,CHI,G,33,905,29,9.2,21.4,0.429,1,2.6,0.362,8.2,18.7,0.438,4.6,5.2,0.882,0.7,5.3,5.1,1.7,0.2,2.7,3.1,23.9,2016
Aerial Powers,DAL,G,32,614,2,8.3,21.1,0.394,2.7,7.2,0.368,5.6,13.9,0.407,8.4,10,0.835,2.2,7.2,2.9,2.7,0.6,4.2,6.1,27.6,2016
Epiphanny Prince,NYL,G,6,83,0,6.1,15.4,0.4,2.5,6.8,0.364,3.7,8.6,0.429,4.3,4.3,1,0.6,5.5,2.5,1.2,0,1.2,4.9,19.1,2016
LaToya Sanders,WAS,F-C,4,69,0,6.9,13.7,0.5,0,0,,6.9,13.7,0.5,8.4,9.9,0.846,3,9.1,0.8,2.3,7.6,2.3,9.1,22.1,2016
Allie Quigley,CHI,G,34,604,0,10.9,23.1,0.471,2.5,6.9,0.366,8.3,16.2,0.516,2.9,3.2,0.895,0.3,2.4,4.7,1.4,0.4,3.1,2.9,27.1,2016
Sugar Rodgers,NYL,G,33,1008,33,7.9,19.5,0.405,4.4,10.5,0.413,3.5,9,0.395,4.1,4.8,0.842,0.7,6.1,4,1.8,0.8,3,4.4,24.2,2016
Tierra Ruffin-Pratt,WAS,G,32,781,31,4.9,13.3,0.369,1.1,3.4,0.32,3.8,10,0.385,4.8,6.4,0.747,2.4,9.7,5.7,2.2,0.5,3.3,5.3,15.7,2016
Shoni Schimmel,NYL,G,17,77,0,7.3,13.3,0.55,6,10.6,0.563,1.3,2.7,0.5,2.7,3.3,0.8,0,5.3,6.6,2,0.7,4.6,2.7,23.2,2016
Meighan Simmons,ATL,G,25,148,0,8.9,30.8,0.289,5.5,19.1,0.286,3.4,11.6,0.294,3.4,4.1,0.833,0.3,3.4,2.7,0.7,1,3.4,5.8,26.7,2016
Odyssey Sims,DAL,G,34,1074,30,7.3,20.5,0.353,2,7.1,0.28,5.3,13.4,0.392,6.1,6.9,0.883,0.9,4.1,6.2,1.8,0.3,4.1,3.7,22.6,2016
Breanna Stewart,SEA,F,34,1179,34,9.2,20.1,0.457,2,5.9,0.338,7.2,14.2,0.506,7.1,8.5,0.833,1.8,14,5,1.9,2.8,3.6,3.6,27.4,2016
Kiah Stokes,NYL,C,27,650,0,5.9,9.2,0.641,0,0,,5.9,9.2,0.641,2.9,4.6,0.627,4.9,15.8,1.6,1.4,3,2.4,6,14.7,2016
Shekinna Stricklen,CON,F,28,306,0,6.3,17.2,0.365,4.5,12.7,0.351,1.8,4.5,0.407,1.5,2.3,0.643,1.5,6.3,2.5,2,0.3,0.7,3.3,18.5,2016
Carolyn Swords,NYL,C,34,596,34,6.5,11.4,0.571,0,0,,6.5,11.4,0.571,2.1,3,0.686,4.7,13.4,2,0.6,1.8,2.8,6.3,15.1,2016
Diana Taurasi,PHO,G,33,984,33,9.3,23.6,0.396,4.6,13.1,0.35,4.7,10.4,0.453,7.2,8,0.909,0.3,5.1,6.6,1.6,0.2,4.5,5.1,30.5,2016
Asia Taylor,CON,F,4,17,0,8.9,14.9,0.6,0,0,,8.9,14.9,0.6,17.9,20.8,0.857,6,11.9,8.9,0,0,3,8.9,35.7,2016
Penny Taylor,PHO,F,25,643,25,8.1,16.6,0.488,3.2,8,0.396,4.9,8.6,0.574,5.4,5.9,0.907,0.8,7.4,7.1,3,0.9,3.3,4.2,24.7,2016
Alyssa Thomas,CON,F,31,840,31,7.8,16.1,0.487,0,0,,7.8,16.1,0.487,5,7.9,0.634,3.7,11.3,4.2,2.6,0.4,4.5,4.9,20.7,2016
Jasmine Thomas,CON,G,34,1091,34,7,17.1,0.408,1.4,4.7,0.297,5.6,12.4,0.449,3.2,3.7,0.861,1.2,6.5,8,2,0.6,4,4.1,18.5,2016
Krystal Thomas,SEA,C,19,177,0,3.2,5.6,0.579,0,0,,3.2,5.6,0.579,1.5,2.1,0.714,5.6,12.7,0.6,1.2,3.8,2.6,11.5,7.9,2016
Ramu Tokashiki,SEA,F,31,404,1,7.7,16.4,0.472,0,0.1,0,7.7,16.3,0.476,5.8,7.1,0.818,3.6,9.8,1.2,1.9,0.5,3.2,10.7,21.3,2016
Kristi Toliver,LAS,G,33,1060,33,7,16.5,0.426,4,9.4,0.424,3,7,0.43,3.6,4,0.889,0.6,4.2,6,1.4,0.1,2.2,2.9,21.6,2016
Morgan Tuck,CON,F,26,433,3,7.8,18.9,0.414,2,6.5,0.304,5.8,12.4,0.472,3.7,5.3,0.711,2.7,8.6,3.4,1.2,0.2,2.9,2.9,21.4,2016
Courtney Vandersloot,CHI,G,30,728,21,6.7,16,0.419,1.8,5.2,0.351,4.9,10.8,0.452,4.6,5.1,0.904,0.9,5.6,9.8,2.9,0.3,3.3,4.2,19.8,2016
Kia Vaughn,WAS,C,34,672,4,7.6,15.1,0.503,0,0,,7.6,15.1,0.503,1.6,2.2,0.75,3.2,11.5,1.6,1.6,1.4,2.5,3.8,16.8,2016
Ann Wauters,LAS,C,21,97,1,6.5,11.9,0.545,0,0,,6.5,11.9,0.545,3.2,4.3,0.75,2.2,12.4,4.9,2.2,1.1,3.8,6.5,16.2,2016
Jamie Weisner,WAS,G,7,25,0,8.4,18.9,0.444,4.2,8.4,0.5,4.2,10.5,0.4,4.2,4.2,1,2.1,6.3,4.2,0,0,6.3,10.5,25.2,2016
Lindsay Whalen*,MIN,G,32,786,32,8,15.6,0.513,0.2,0.7,0.273,7.8,14.9,0.524,4.3,4.8,0.892,1,5.4,8,1.2,0,3,3.3,20.5,2016
Erica Wheeler,IND,G,34,811,25,7.3,17.5,0.418,1.1,3.7,0.298,6.2,13.8,0.449,2.6,3.1,0.833,1.2,4.6,6.1,1.5,0.1,4.4,5.6,18.3,2016
Elizabeth Williams,ATL,C-F,34,1179,34,6.7,15.2,0.442,0,0,0,6.7,15.2,0.444,3.9,5.7,0.692,4.5,11.8,1.8,1.1,3.4,1.8,4.5,17.4,2016
Monica Wright,SEA,G,16,98,0,4.3,13.8,0.308,0.5,5.3,0.1,3.7,8.5,0.438,1.6,2.7,0.6,0.5,4.3,5.8,3.7,0.5,7.4,8,10.6,2016
Tanisha Wright,NYL,G,29,668,28,6,15.1,0.401,0.3,1.3,0.235,5.7,13.8,0.417,2.5,3.5,0.717,1.8,5.1,7.9,2,0.4,5.1,5.3,14.9,2016
Marta Xargay,PHO,G,15,296,6,5.2,12.9,0.4,2.2,6.7,0.333,2.9,6.2,0.472,2.1,2.9,0.706,1.7,4.5,7.1,2.9,0.5,4.6,9.5,14.6,2016
Tamera Young,CHI,F,32,824,20,6.9,15.4,0.45,0,0.1,0,6.9,15.2,0.453,3,3.8,0.79,2.7,8.9,2.8,1.5,0.2,2.2,5.2,16.8,2016
Amanda Zahui B.,NYL,C,33,374,1,7.8,17.3,0.449,0.4,2.2,0.188,7.4,15.1,0.486,6.6,8.3,0.787,5.7,14.2,1.6,1.5,3,5,9.4,22.5,2016
Shavonte Zellous,NYL,G,33,770,1,6,15,0.403,0.3,1.7,0.192,5.7,13.3,0.43,6.8,8,0.851,1.2,5.4,4.8,1.9,0.4,2.9,4.2,19.2,2016
Kelsey Bone,TOT,C,34,528,13,8.4,20,0.418,0.4,1.6,0.235,8,18.3,0.435,3,4.4,0.674,3.2,12,2.8,1.2,0.4,4.9,7.4,20.1,2016
Blake Dietrick,TOT,G,3,14,0,3.8,7.5,0.5,0,3.8,0,3.8,3.8,1,7.5,7.5,1,0,11.3,0,0,0,3.8,3.8,15,2016
Markeisha Gatling,TOT,C,27,232,2,5.7,12.1,0.473,0,0,,5.7,12.1,0.473,3.3,3.5,0.938,4.6,10.3,1.8,1.1,1.8,4.4,11,14.7,2016
Lindsey Harding,TOT,G,26,443,3,4.4,12.2,0.358,0.2,0.9,0.25,4.1,11.3,0.367,2.5,2.9,0.88,0.5,5.8,7.1,1.4,0.2,2.9,3.9,11.5,2016
Whitney Knight,TOT,G,10,38,0,2.8,20.7,0.133,2.8,15.2,0.182,0,5.5,0,0,0,,1.4,6.9,2.8,2.8,2.8,2.8,6.9,8.3,2016
Noelle Quinn,TOT,G,33,407,0,2.8,10.3,0.272,0.3,2.8,0.091,2.5,7.5,0.339,1.4,1.5,0.917,0.3,6,6.4,1.8,0.6,3.7,4.6,7.2,2016
Avery Warley-Talbert,TOT,C,3,15,0,0,10.5,0,0,0,,0,10.5,0,0,0,,3.5,10.5,3.5,0,3.5,3.5,7,0,2016
Courtney Williams,TOT,G,25,351,0,9.8,23.9,0.41,1.2,3.9,0.296,8.7,20,0.432,1.7,3,0.571,4,11,4.3,1.7,0.4,3,4.3,22.5,2016
Kelsey Bone,CON,C,14,334,13,9.2,21.4,0.433,0.6,2.3,0.267,8.6,19.1,0.452,3.6,5.5,0.667,2.7,11.5,2.7,1.5,0.5,3.9,6.5,22.7,2016
Blake Dietrick,SEA,G,2,6,0,0,0,,0,0,,0,0,,17.4,17.4,1,0,0,0,0,0,8.7,8.7,17.4,2016
Markeisha Gatling,SEA,C,11,64,0,7.3,13.8,0.529,0,0,,7.3,13.8,0.529,5.7,5.7,1,4.1,7.3,0.8,0.8,2.4,8.1,15.5,20.4,2016
Lindsey Harding,NYL,G,5,114,3,3.6,11.2,0.32,0,1.3,0,3.6,9.9,0.364,0.9,0.9,1,0.4,6.3,8.1,0.4,0,2.7,4.5,8.1,2016
Whitney Knight,LAS,G,7,27,0,3.9,19.4,0.2,3.9,13.6,0.286,0,5.8,0,0,0,,1.9,5.8,1.9,3.9,3.9,3.9,5.8,11.6,2016
Noelle Quinn,PHO,G,13,129,0,2.8,11.5,0.241,0.4,3.9,0.1,2.4,7.5,0.316,2.4,2.8,0.857,0.4,4.7,7.1,2,1.2,3.9,7.9,8.3,2016
Avery Warley-Talbert,ATL,C,1,4,0,0,25.3,0,0,0,,0,25.3,0,0,0,,0,12.6,0,0,0,12.6,25.3,0,2016
Courtney Williams,PHO,G,6,25,0,2,18.3,0.111,0,2,0,2,16.3,0.125,2,4.1,0.5,2,14.3,4.1,0,0,4.1,2,6.1,2016
Kelsey Bone,PHO,C,20,194,0,6.8,17.6,0.388,0,0.5,0,6.8,17.1,0.4,1.8,2.6,0.7,3.9,12.9,2.9,0.8,0.3,6.6,8.9,15.5,2016
Blake Dietrick,SAS,G,1,8,0,6.6,13.2,0.5,0,6.6,0,6.6,6.6,1,0,0,,0,19.9,0,0,0,0,0,13.2,2016
Markeisha Gatling,ATL,C,16,168,2,5.1,11.4,0.447,0,0,,5.1,11.4,0.447,2.4,2.7,0.889,4.8,11.4,2.1,1.2,1.5,3,9.3,12.6,2016
Lindsey Harding,PHO,G,21,329,0,4.6,12.5,0.37,0.3,0.8,0.4,4.3,11.8,0.368,3.1,3.6,0.87,0.5,5.6,6.8,1.7,0.3,2.9,3.7,12.7,2016
Whitney Knight,SAS,G,3,11,0,0,24.1,0,0,19.3,0,0,4.8,0,0,0,,0,9.6,4.8,0,0,0,9.6,0,2016
Noelle Quinn,SEA,G,20,278,0,2.8,9.7,0.288,0.2,2.2,0.083,2.6,7.5,0.35,0.9,0.9,1,0.2,6.6,6,1.7,0.4,3.6,3,6.7,2016
Avery Warley-Talbert,SAS,C,2,11,0,0,4.8,0,0,0,,0,4.8,0,0,0,,4.8,9.6,4.8,0,4.8,0,0,0,2016
Courtney Williams,CON,G,19,326,0,10.4,24.4,0.427,1.2,4,0.308,9.2,20.3,0.45,1.7,2.9,0.579,4.2,10.7,4.3,1.9,0.5,2.9,4.5,23.7,2016
Farhiya Abdi,LAS,F,18,237,5,6.5,18.3,0.354,2.1,7.6,0.273,4.4,10.6,0.413,0.9,1.6,0.571,1.2,6.9,2.1,1.6,0.5,3,7.2,16,2015
Natalie Achonwa,IND,F,28,484,17,9.5,17.3,0.55,0,0,,9.5,17.3,0.55,5.1,6.8,0.746,4.3,10.5,1.8,1.5,1.4,4,6.3,24.1,2015
Danielle Adams,SAS,F-C,30,482,2,8.7,20.9,0.414,2.4,7.5,0.324,6.2,13.5,0.463,4.7,5.7,0.827,3.6,11,1.5,1.5,1,4.1,4.9,24.5,2015
Matee Ajavon,ATL,G,33,580,11,5.8,14.3,0.405,0.3,1.6,0.167,5.5,12.8,0.434,5.3,6.4,0.822,1.8,7.2,7,4.1,0.4,5.3,7,17.2,2015
Kayla Alexander,SAS,C,29,358,0,5.5,13.1,0.416,0,0,,5.5,13.1,0.416,3.2,5,0.647,4.3,14,0.9,0.9,3.5,3.5,6.3,14.2,2015
Rebecca Allen,NYL,F-G,2,34,0,4.7,15.5,0.3,0,6.2,0,4.7,9.3,0.5,0,0,,3.1,14,0,4.7,3.1,4.7,1.6,9.3,2015
Jayne Appel-Marinelli,SAS,C,30,673,28,3.1,8,0.382,0,0.3,0,3.1,7.7,0.398,1.7,2.7,0.647,3,14.7,3.2,1.8,3,3.1,5.9,7.9,2015
Seimone Augustus*,MIN,G-F,16,481,16,10.7,24.2,0.44,0.3,2.6,0.13,10.3,21.7,0.477,2.9,2.9,1,1,5.1,4.3,1,0.6,2.1,1.9,24.6,2015
Valeriane Ayayi,SAS,F,16,147,0,5.4,17.3,0.313,1.4,7.5,0.19,4,9.7,0.407,1.1,2.5,0.429,2.9,10.1,2.2,2.9,1.8,3.2,6.5,13.3,2015
Mistie Bass,PHO,F,33,458,7,6.6,12.9,0.514,0,0.1,0,6.6,12.7,0.519,2.8,5.2,0.545,4.7,11.8,2.8,3.1,2.8,2.5,6.3,16,2015
Vicki Baugh,TUL,F-C,34,533,6,6.9,14.6,0.473,0,0.1,0,6.9,14.5,0.476,4.5,6.1,0.738,4.9,14,2,1.8,1.2,4.3,6.8,18.3,2015
Alana Beard,LAS,G-F,15,365,11,7.4,15,0.49,0.3,1.7,0.182,7.1,13.4,0.528,1.4,1.5,0.9,0.5,6.5,5.7,2.6,1.1,3,4.7,16.4,2015
Alex Bentley,CON,G,25,749,25,10.2,25,0.409,2.8,8.4,0.336,7.4,16.6,0.446,3.2,3.8,0.83,0.1,3.5,3.5,3.5,0.4,2.1,4.6,26.5,2015
Tiffany Bias,PHO,G,15,95,0,5.7,16.5,0.345,2.3,6.8,0.333,3.4,9.7,0.353,2.3,3.4,0.667,0,1.1,6.3,1.1,0,3.4,5.7,15.9,2015
Sue Bird,SEA,G,27,773,27,7.3,19.1,0.384,1.7,5.7,0.301,5.6,13.4,0.418,2.7,3.4,0.796,0.3,4.3,10.1,1.6,0.1,4.5,2.2,19,2015
Abby Bishop,SEA,F,26,509,14,5.4,14,0.385,2.4,7.3,0.329,3,6.8,0.446,0.8,1.4,0.615,0.7,9.4,2.6,2,2.1,2.9,7.5,14,2015
Kelsey Bone,CON,C,34,961,33,12.6,24.8,0.508,0,0.2,0,12.6,24.6,0.511,3.4,5.5,0.622,2.8,11.7,3.7,1.5,1.1,4.3,5.4,28.6,2015
DeWanna Bonner,PHO,F-G,33,1099,33,7.8,20.5,0.378,1.5,5.8,0.254,6.3,14.7,0.427,8.6,9.9,0.866,1.8,9.2,5.4,2.2,1.4,2.9,3,25.6,2015
Brittany Boyd,NYL,G,30,430,4,7.2,18.5,0.391,1,3.7,0.267,6.3,14.8,0.421,8.8,12.4,0.713,2.1,9.9,8.6,4.3,0.2,5.9,7.1,24.3,2015
Crystal Bradford,LAS,F,15,142,1,5.8,20.9,0.278,2.3,10,0.231,3.5,10.8,0.321,1.9,2.7,0.714,1.5,7.7,2.7,2.3,0.8,1.9,7.7,15.8,2015
Jessica Breland,CHI,F,33,706,30,7.2,15.3,0.471,0,0,,7.2,15.3,0.471,1.7,2.3,0.774,5.1,14.1,3.1,1.7,2.6,2.3,5.5,16.2,2015
Rebekkah Brunson,MIN,F,34,945,34,5.9,13.1,0.455,0.1,0.2,0.25,5.9,12.8,0.458,3.1,3.7,0.831,4.9,15.6,3.5,2.1,1.6,3,4.1,15,2015
Cierra Burdick,ATL,F,11,208,4,4.2,9.8,0.425,0,0.2,0,4.2,9.6,0.436,3.4,3.9,0.875,2.5,8.6,3.2,2.5,1.5,2.2,5.2,11.8,2015
Essence Carson,NYL,G,33,642,12,6.4,16.8,0.38,1,4,0.245,5.4,12.8,0.423,2.8,3.6,0.773,1.5,6.2,3.5,1.2,0.5,2.6,3.1,16.6,2015
Sydney Carter,ATL,G,26,295,7,2.6,12.5,0.208,0.9,5.2,0.167,1.7,7.3,0.238,2.8,3.5,0.8,0.9,4,5.2,1.6,0.3,2.6,2.8,8.8,2015
Swin Cash*,NYL,F,34,592,28,4.7,12.6,0.376,0.7,3,0.235,4,9.5,0.421,3.6,4.9,0.727,2,7.3,4.2,0.8,0.3,3.3,4.4,13.7,2015
Tamika Catchings*,IND,F,30,799,30,8.2,21.4,0.382,1.2,4,0.295,7,17.4,0.402,8.2,9.4,0.868,3.3,14,4.4,3.6,1.6,3.3,5,25.8,2015
Tina Charles,NYL,C,34,1053,34,12.2,26.6,0.458,0.1,0.3,0.2,12.1,26.3,0.46,4.7,6.5,0.715,3.6,14.4,4.2,1.2,1.2,4.1,2.8,29.1,2015
Karima Christmas-Kelly,TUL,F-G,32,919,32,5.9,14.8,0.396,1.9,4.8,0.386,4,10,0.401,6,7.7,0.782,4.2,9.2,3.1,2,0.5,2.3,3.4,19.6,2015
Shameka Christon,PHO,G,12,76,0,8.5,19.9,0.429,2.8,11.4,0.25,5.7,8.5,0.667,4.3,4.3,1,0.7,3.6,5,1.4,0,2.1,10.7,24.2,2015
Layshia Clarendon,IND,G,29,602,12,6.7,15.1,0.445,1.1,2.8,0.406,5.6,12.3,0.454,2.3,3,0.765,2.4,6.8,5,1.7,0,4.1,5,16.8,2015
Alysha Clark,SEA,F,33,763,31,6,11,0.544,1.7,4.7,0.353,4.3,6.2,0.689,2.2,2.8,0.775,0.9,8.4,2.7,1.6,0.4,2.5,5.5,15.7,2015
Courtney Clements,LAS,G,1,5,0,0,21.9,0,0,21.9,0,0,0,,0,0,,0,11,0,0,0,0,0,0,2015
Natasha Cloud,WAS,G,34,657,22,3.4,10.6,0.32,0.7,3.1,0.237,2.6,7.4,0.356,2.6,3.9,0.681,0.8,7.9,9.5,2.4,0.2,4.1,4.8,10.2,2015
