"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Matee Ajavon","ATL",120,1400,2730,15.64102564102564,4.835164835164835,13.443223443223443,0.35967302452316074,0.2564102564102564,1.6117216117216118,0.1590909090909091,0.18421052631578946,5.201465201465202,3.0036630036630036,6.666666666666667,0.7692307692307693,0,0.3106060606060606,0.33064516129032256,1,0.1070559610705596,0.4628517283950617,0.3467153284671533,0.4313131313131313,0.5860805860805861,1.1721611721611722,0.08719346049046321,0,0,19.52264381884945
"Shoni Schimmel","ATL",66,1359,2681,19.5822454308094,3.2450578142484146,8.205893323386796,0.39545454545454545,3.804550540842969,10.555762775083924,0.36042402826855124,0.36428571428571427,1.6784781797836628,1.4173815740395375,5.072734054457292,6.937709809772473,4.475941812756434,0.21839080459770116,0.23170731707317074,0.6078431372549019,0.562624254473161,0.46967254509018036,0.47713717693836977,0.49713740458015265,0.37299515106303616,0.14919806042521447,0.01818181818181818,0.22379709063782172,0.02120141342756184,21.566150931480895
"Haley Jones","ATL",80,1294,2599,11.696806464024625,3.9245863793766835,9.849942285494421,0.3984375,0.461716044632551,2.1546748749519047,0.21428571428571427,0.2222222222222222,2.4624855713736054,3.693728357060408,4.155444401692959,1.385148133897653,0,0.47058823529411764,0.48484848484848486,1,0.1794871794871795,0.48375681818181815,0.38461538461538464,0.43304843304843305,0.2308580223162755,1.0388611004232398,0.10546875,0,0,16.193084560082163
"Damiris Dantas","ATL",69,1267,2515,19.761431411530815,6.163021868787276,13.757455268389663,0.4479768786127168,1.3916500994035785,5.208747514910537,0.26717557251908397,0.26717557251908397,3.2604373757455267,8.429423459244532,3.89662027833002,4.055666003976143,0.11928429423459244,0.6838709677419355,0.7571428571428571,0.9714285714285714,0.2746331236897275,0.46178962264150947,0.4350104821802935,0.4778846153846154,1.1928429423459244,1.1928429423459244,0.08670520231213873,0,0,19.510537049626105
"Alison Bales","ATL",68,1216,2471,12.221772561715904,4.087414002428167,8.579522460542291,0.47641509433962265,0.4451639012545528,1.1736139214892756,0.3793103448275862,0.3793103448275862,2.7114528530959126,6.232294617563739,1.942533387292594,1.2140833670578712,0.12140833670578713,0.7623762376237624,0.927710843373494,0.9090909090909091,0.12033195020746888,0.4524678423236515,0.487551867219917,0.5373665480427047,1.4569000404694457,0.6475111290975314,0.07547169811320754,0.04046944556859571,0.034482758620689655,11.049723756906078
"Tina Charles","ATL",39,1160,2245,25.879732739420934,10.334075723830734,21.870824053452115,0.4725050916496945,0.48997772828507796,1.8708240534521159,0.2619047619047619,0.2682926829268293,3.7416481069042318,14.699331848552339,5.968819599109131,1.469933184855234,0,0.7112068965517241,0.8418367346938775,1,0.07879924953095685,0.4704562030075188,0.46622889305816134,0.4974137931034483,3.2071269487750556,1.2917594654788418,0.059063136456211814,0,0,24.786324786324787
"Coco Miller","ATL",92,1143,2335,18.972162740899357,6.509635974304069,14.17558886509636,0.459214501510574,1.1991434689507494,4.197002141327623,0.2857142857142857,0.2978723404255319,2.355460385438972,7.794432548179872,5.224839400428266,3.468950749464668,0.1284796573875803,0.5986842105263158,0.6319444444444444,0.9642857142857143,0.22843822843822845,0.43789221698113207,0.4522144522144522,0.4752688172043011,0.6852248394004282,0.8137044967880086,0.05740181268882175,0.08565310492505353,0.02040816326530612,19.69042476601872
"Erica Wheeler","ATL",47,992,1941,16.846986089644513,5.151983513652756,13.292117465224111,0.3875968992248062,1.545595054095827,4.533745492014425,0.3409090909090909,0.3333333333333333,1.9062339000515198,3.400309119010819,6.903657908294694,2.936630602782071,1.7001545595054095,0.33,0.33,0.6333333333333333,0.2543352601156069,0.46074637681159414,0.4190751445086705,0.44021739130434784,0,1.0819165378670788,0.08139534883720931,0,0,20.889487870619945
"Blake Dietrick","ATL",57,790,1569,11.918419375398344,1.8483110261312938,4.397705544933078,0.42028985507246375,2.5493945188017846,6.182281708094328,0.41237113402061853,0.4166666666666667,0.5736137667304015,1.2746972594008923,2.421924792861695,6.8833652007648185,0.7648183556405354,0.3448275862068966,0.3448275862068966,0.9,0.5843373493975904,0.4976216463414635,0.536144578313253,0.5404624277456648,0,0.6373486297004461,0.14492753623188406,0,0,12.686155543298401
"Le'coe Willingham","ATL",34,755,1482,9.51417004048583,2.834008097165992,5.802968960863698,0.4883720930232558,0.9446693657219973,3.1039136302294197,0.30434782608695654,0.30434782608695654,1.0121457489878543,4.318488529014845,1.349527665317139,2.6315789473684212,0.20242914979757085,0.7619047619047619,0.8205128205128205,0.9285714285714286,0.3484848484848485,0.5132587121212122,0.4772727272727273,0.4964788732394366,0.4048582995951417,0.6747638326585695,0.11627906976744186,0.06747638326585695,0.021739130434782608,10.55045871559633
