Player,Team,Year,Pos,Archetype,Total Minutes,BPM,RAPM
TANISHA WRIGHT,SEA,2005,G,Secondary Creator/Distributor,527.0,-4.418695401381867,2.1164138582216525
KERRI GARDIN,CON,2008,F,Spot-up Shooter,540.6,-4.419519562075118,8.251060962029776
CAMILLE SMITH,SEA,2013,F,Interior Primary Option,1030.2,-4.4196647873446535,-1.8871374015105866
DANIELLE CROCKROM,UTA,2002,F,Roller/Cutter,82.8,-4.419991657418821,35.26994206312431
TAN WHITE,CON,2011,G,Spot-up Shooter,748.0,-4.42228734203942,0.06746471483238015
THERESA PLAISANCE,CON,2019,F,Secondary Creator/Distributor,443.3,-4.422389304404399,-8.076133145554843
SHAY MURPHY,CHI,2013,G,Spot-up Shooter,377.4,-4.422433802031168,-9.876009308054705
DOMINIQUE CANTY,DET,2001,G,Interior Primary Option,624.0,-4.42285393540629,-1.6770295706044542
TEMEKA JOHNSON,SEA,2013,G,Primary On-Ball Creator,876.8,-4.42447814519557,-6.827225221903253
CRYSTAL DANGERFIELD,NYL,2022,G,Secondary Creator/Distributor,709.5,-4.428572678837028,-0.6581085324297495
BRIDGET PETTIS,PHO,1999,G,Spot-up Shooter,537.6,-4.428806383901911,13.981425788549672
JEANETTE POHLEN-MAVUNGA,IND,2012,G,Spot-up Shooter,574.5999999999999,-4.431050082149155,1.2593390720944169
DOMINIQUE CANTY,CHI,2007,G,Secondary Creator/Distributor,729.0,-4.431411312970676,-0.1791559821731077
MONIQUE CURRIE,SAN,2016,F,Primary On-Ball Creator,867.0,-4.431895476753911,-8.067344446448294
JIA PERKINS,SAN,2015,G,Primary On-Ball Creator,709.8000000000001,-4.434525014963709,-12.675901024749415
ALAINA COATES,CHI,2018,C,Roller/Cutter,364.8,-4.4347234388633545,3.1141331233669796
CINDY BLODGETT,SAC,2001,G,Primary On-Ball Creator,70.4,-4.437550699284673,0.7368626232583633
NATASHA CLOUD,WAS,2017,G,Secondary Creator/Distributor,446.4,-4.440906649855455,5.064714682891312
MERLAKIA JONES,CLE,1998,G,Perimeter-Oriented Big/Wing,681.0,-4.4428333977249554,4.673496778375683
TYNESHA LEWIS,MIN,2006,G,Secondary Creator/Distributor,203.3,-4.443204801647626,-1.9806349280883273
CATHRINE KRAAYEVELD,ATL,2012,F,Spot-up Shooter,508.2,-4.44421009011065,5.047670004579416
TIFFANY STANSBURY,MIN,2007,PowerF,Roller/Cutter,438.0,-4.447191229677652,2.7479477955651115
DEBBIE BLACK,CON,2003,G,Secondary Creator/Distributor,370.6,-4.448591554822682,4.659489281515858
CANDICE WIGGINS,MIN,2011,G,Spot-up Shooter,581.4000000000001,-4.45157001851861,0.49421501754475283
KELLY FARIS,CON,2016,G,Secondary Creator/Distributor,316.2,-4.452747732371359,0.563417343022028
EMMA CANNON,IND,2023,F,Interior Primary Option,315.0,-4.45455654282706,-4.743410959790331
EPIPHANNY PRINCE,NYL,2018,G,Primary On-Ball Creator,305.6,-4.456706610210201,-11.799568969043584
KATIE SMITH,SEA,2011,G,Spot-up Shooter,853.4000000000001,-4.458031844613078,4.7678023061483845
USHA GILMORE,IND,2000,G,Secondary Creator/Distributor,21.2,-4.458556205632221,-15.40909698111659
JANTEL LAVENDER,LAS,2016,F,Interior Primary Option,659.5999999999999,-4.458685045539564,0.4514135773103032
ALANNA SMITH,IND,2022,F,Spot-up Shooter,115.2,-4.4608929932759,-2.3119513017047035
VICKI HALL,IND,2001,F,Secondary Creator/Distributor,348.3,-4.463472259204621,8.485068981767975
