Player,Team,Year,Pos,Archetype,Total Minutes,BPM,RAPM
STEPHANIE TALBOT,PHO,2017,F,Secondary Creator/Distributor,608.5999999999999,-2.233557326486347,-0.9199932989184954
TAJ MCWILLIAMS-FRANKLIN,ORL,2001,PowerF,Interior Primary Option,1059.2,-2.23634033762297,5.179059244733742
SHANNA ZOLMAN,SAN,2009,G,Spot-up Shooter,174.79999999999998,-2.240545512936123,-10.324821876808178
MARIA STEPANOVA,PHO,1999,C,Interior Primary Option,550.4,-2.2438102702996265,3.711255009093885
ALLISHA GRAY,ATL,2024,G,Primary On-Ball Creator,1328.0,-2.2452961413656074,1.6990602053621982
RHYNE HOWARD,ATL,2023,G,Primary On-Ball Creator,1283.1,-2.2503093298618655,-0.5149607981208622
LISA LESLIE,LAS,2003,C,Perimeter-Oriented Big/Wing,791.1999999999999,-2.25045241660989,6.473980224930093
LAYSHIA CLARENDON,MIN,2021,G,Secondary Creator/Distributor,543.4,-2.252103353677172,7.98982474833754
EDWIGE LAWSON-WADE,SAN,2010,G,Spot-up Shooter,722.6999999999999,-2.252220902292861,-5.2266907503923985
KATIE DOUGLAS,IND,2009,SG,Primary On-Ball Creator,992.0,-2.2533357385573707,3.979196041924422
RIQUNA WILLIAMS,LAS,2018,G,Spot-up Shooter,547.8000000000001,-2.2585071425552767,-2.068120466599592
JULIE ALLEMAND,IND,2020,G,Spot-up Shooter,717.2,-2.264518586378686,-7.84786504329481
BERNADETTE NGOYISA,NYL,2002,C,Roller/Cutter,11.9,-2.265283830540661,8.346072674262606
KASHA TERRY,IND,2007,PowerF,Roller/Cutter,54.0,-2.270444741239648,-9.800962376884462
ARMINTIE HERRINGTON,WAS,2015,G,Roller/Cutter,260.0,-2.27242542470447,-8.526022084278836
CINDY BROWN,DET,1998,F,Secondary Creator/Distributor,969.0,-2.273126306624447,1.3485416350350379
AIYSHA SMITH,WAS,2004,F,Secondary Creator/Distributor,403.1,-2.273323136793664,-3.5094932232305482
CHANTE BLACK,CON,2009,C,Roller/Cutter,429.0,-2.275320527296806,0.5558571072571392
ELAINE POWELL,ORL,2001,G,Primary On-Ball Creator,1056.0,-2.278064462245344,-14.410283846822729
LE'COE WILLINGHAM,PHO,2008,F,Interior Primary Option,833.0,-2.2792779503863905,6.578708669947725
LIZ DIXON,PHO,2023,F,Roller/Cutter,78.39999999999999,-2.287736403915303,-29.595256846950715
BARBARA FARRIS,DET,2009,PowerF,Roller/Cutter,110.5,-2.289782532850441,15.418396044237857
NATASHA HOWARD,MIN,2017,F,Roller/Cutter,397.7999999999999,-2.2917379592783598,-2.284107384727779
KAYLA MCBRIDE,LVA,2020,G,Primary On-Ball Creator,585.2,-2.2991322358005584,1.0128110843331852
KIAH STOKES,NYL,2017,C,Roller/Cutter,666.4000000000001,-2.300427039839933,-2.9427256079983235
KELLY MILLER,PHO,2007,G,Secondary Creator/Distributor,1040.4,-2.301614696491599,-0.9246773971318021
ANGEL MCCOUGHTRY,ATL,2015,SG,Perimeter-Oriented Big/Wing,1020.0,-2.3039131207793675,-1.105744071493997
DANIELLE ADAMS,SAN,2013,PowerF,Perimeter-Oriented Big/Wing,897.5999999999999,-2.305704493574804,-1.3027158477854832
DAMIRIS DANTAS,MIN,2021,PowerF,Spot-up Shooter,571.2,-2.3069152191157354,-1.8941394003389864
RENEE MONTGOMERY,CON,2011,G,Primary On-Ball Creator,989.4,-2.3079101490597074,5.815457814749854
STEFANIE DOLSON,CHI,2018,C,Secondary Creator/Distributor,745.2,-2.3081793172376073,0.7827297261404372
PENNY TAYLOR,PHO,2009,F,Primary On-Ball Creator,282.8,-2.31266954145696,0.23472388919027454
BROOKE WYCKOFF,CHI,2007,F,Spot-up Shooter,504.9,-2.3131210775403366,-0.023576630699075896
RITA WILLIAMS,WAS,1999,G,Spot-up Shooter,316.2,-2.3166231597572997,9.866857748243675
LINDSAY ALLEN,IND,2021,G,Secondary Creator/Distributor,569.6,-2.3188772067195234,-4.641023255095581
MAYLANA MARTIN,MIN,2000,PowerF,Roller/Cutter,459.0,-2.3189308181723374,5.766572194607606
SANDORA IRVIN,PHO,2006,F,Roller/Cutter,38.5,-2.319405696969799,-1.7447012972711384
KRISTEN MANN,MIN,2005,F,Roller/Cutter,187.2,-2.324363324813361,4.621486265131569
ISABELLE HARRISON,DAL,2021,F,Interior Primary Option,663.6,-2.3244502868818726,7.3174176063924765
PLENETTE PIERSON,NYL,2012,F,Interior Primary Option,639.6,-2.325292335056353,2.4641727127009285
KELLY SCHUMACHER,PHO,2007,C,Roller/Cutter,544.0,-2.33421324671344,0.05711211371010716
SANDORA IRVIN,PHO,2005,F,Roller/Cutter,121.2,-2.3386413434700466,-12.799982114838066
JAMILA WIDEMAN,CLE,1999,G,Secondary Creator/Distributor,365.0,-2.3416265119040336,3.700736778925955
PENNY TAYLOR,PHO,2004,F,Primary On-Ball Creator,1075.8,-2.342393427898406,0.6133623702480261
MICHAELA PAVLICKOVA,PHO,2003,F,Roller/Cutter,29.6,-2.3429066235762033,3.6998211235276033
KELLY MILLER,IND,2005,G,Spot-up Shooter,1054.0,-2.343164999583653,0.5431111565642773
VICKI BAUGH,TUL,2014,PowerF,Roller/Cutter,267.3,-2.346977059069643,-0.2793992282568354
CHRISTI THOMAS,MIN,2009,PowerF,Roller/Cutter,66.0,-2.3582269676481973,-18.61383677508996
KRISTIN FOLKL,POR,2001,F,Roller/Cutter,860.8,-2.360523171860529,3.373658520967656
BRIDGET CARLETON,MIN,2021,F,Spot-up Shooter,617.6,-2.3612043600818806,-1.2083634351863557
LINDSAY ALLEN,MIN,2023,G,Secondary Creator/Distributor,698.9000000000001,-2.361835514915512,-0.5736839933384497
DEVEREAUX PETERS,MIN,2014,F,Roller/Cutter,504.0,-2.367586155403553,-7.370211766301342
SYLVIA FOWLES,MIN,2015,C,Interior Primary Option,520.1999999999999,-2.379131558803859,4.55761599457283
ARIEL ATKINS,WAS,2024,G,Primary On-Ball Creator,1196.0,-2.3842652821477834,-1.5993304441713045
ANDREA KUKLOVA,PHO,1998,SG,Secondary Creator/Distributor,342.20000000000005,-2.3868521845853916,0.7836754848841014
DORKA JUHÁSZ,MIN,2023,F,Roller/Cutter,919.6,-2.387148073518497,-4.111607693873996
JEWELL LOYD,SEA,2016,G,Primary On-Ball Creator,1074.4,-2.389124904099795,-0.41750616177314326
KEISHA ANDERSON,CHA,2001,G,Secondary Creator/Distributor,102.6,-2.391429045262973,15.44640795497382
SHAVONTE ZELLOUS,IND,2010,G,Secondary Creator/Distributor,483.6,-2.393042833562791,-5.0115583915633115
CHARMIN SMITH,SEA,2000,G,Spot-up Shooter,515.2,-2.395920870726295,7.8352799362504175
LINDSAY ALLEN,NYL,2017,G,Secondary Creator/Distributor,375.2,-2.3961437903824896,5.743634952913059
KRISTI TOLIVER,LAS,2013,G,Primary On-Ball Creator,1020.0,-2.3980882132305092,3.788645158889521
ERIKA DE SOUZA,CHI,2015,PowerF,Roller/Cutter,819.4000000000001,-2.4035681978898418,-0.8901406797907649
SYDNEY COLSON,SAN,2016,G,Secondary Creator/Distributor,574.5999999999999,-2.410043080714556,-2.096852804919565
TORA SUBER,CHA,1998,G,Spot-up Shooter,684.0,-2.410522590615692,8.67104616390353
CHINEY OGWUMIKE,CON,2014,PowerF,Interior Primary Option,920.7,-2.419538657257826,-1.2776562644351528
TIANNA HAWKINS,WAS,2023,F,Secondary Creator/Distributor,924.0,-2.421402029893262,-3.2668122149084162
LISA HARRISON,PHO,2003,F,Roller/Cutter,838.1999999999999,-2.4225042379090915,2.2602374814258
DIANA TAURASI,PHO,2024,G,Primary On-Ball Creator,1044.0,-2.4227895562049278,-0.11551535938299429
LAYSHIA CLARENDON,CON,2019,G,Secondary Creator/Distributor,137.70000000000002,-2.42750016468145,-1.26857976967226
RONEEKA HODGES,MIN,2009,G,Spot-up Shooter,900.9,-2.4307236287114016,-1.4851223215376237
KAYLA THORNTON,NYL,2024,F,Spot-up Shooter,808.0,-2.431959134719932,-0.3972560268705152
JESSIE HICKS,SAN,2004,PowerF,Interior Primary Option,369.9,-2.4355553458831904,0.2025435351764473
KAREN BOOKER,HOU,1998,C,Secondary Creator/Distributor,2.2,-2.4405291241728424,-82.68587266882341
MATEE AJAVON,ATL,2015,G,Secondary Creator/Distributor,580.8000000000001,-2.4428940819997145,-1.8143640413620983
DEVEREAUX PETERS,MIN,2012,F,Roller/Cutter,423.0,-2.442917797849398,2.6320771887149674
CATHRINE KRAAYEVELD,CHI,2011,F,Spot-up Shooter,679.8000000000001,-2.4471163192570566,5.095705369233575
TRACY HENDERSON,CLE,1999,C,Roller/Cutter,305.1,-2.4481936136985634,3.153296153818994
LAYSHIA CLARENDON,LAS,2024,G,Secondary Creator/Distributor,333.90000000000003,-2.456146053970931,1.062876471065545
DEMYA WALKER,POR,2001,F,Interior Primary Option,298.2,-2.461373686768276,-2.8477484344757995
ALLIE QUIGLEY,CHI,2020,G,Primary On-Ball Creator,631.4,-2.4679927964892885,-0.6246773604179152
RIQUNA WILLIAMS,TUL,2015,G,Primary On-Ball Creator,812.0,-2.469178629624524,-0.5980677019765623
ESSENCE CARSON,NYL,2011,G,Primary On-Ball Creator,723.2,-2.4693472040991153,-3.571593898432603
SHEKINNA STRICKLEN,CON,2018,F,Spot-up Shooter,639.2,-2.47370805060771,-0.9435045334964168
LEXIE BROWN,LAS,2022,G,Spot-up Shooter,850.0,-2.4739441189239253,-1.0597006571082166
MICHELLE SNOW,SAN,2010,C,Interior Primary Option,819.4000000000001,-2.4742348347981262,-4.746471765117669
TULLY BEVILAQUA,IND,2009,G,Spot-up Shooter,856.8,-2.483086013428908,-1.560681314359984
MISTIE BASS,CHI,2009,F,Roller/Cutter,126.4,-2.483296124205792,6.181557701506434
SEIMONE AUGUSTUS,MIN,2018,SG,Secondary Creator/Distributor,864.6,-2.4854500084759725,-0.34236323275940395
KARIMA CHRISTMAS-KELLY,IND,2013,SG,Spot-up Shooter,914.6,-2.4858681998391527,3.728499066491225
ARIKE OGUNBOWALE,DAL,2022,G,Primary On-Ball Creator,942.0,-2.4883517741837395,-1.4530702770773058
HELEN DARLING,SAN,2007,G,Secondary Creator/Distributor,683.1,-2.501316667273568,0.11762318290250962
KAHLEAH COPPER,CHI,2021,SG,Perimeter-Oriented Big/Wing,985.6,-2.504188975309061,-3.3559519925783627
LINDSAY WHALEN,CON,2006,G,Secondary Creator/Distributor,864.6,-2.506259718565495,11.539375838961265
MORIAH JEFFERSON,DAL,2021,G,Secondary Creator/Distributor,498.7999999999999,-2.5068259541806106,-0.30272508480506033
BETNIJAH LANEY-HAMILTON,NYL,2021,SG,Primary On-Ball Creator,1078.4,-2.5086959248406857,-7.369753605528128
JIA PERKINS,SAN,2011,G,Primary On-Ball Creator,850.0,-2.512277214979753,0.4410711978645605
LINDA BURGESS,SAC,1999,F,Interior Primary Option,232.2,-2.514382958977257,11.951814431272929
KARA BRAXTON,DET,2005,PowerF,Interior Primary Option,458.7,-2.51483357522583,-13.688390234103935
JESSICA DAVENPORT,IND,2010,C,Interior Primary Option,468.6,-2.5150223315832942,1.523176655798331
NATASHA HOWARD,NYL,2022,F,Perimeter-Oriented Big/Wing,1046.5,-2.515457949024132,-0.6431936020667797
KELSEY MITCHELL,IND,2024,G,Primary On-Ball Creator,1280.0,-2.5174539981638384,0.19421804008108767
JOYNER HOLMES,SEA,2023,F,Secondary Creator/Distributor,357.0,-2.5185553595072983,-12.059314315545228
KATIE SMITH,DET,2006,G,Spot-up Shooter,1139.0,-2.5218482349203555,0.6478163548404661
MARINA MABREY,CHI,2023,G,Primary On-Ball Creator,1170.0,-2.5231560883887973,-0.7165524249104526
ASTOU NDOUR-FALL,CHI,2018,PowerF,Roller/Cutter,255.2,-2.5260182578509847,-13.056785496228784
REBEKKAH BRUNSON,SAC,2004,F,Roller/Cutter,493.0,-2.5264073261944637,-0.37513732441116665
MARISSA COLEMAN,LAS,2013,SG,Spot-up Shooter,595.0,-2.527747794721645,0.8515558303389257
ALEX HARDEN,PHO,2016,G,Secondary Creator/Distributor,210.0,-2.529242471600458,11.510237062831187
COURTNEY WILLIAMS,ATL,2021,G,Primary On-Ball Creator,1100.8,-2.531076186389785,-0.9974745364621758
KELLY MAZZANTE,CHA,2005,G,Spot-up Shooter,224.1,-2.5324438948928467,-21.036691601594313
CHASITY MELVIN,WAS,2009,PowerF,Roller/Cutter,754.8,-2.5337725737369277,-1.7059594558325797
SAMI WHITCOMB,NYL,2021,G,Spot-up Shooter,843.0,-2.5366358790080765,0.7795021303014109
JANETH ARCAIN,HOU,2003,G,Perimeter-Oriented Big/Wing,1139.0,-2.537442485082982,0.8704419038553344
CHANTE BLACK,TUL,2010,C,Roller/Cutter,710.5999999999999,-2.5401224246610425,-2.4200152230112213
NIELE IVEY,PHO,2005,G,Secondary Creator/Distributor,254.8,-2.541081601939638,-0.3153148055341788
NATASHA CLOUD,WAS,2019,G,Spot-up Shooter,1094.8000000000002,-2.5439321938950403,-2.7311128277594525
TULLY BEVILAQUA,SAN,2011,G,Spot-up Shooter,493.0,-2.5441080200165214,-1.8179621131146888
ARIEL ATKINS,WAS,2021,G,Primary On-Ball Creator,918.0,-2.5476122346184047,0.0344782414682312
JACKIE YOUNG,LVA,2019,G,Secondary Creator/Distributor,765.0,-2.5491822961316664,-1.7678843059398752
NAKIA SANFORD,SEA,2013,PowerF,Roller/Cutter,153.0,-2.5510065650023974,-16.557083940944153
ARMINTIE HERRINGTON,ATL,2012,G,Roller/Cutter,904.4,-2.551324026089654,-1.6373334117687195
KISHA FORD,MIA,2001,SG,Secondary Creator/Distributor,396.0,-2.5516467740057394,1.7632762658019967
TEMEKA JOHNSON,PHO,2011,G,Secondary Creator/Distributor,717.0,-2.552866000388811,0.3691959812639585
REBECCA LOBO,NYL,1999,C,Roller/Cutter,1.0,-2.5536788827984873,24.645890719250424
CLARISSE MACHANGUANA,LAS,2000,PowerF,Roller/Cutter,421.6,-2.5570163476467176,-4.7280941028378365
RACHEL BANHAM,MIN,2020,G,Spot-up Shooter,338.0,-2.5583472851629425,3.7951267235024098
NIKKI TEASLEY,WAS,2006,G,Primary On-Ball Creator,979.2,-2.560481223153773,2.1625646937560696
TONYA EDWARDS,CHA,2001,G,Secondary Creator/Distributor,582.4,-2.5615500874979067,3.5647935953622865
CHANTELLE ANDERSON,SAN,2007,C,Roller/Cutter,85.8,-2.5619619319134896,-12.960560172443989
ELIZABETH WILLIAMS,ATL,2018,PowerF,Interior Primary Option,884.4,-2.5638756952868578,1.2893096543138283
ALYSHA CLARK,LVA,2023,F,Spot-up Shooter,877.5,-2.5664111540657935,3.566878803731773
KATIE GEARLDS,SEA,2007,SG,Spot-up Shooter,438.9,-2.5690946184019134,-6.862715528566829
ERIN PHILLIPS,IND,2011,G,Secondary Creator/Distributor,688.1999999999999,-2.5701256958113268,6.329012952285088
VANESSA NYGAARD,CLE,1999,F,Spot-up Shooter,19.6,-2.5704483028800205,1.18581317028611
KATRINA COLLETON,LAS,1998,F,Secondary Creator/Distributor,576.0,-2.575591583997057,11.33767722619108
RAE BURRELL,LAS,2023,SG,Spot-up Shooter,321.9,-2.575775677824215,-4.819193304318852
NATASHA HOWARD,DAL,2024,F,Perimeter-Oriented Big/Wing,823.5,-2.5776839927358433,-4.50687959960628
KAYLA THORNTON,DAL,2020,F,Spot-up Shooter,556.6,-2.579343737023977,0.39569184586763206
SHAKIRA AUSTIN,WAS,2024,PowerF,Interior Primary Option,237.6,-2.5808220150299412,-0.46577046173872283
GRACE BERGER,IND,2023,G,Secondary Creator/Distributor,525.6,-2.5828946273374767,-0.48849724271174955
A'JA WILSON,LVA,2018,C,Perimeter-Oriented Big/Wing,1009.8,-2.592725452435637,-0.25397230549190386
TONYA MASSALINE,WAS,2000,F,Spot-up Shooter,102.6,-2.5953397107405523,-5.792476400298013
KRYSTAL THOMAS,PHO,2013,C,Roller/Cutter,476.0,-2.600288434191943,-6.1278822315318235
CHELSEA GRAY,LAS,2020,G,Primary On-Ball Creator,673.2,-2.601281930259399,5.4959775327583476
SHEY PEDDY,PHO,2020,G,Secondary Creator/Distributor,256.7,-2.604924011815079,-2.4160744242591967
LAYSHIA CLARENDON,LAS,2023,G,Secondary Creator/Distributor,686.4000000000001,-2.6108118483649334,4.161380435276875
KRISTY WALLACE,IND,2024,G,Spot-up Shooter,447.2,-2.619407454880232,-7.556083675282061
ERIKA DE SOUZA,ATL,2013,PowerF,Interior Primary Option,1016.6,-2.6194662389964445,2.494564622744969
JORDIN CANADA,SEA,2019,G,Secondary Creator/Distributor,864.0,-2.619991148521287,-0.7459261100096306
BRITTNEY SYKES,LAS,2022,G,Perimeter-Oriented Big/Wing,921.6,-2.620927166023457,-2.9024271962698256
JESSICA BIBBY,NYL,2000,G,Secondary Creator/Distributor,66.3,-2.6219713356779155,-15.068709400897024
KATIE SMITH,MIN,1999,G,Primary On-Ball Creator,969.0,-2.625077893304171,-9.720315218503938
CHERYL FORD,DET,2007,F,Interior Primary Option,460.5,-2.6252379661385605,11.291997825333237
DANIELLE ROBINSON,IND,2021,G,Secondary Creator/Distributor,657.5999999999999,-2.6252935445633296,-3.3968747743078893
NATASHA CLOUD,WAS,2023,G,Primary On-Ball Creator,1198.8,-2.6290404844065045,2.043315572947915
KELSEY GRIFFIN,CON,2014,F,Roller/Cutter,595.1999999999999,-2.631680907134808,4.504570154568807
OKSANA ZAKALUZHNAYA,DET,2000,C,Roller/Cutter,259.90000000000003,-2.6320811020137436,0.6153140001333898
TYASHA HARRIS,DAL,2020,G,Secondary Creator/Distributor,411.6,-2.635447517734996,-6.23259653034922
ANNA CRUZ,NYL,2014,G,Secondary Creator/Distributor,921.4,-2.6361596913323044,-3.899979194111217
JANEL MCCARVILLE,CHA,2006,PowerF,Roller/Cutter,423.0,-2.6439677165736875,-7.913468201889545
TAMMY SUTTON-BROWN,CHA,2005,C,Interior Primary Option,887.4000000000001,-2.6482067762340025,-5.278621759619516
ANN WAUTERS,LAS,2016,C,Roller/Cutter,96.6,-2.6524357223389234,-11.624023887886567
LANEISHEA CAUFIELD,UTA,2002,G,Spot-up Shooter,64.8,-2.654273889668363,1.479912593134563
NIA COFFEY,ATL,2023,F,Secondary Creator/Distributor,678.9,-2.6613059419242315,1.0450926565913252
JEWELL LOYD,SEA,2017,G,Primary On-Ball Creator,1057.4,-2.6663531595435996,3.091374502738512
BRIONNA JONES,CON,2019,F,Interior Primary Option,226.8,-2.6676079588556934,-14.148785011831146
TINA THOMPSON,HOU,2006,F,Perimeter-Oriented Big/Wing,695.1,-2.668708694417689,6.942225168554151
CHARDE HOUSTON,NYL,2014,F,Secondary Creator/Distributor,142.8,-2.6756437162617512,1.2628705572867243
DANIELLE ROBINSON,MIN,2018,G,Secondary Creator/Distributor,520.8000000000001,-2.677853307715975,1.1588282821720037
LINDSAY ALLEN,LVA,2020,G,Secondary Creator/Distributor,283.5,-2.679559986555451,1.4094610897787565
ERLANA LARKINS,MIN,2018,F,Roller/Cutter,167.70000000000002,-2.682347896409989,-2.0686887934914395
ASTOU NDOUR-FALL,CHI,2019,PowerF,Roller/Cutter,367.5,-2.682388610720795,2.9506575061430413
EDNA CAMPBELL,SAC,2001,G,Spot-up Shooter,854.4,-2.6846127795799,2.329162228353224
DIAMOND DESHIELDS,CHI,2018,G,Primary On-Ball Creator,969.0,-2.6873788337852806,1.315121080591935
KRISTI TOLIVER,LAS,2015,G,Primary On-Ball Creator,865.1999999999999,-2.6911540483694893,0.9925039611711473
SYLVIA FOWLES,MIN,2019,C,Interior Primary Option,1003.0,-2.6912167823403266,0.5950643068748409
RHYNE HOWARD,ATL,2022,G,Primary On-Ball Creator,1064.2,-2.691562000698439,-8.334602335935475
JAMIERRA FAULKNER,CHI,2016,G,Primary On-Ball Creator,656.2,-2.6916953008334508,0.5532354873320542
AMBER HALL,POR,2002,F,Roller/Cutter,102.0,-2.6936564311481477,3.022767133598881
TONI FOSTER,PHO,1999,PowerF,Roller/Cutter,43.0,-2.6937442957074316,-11.793546641894142
CECILIA ZANDALASINI,MIN,2024,F,Secondary Creator/Distributor,488.0,-2.696208960978198,-5.517169980707177
LINDSAY ALLEN,LVA,2018,G,Secondary Creator/Distributor,357.6,-2.697725218283963,-3.342518069630286
TICHA PENICHEIRO,SAC,2007,G,Secondary Creator/Distributor,736.0,-2.697769684989954,5.6622804614849755
CHANTE BLACK,TUL,2012,C,Roller/Cutter,365.4,-2.698726030779246,-3.915993326039069
NIKKI TEASLEY,LAS,2003,G,Primary On-Ball Creator,1186.6,-2.700395365164675,-20.75270627120809
KERRI GARDIN,CON,2009,F,Secondary Creator/Distributor,594.0,-2.707194220323359,-0.24316886923061087
SUGAR RODGERS,NYL,2016,G,Spot-up Shooter,1006.5,-2.718504737550684,2.344527905229731
NICOLE OHLDE,MIN,2004,PowerF,Interior Primary Option,1020.0,-2.7218082454133525,3.639509946031801
STEPHANIE TALBOT,SEA,2022,F,Spot-up Shooter,547.4000000000001,-2.7309935691715146,-1.2526617539342606
DEANNA NOLAN,DET,2006,SG,Primary On-Ball Creator,1091.4,-2.7313893211808535,4.904460239043148
ERIN PHILLIPS,PHO,2014,G,Spot-up Shooter,623.6999999999999,-2.732524701053311,8.301242069325317
KRISTI TOLIVER,WAS,2017,G,Spot-up Shooter,989.4,-2.7379826190427474,2.3525461119450934
STACEY THOMAS,DET,2003,F,Spot-up Shooter,267.0,-2.7421999310038956,-15.559061938967336
STACEY DALES,CHI,2007,F,Spot-up Shooter,799.8000000000001,-2.7427728515459,-1.4605514153646557
KAYLA PEDERSEN,CON,2015,F,Roller/Cutter,511.5,-2.7429300869901216,3.8636028007310266
CARA CONSUEGRA,UTA,2001,G,Secondary Creator/Distributor,49.5,-2.7444439711553663,-28.32403072658275
RUTH RILEY,SAN,2007,C,Roller/Cutter,774.0,-2.746060388871796,8.172499039908203
ERIKA DE SOUZA,ATL,2012,PowerF,Interior Primary Option,448.5,-2.7536155962000857,3.8287576816945115
SOPHIA YOUNG-MALCOLM,SAN,2011,F,Perimeter-Oriented Big/Wing,1042.8,-2.754522854629619,6.253641326352831
SYLVIA FOWLES,CHI,2011,C,Interior Primary Option,1176.4,-2.7560142548224054,-2.51804019431312
QUANITRA HOLLINGSWORTH,SEA,2015,C,Roller/Cutter,332.1,-2.757786315408373,6.558599267217888
CHARISSE SAMPSON,SEA,2000,G,Spot-up Shooter,281.40000000000003,-2.758764958454494,-1.316975157124916
JOCELYN WILLOUGHBY,NYL,2023,SG,Spot-up Shooter,191.4,-2.7607770039991966,-15.255857492113101
ERIN THORN,MIN,2012,G,Spot-up Shooter,195.0,-2.7615988640437115,2.4129947547189596
NOELLE QUINN,PHO,2015,G,Secondary Creator/Distributor,632.4000000000001,-2.761853432951469,2.917132698608303
KATIE DOUGLAS,CON,2004,SG,Spot-up Shooter,1118.6,-2.762174706821728,0.06523635280270224
ASHLEY ROBINSON,SEA,2011,C,Roller/Cutter,581.4000000000001,-2.763885410254659,2.6688601971192707
TORA SUBER,ORL,1999,G,Secondary Creator/Distributor,115.0,-2.764398186706545,-1.0414826851201906
ISABELLE HARRISON,DAL,2022,F,Interior Primary Option,644.0,-2.76616446023029,-1.935572382267074
LE'COE WILLINGHAM,PHO,2009,F,Interior Primary Option,707.2,-2.769786986180131,1.7679951155878135
MICHELLE SNOW,HOU,2005,C,Interior Primary Option,963.6,-2.7722486814425125,-1.6550445280795356
ELIZABETH WILLIAMS,CHI,2024,PowerF,Interior Primary Option,249.3,-2.776220097185049,7.003350077262765
SANCHO LYTTLE,HOU,2005,F,Roller/Cutter,458.7,-2.7774896945442666,4.7793851074413265
LATOYA SANDERS,LAS,2011,PowerF,Roller/Cutter,222.0,-2.7780499909115,0.24185863721072565
DELISHA MILTON-JONES,WAS,2005,F,Primary On-Ball Creator,1065.9,-2.7786893091678473,1.2555323071277524
ANNA DEFORGE,IND,2006,G,Spot-up Shooter,996.2,-2.7794580286868404,-0.48944566061163886
DANIELLE ROBINSON,ATL,2023,G,Secondary Creator/Distributor,691.2,-2.781593026769654,3.6458335127171035
JENNIFER GILLOM,LAS,2003,PowerF,Secondary Creator/Distributor,396.0,-2.7850961806641794,3.007982793268926
SIKA KONÉ,WAS,2024,F,Interior Primary Option,216.0,-2.785862004739432,8.156188751480874
KAHLEAH COPPER,CHI,2020,SG,Perimeter-Oriented Big/Wing,688.6,-2.78811057874055,2.4357698013987057
KARIMA CHRISTMAS-KELLY,TUL,2015,SG,Secondary Creator/Distributor,918.4,-2.7916205855414473,2.2525660914501557
PENNY TAYLOR,CLE,2001,F,Primary On-Ball Creator,560.0,-2.791753108283169,3.3737261179881095
BARBARA TURNER,SEA,2006,SG,Secondary Creator/Distributor,622.2,-2.803241755720591,0.3364748489982259
CARLA BOYD,DET,2001,F,Spot-up Shooter,228.9,-2.8050648355052497,5.965876818413771
DAMIRIS DANTAS,IND,2024,PowerF,Secondary Creator/Distributor,210.0,-2.8056200395058033,-0.11463929619297486
SOPHIA YOUNG-MALCOLM,SAN,2007,F,Perimeter-Oriented Big/Wing,1105.5,-2.80618014802314,2.368236695224367
TINA THOMPSON,LAS,2010,F,Perimeter-Oriented Big/Wing,1095.6,-2.8074207470696795,-1.631835102251395
ROMANA HAMZOVA,ORL,2000,G,Secondary Creator/Distributor,42.0,-2.811151718800663,-14.593539036656766
BRITTNEY SYKES,LAS,2021,G,Secondary Creator/Distributor,940.8,-2.8145685481641425,6.893132614572204
AGNIESZKA BIBRZYCKA,SAN,2004,SG,Spot-up Shooter,465.6,-2.814731006944376,-3.2078984291117387
SHATORI WALKER-KIMBROUGH,WAS,2019,G,Secondary Creator/Distributor,581.4000000000001,-2.82111423802018,5.347828458123343
ALLISHA GRAY,DAL,2017,G,Primary On-Ball Creator,924.8,-2.8221210957370135,-4.415856456549412
SOPHIA YOUNG-MALCOLM,SAN,2009,F,Perimeter-Oriented Big/Wing,1112.1,-2.8292548668385016,-1.9205680142052048
EPIPHANNY PRINCE,SEA,2022,G,Secondary Creator/Distributor,405.9,-2.8293461700681637,-7.866074193939459
KELSEY MITCHELL,IND,2022,G,Primary On-Ball Creator,1010.6,-2.8326467637725035,-8.159054287013216
JAE KINGI-CROSS,SAN,2006,G,Secondary Creator/Distributor,115.2,-2.8330277111554483,-7.829002109618313
TEMEKA JOHNSON,LAS,2006,G,Secondary Creator/Distributor,816.0,-2.8367392634636848,1.8969214190143036
KELLEY GIBSON,HOU,2003,SG,Spot-up Shooter,208.0,-2.838188681543601,7.908794832547655
ADRIAN WILLIAMS-STRONG,PHO,2002,PowerF,Roller/Cutter,876.8,-2.8383283456235078,-12.495628574513796
NOELLE QUINN,SEA,2017,G,Spot-up Shooter,502.4,-2.8456625317512314,2.6681465208056423
CHRISTI THOMAS,LAS,2006,PowerF,Roller/Cutter,545.4,-2.851990377233406,3.769279034773284
ERIN PHILLIPS,DAL,2016,G,Spot-up Shooter,467.2,-2.8543587967091097,-10.41471316666588
BROOKE SMITH,PHO,2008,PowerF,Roller/Cutter,134.0,-2.858022671946398,-2.679410561292541
CHERYL FORD,DET,2008,F,Interior Primary Option,636.0,-2.8606978610995246,7.4132458509457475
BROOKE WYCKOFF,CON,2003,F,Spot-up Shooter,751.4000000000001,-2.864912676176035,1.769780141339513
CRYSTAL KELLY,SAC,2008,F,Interior Primary Option,551.1,-2.8705187775892123,2.4253064535404416
TRICIA BADER BINFORD,CLE,2000,G,Spot-up Shooter,182.4,-2.8733743664564866,4.695187190804982
TYNESHA LEWIS,HOU,2002,G,Secondary Creator/Distributor,146.2,-2.874540351598461,14.016878921644793
KATE STARBIRD,SAC,1999,SG,Secondary Creator/Distributor,213.6,-2.874871438898802,7.692941135587118
