,Player,Team,Archetype,year
2463,ALLISON HIGHTOWER,CON,Spot-up Shooter,2011
2485,BETTY LENNOX,TUL,Spot-up Shooter,2011
2461,AMBER HOLT,TUL,Spot-up Shooter,2011
2435,JAYNE APPEL MARINELLI,SAN,Roller/Cutter,2011
2441,QUANITRA HOLLINGSWORTH,NYL,Roller/Cutter,2011
2440,PORSHA PHILLIPS,SAN,Roller/Cutter,2011
2439,KARIMA CHRISTMAS-KELLY,TUL,Spot-up Shooter,2011
2438,KARA BRAXTON,NYL,Interior Primary Option,2011
2437,JESSICA ADAIR,MIN,Roller/Cutter,2011
2436,JENNA O'HEA,LAS,Spot-up Shooter,2011
2434,ERIN PHILLIPS,IND,Secondary Creator/Distributor,2011
2443,ALEX MONTGOMERY,NYL,Perimeter-Oriented Big,2011
2432,COCO MILLER,ATL,Perimeter-Oriented Big,2011
2431,SCHOLANDA DORRELL,SAN,Spot-up Shooter,2011
2430,KRISTI TOLIVER,LAS,Primary On-Ball Creator,2011
2429,KATIE DOUGLAS,IND,Primary On-Ball Creator,2011
2460,CHARDE HOUSTON,MIN,Perimeter-Oriented Big,2011
2428,ESSENCE CARSON,NYL,Primary On-Ball Creator,2011
2442,SHANNON BOBBITT,IND,Secondary Creator/Distributor,2011
2433,CRYSTAL LANGHORNE,WAS,Interior Primary Option,2011
2444,DEMYA WALKER,WAS,Roller/Cutter,2011
2452,MONICA WRIGHT,MIN,Secondary Creator/Distributor,2011
2459,AMBER HARRIS,MIN,Roller/Cutter,2011
2458,ALEXIS GRAY-LAWSON,PHO,Secondary Creator/Distributor,2011
2445,SANDORA IRVIN,ATL,Roller/Cutter,2011
2457,RONEEKA HODGES,SAN,Spot-up Shooter,2011
2456,KERRI GARDIN,WAS,Roller/Cutter,2011
2454,PENNY TAYLOR,PHO,Primary On-Ball Creator,2011
2453,NATASHA LACY,LAS,Secondary Creator/Distributor,2011
2455,COURTNEY PARIS,ATL,Roller/Cutter,2011
2451,LINDSAY WISDOM-HYLTON,CHI,Roller/Cutter,2011
2448,CAROLYN SWORDS,CHI,Roller/Cutter,2011
2450,KETIA SWANIER,PHO,Secondary Creator/Distributor,2011
2449,JESSICA MOORE,CON,Roller/Cutter,2011
2446,TEMEKA JOHNSON,PHO,Secondary Creator/Distributor,2011
2447,ALEXIS HORNBUCKLE,MIN,Secondary Creator/Distributor,2011
2290,YELENA LEUCHANKA,ATL,Roller/Cutter,2010
2289,TICHA PENICHEIRO,LAS,Secondary Creator/Distributor,2010
2288,TAMERA YOUNG,CHI,Perimeter-Oriented Big,2010
2286,PENNY TAYLOR,PHO,Primary On-Ball Creator,2010
2287,SANCHO LYTTLE,ATL,Interior Primary Option,2010
2283,LAUREN JACKSON,SEA,Primary On-Ball Creator,2010
2285,NICOLE OHLDE,TUL,Roller/Cutter,2010
2284,LINDSAY WISDOM-HYLTON,LAS,Roller/Cutter,2010
2282,KETIA SWANIER,PHO,Secondary Creator/Distributor,2010
2292,DIANA TAURASI,PHO,Primary On-Ball Creator,2010
2291,DEMYA WALKER,CON,Roller/Cutter,2010
2298,KELLY MILLER,ATL,Spot-up Shooter,2010
2293,NICKY ANOSIKE,MIN,Roller/Cutter,2010
2294,SHAVONTE ZELLOUS,IND,Secondary Creator/Distributor,2010
2295,ASHLEY ROBINSON,SEA,Roller/Cutter,2010
2296,ASJHA JONES,CON,Interior Primary Option,2010
2297,BRIANN JANUARY,IND,Secondary Creator/Distributor,2010
2299,KIA VAUGHN,NYL,Perimeter-Oriented Big,2010
2300,MARIE FERDINAND-HARRIS,LAS,Perimeter-Oriented Big,2010
2301,REBEKKAH BRUNSON,MIN,Roller/Cutter,2010
2302,SHANNA ZOLMAN,TUL,Spot-up Shooter,2010
2280,BECKY HAMMON,SAN,Primary On-Ball Creator,2010
2303,ANDREA RILEY,LAS,Secondary Creator/Distributor,2010
2281,DEWANNA BONNER,PHO,Interior Primary Option,2010
2264,TINA CHARLES,CON,Interior Primary Option,2010
2279,TINA THOMPSON,LAS,Primary On-Ball Creator,2010
2278,SUE BIRD,SEA,Spot-up Shooter,2010
2305,JANA VESELA,SEA,Perimeter-Oriented Big,2010
2257,TAMIKA CATCHINGS,IND,Primary On-Ball Creator,2010
2258,TAMMY SUTTON-BROWN,IND,Roller/Cutter,2010
2259,TAN WHITE,CON,Spot-up Shooter,2010
2260,TANGELA SMITH,PHO,Spot-up Shooter,2010
2261,TANISHA WRIGHT,SEA,Secondary Creator/Distributor,2010
2262,TEMEKA JOHNSON,PHO,Secondary Creator/Distributor,2010
2263,TIFFANY JACKSON,TUL,Perimeter-Oriented Big,2010
2265,TULLY BEVILAQUA,IND,Spot-up Shooter,2010
2266,AMBER HOLT,TUL,Spot-up Shooter,2010
2267,EDWIGE LAWSON-WADE,SAN,Spot-up Shooter,2010
2268,HELEN DARLING,SAN,Secondary Creator/Distributor,2010
2269,JESSICA DAVENPORT,IND,Interior Primary Option,2010
2270,JESSICA MOORE,IND,Roller/Cutter,2010
2271,KALANA GREENE,NYL,Perimeter-Oriented Big,2010
2272,KATIE SMITH,WAS,Spot-up Shooter,2010
2273,LE'COE WILLINGHAM,SEA,Perimeter-Oriented Big,2010
2274,LINDSAY WHALEN,MIN,Secondary Creator/Distributor,2010
2275,MARION JONES,TUL,Perimeter-Oriented Big,2010
2276,PLENETTE PIERSON,NYL,Interior Primary Option,2010
2277,SHALEE LEHNING,ATL,Secondary Creator/Distributor,2010
2304,CHAMIQUE HOLDSCLAW,SAN,Interior Primary Option,2010
2340,MEGAN FRAZEE,SAN,Perimeter-Oriented Big,2010
2306,ALEXIS HORNBUCKLE,MIN,Secondary Creator/Distributor,2010
2331,ABBY BISHOP,SEA,Spot-up Shooter,2010
2333,NATASHA LACY,TUL,Secondary Creator/Distributor,2010
2334,CHRISTI THOMAS,CHI,Roller/Cutter,2010
2335,NIKKI BLUE,NYL,Secondary Creator/Distributor,2010
2336,NURIA MARTINEZ,MIN,Secondary Creator/Distributor,2010
2337,SEQUOIA HOLMES,PHO,Roller/Cutter,2010
2338,BETTY LENNOX,LAS,Spot-up Shooter,2010
2339,CANDACE PARKER,LAS,Interior Primary Option,2010
2341,SHAMEKA CHRISTON,CHI,Spot-up Shooter,2010
2342,CANDICE WIGGINS,MIN,Spot-up Shooter,2010
2343,ALLIE QUIGLEY,SAN,Perimeter-Oriented Big,2010
2344,AMANDA THOMPSON,TUL,Roller/Cutter,2010
2345,JOY CHEEK,IND,Perimeter-Oriented Big,2010
2346,ABI OLAJUWON,CHI,Roller/Cutter,2010
2347,ASHLEY BATTLE,SAN,Perimeter-Oriented Big,2010
2348,KRISTEN MANN,MIN,Spot-up Shooter,2010
2349,TIFFANY STANSBURY,LAS,Roller/Cutter,2010
2350,GABRIELA MARGINEAN,MIN,Secondary Creator/Distributor,2010
2351,ASHLEY WALKER,TUL,Secondary Creator/Distributor,2010
2352,BELINDA SNELL,SAN,Spot-up Shooter,2010
2353,JESSICA ADAIR,MIN,Roller/Cutter,2010
2255,SYLVIA FOWLES,CHI,Interior Primary Option,2010
2332,BROOKE SMITH,PHO,Roller/Cutter,2010
2330,JACINTA MONROE,WAS,Roller/Cutter,2010
2307,JAYNE APPEL MARINELLI,SAN,Roller/Cutter,2010
2329,SANDORA IRVIN,CHI,Perimeter-Oriented Big,2010
2308,SANDRINE GRUDA,CON,Interior Primary Option,2010
2309,COCO MILLER,ATL,Spot-up Shooter,2010
2310,KIESHA BROWN,TUL,Secondary Creator/Distributor,2010
2311,CRYSTAL KELLY,SAN,Perimeter-Oriented Big,2010
2312,SHAY MURPHY,CHI,Perimeter-Oriented Big,2010
2313,JENE MORRIS,IND,Spot-up Shooter,2010
2314,KERRI GARDIN,CON,Perimeter-Oriented Big,2010
2315,QUANITRA HOLLINGSWORTH,MIN,Roller/Cutter,2010
2316,SEIMONE AUGUSTUS,MIN,Primary On-Ball Creator,2010
2317,JENNIFER LACY,TUL,Perimeter-Oriented Big,2010
2318,BRITTAINEY RAVEN,ATL,Spot-up Shooter,2010
2319,RASHANDA MCCANTS,TUL,Spot-up Shooter,2010
2320,ALISON LACEY,SEA,Secondary Creator/Distributor,2010
2321,CHANEL MOKANGO,LAS,Roller/Cutter,2010
2322,TAYLOR LILLEY,PHO,Spot-up Shooter,2010
2323,ALLISON HIGHTOWER,CON,Secondary Creator/Distributor,2010
2324,ANETE JEKABSONE-ZOGOTA,CON,Spot-up Shooter,2010
2325,ASHLEY HOUTS,WAS,Spot-up Shooter,2010
2326,RUTH RILEY,SAN,Perimeter-Oriented Big,2010
2327,SIDNEY SPENCER,NYL,Spot-up Shooter,2010
2328,IVORY LATTA,TUL,Primary On-Ball Creator,2010
2256,TAJ MCWILLIAMS-FRANKLIN,NYL,Perimeter-Oriented Big,2010
2254,SWIN CASH,SEA,Primary On-Ball Creator,2010
2212,ALISON BALES,ATL,Perimeter-Oriented Big,2010
2232,JANEL MCCARVILLE,NYL,Perimeter-Oriented Big,2010
2230,HAMCHETOU MAIGA-BA,MIN,Roller/Cutter,2010
2229,ESSENCE CARSON,NYL,Perimeter-Oriented Big,2010
2228,ERIN THORN,CHI,Spot-up Shooter,2010
2227,ERIKA DE SOUZA,ATL,Roller/Cutter,2010
2226,EPIPHANNY PRINCE,CHI,Primary On-Ball Creator,2010
2225,EBONY HOFFMAN,IND,Perimeter-Oriented Big,2010
2224,DOMINIQUE CANTY,CHI,Secondary Creator/Distributor,2010
2222,CRYSTAL LANGHORNE,WAS,Interior Primary Option,2010
2221,CHASITY MELVIN,WAS,Roller/Cutter,2010
2220,CHARDE HOUSTON,MIN,Primary On-Ball Creator,2010
2219,CHANTE BLACK,TUL,Roller/Cutter,2010
2218,CATHRINE KRAAYEVELD,CHI,Spot-up Shooter,2010
2217,CAPPIE PONDEXTER,NYL,Primary On-Ball Creator,2010
2216,CANDICE DUPREE,PHO,Interior Primary Option,2010
2215,CAMILLE SMITH,SEA,Interior Primary Option,2010
2214,ARMINTIE HERRINGTON,ATL,Roller/Cutter,2010
2213,ANGEL MCCOUGHTRY,ATL,Primary On-Ball Creator,2010
2211,KARA BRAXTON,PHO,Interior Primary Option,2010
2253,SVETLANA ABROSIMOVA,SEA,Spot-up Shooter,2010
2231,IZIANE CASTRO MARQUES,ATL,Primary On-Ball Creator,2010
2223,DELISHA MILTON-JONES,LAS,Interior Primary Option,2010
2233,JIA PERKINS,CHI,Primary On-Ball Creator,2010
2243,MISTIE BASS,CHI,Roller/Cutter,2010
2252,SOPHIA YOUNG-MALCOLM,SAN,Interior Primary Option,2010
2234,KARA LAWSON,CON,Spot-up Shooter,2010
2250,RONEEKA HODGES,SAN,Spot-up Shooter,2010
2249,RENEE MONTGOMERY,CON,Primary On-Ball Creator,2010
2248,NOELLE QUINN,LAS,Spot-up Shooter,2010
2247,NICOLE POWELL,NYL,Spot-up Shooter,2010
2246,NAKIA SANFORD,WAS,Roller/Cutter,2010
2245,MONIQUE CURRIE,WAS,Primary On-Ball Creator,2010
2244,MONICA WRIGHT,MIN,Primary On-Ball Creator,2010
2251,SCHOLANDA DORRELL,TUL,Primary On-Ball Creator,2010
2242,MICHELLE SNOW,SAN,Roller/Cutter,2010
2238,LEILANI MITCHELL,NYL,Spot-up Shooter,2010
2241,MATEE AJAVON,WAS,Secondary Creator/Distributor,2010
2235,KATIE DOUGLAS,IND,Primary On-Ball Creator,2010
2237,KRISTI TOLIVER,LAS,Spot-up Shooter,2010
2236,KELSEY GRIFFIN,CON,Perimeter-Oriented Big,2010
2239,LINDSEY HARDING,WAS,Secondary Creator/Distributor,2010
2240,MARISSA COLEMAN,WAS,Spot-up Shooter,2010
2105,COURTNEY PARIS,CHI,Roller/Cutter,2009
2097,TANGELA SMITH,PHO,Perimeter-Oriented Big,2009
2104,CHANTE BLACK,CON,Roller/Cutter,2009
2102,ARMINTIE HERRINGTON,ATL,Roller/Cutter,2009
2101,TULLY BEVILAQUA,IND,Spot-up Shooter,2009
2100,TINA THOMPSON,LAS,Primary On-Ball Creator,2009
2106,DELISHA MILTON-JONES,LAS,Perimeter-Oriented Big,2009
2099,TIFFANY JACKSON,NYL,Roller/Cutter,2009
2098,TEMEKA JOHNSON,PHO,Secondary Creator/Distributor,2009
2093,SHAVONTE ZELLOUS,DET,Primary On-Ball Creator,2009
2096,TAMIKA CATCHINGS,IND,Primary On-Ball Creator,2009
2095,TAJ MCWILLIAMS-FRANKLIN,DET,Perimeter-Oriented Big,2009
2094,SHYRA ELY-GASH,CHI,Perimeter-Oriented Big,2009
2092,SHANNON JOHNSON,SEA,Secondary Creator/Distributor,2009
2091,SHALEE LEHNING,ATL,Secondary Creator/Distributor,2009
2090,SCHOLANDA DORRELL,DET,Perimeter-Oriented Big,2009
2089,SANCHO LYTTLE,ATL,Interior Primary Option,2009
2088,RENEE MONTGOMERY,MIN,Secondary Creator/Distributor,2009
2108,EDWIGE LAWSON-WADE,SAN,Spot-up Shooter,2009
2107,DEANNA NOLAN,DET,Primary On-Ball Creator,2009
2103,BRIANN JANUARY,IND,Secondary Creator/Distributor,2009
2109,KERRI GARDIN,CON,Perimeter-Oriented Big,2009
2110,KETIA SWANIER,PHO,Secondary Creator/Distributor,2009
2086,QUANITRA HOLLINGSWORTH,MIN,Roller/Cutter,2009
2126,BECKY HAMMON,SAN,Primary On-Ball Creator,2009
2125,ALANA BEARD,WAS,Primary On-Ball Creator,2009
2124,VICKIE JOHNSON,SAN,Spot-up Shooter,2009
2123,TAMECKA DIXON,IND,Perimeter-Oriented Big,2009
2122,SWIN CASH,SEA,Interior Primary Option,2009
2121,SHAMEKA CHRISTON,NYL,Primary On-Ball Creator,2009
2120,JENNIFER LACY,ATL,Perimeter-Oriented Big,2009
2119,JANEL MCCARVILLE,NYL,Interior Primary Option,2009
2118,ERIN PHILLIPS,CON,Spot-up Shooter,2009
2117,ALEXIS HORNBUCKLE,DET,Spot-up Shooter,2009
2116,TANISHA WRIGHT,SEA,Primary On-Ball Creator,2009
2115,SOPHIA YOUNG-MALCOLM,SAN,Interior Primary Option,2009
2114,SIDNEY SPENCER,NYL,Spot-up Shooter,2009
2113,SHANNON BOBBITT,LAS,Secondary Creator/Distributor,2009
2112,RONEEKA HODGES,MIN,Spot-up Shooter,2009
2111,LAURA HARPER,SAN,Roller/Cutter,2009
2087,RASHANDA MCCANTS,MIN,Perimeter-Oriented Big,2009
2064,ERIN PERPEROGLOU,SAN,Perimeter-Oriented Big,2009
2085,NOELLE QUINN,LAS,Spot-up Shooter,2009
2084,NICOLE POWELL,SAC,Primary On-Ball Creator,2009
2063,ERIKA DE SOUZA,ATL,Interior Primary Option,2009
2062,EBONY HOFFMAN,IND,Perimeter-Oriented Big,2009
2061,DOMINIQUE CANTY,CHI,Perimeter-Oriented Big,2009
2060,DEWANNA BONNER,PHO,Interior Primary Option,2009
2059,DEMYA WALKER,CON,Roller/Cutter,2009
2058,CRYSTAL LANGHORNE,WAS,Roller/Cutter,2009
2057,CRYSTAL KELLY,DET,Roller/Cutter,2009
2056,COCO MILLER,ATL,Perimeter-Oriented Big,2009
2055,CHASITY MELVIN,WAS,Roller/Cutter,2009
2054,CHARDE HOUSTON,MIN,Interior Primary Option,2009
2053,CATHRINE KRAAYEVELD,NYL,Spot-up Shooter,2009
2052,CAPPIE PONDEXTER,PHO,Primary On-Ball Creator,2009
2051,CANDICE WIGGINS,MIN,Primary On-Ball Creator,2009
2050,CANDICE DUPREE,CHI,Interior Primary Option,2009
2049,CAMILLE SMITH,SEA,Interior Primary Option,2009
2048,ASHLEY BATTLE,NYL,Spot-up Shooter,2009
2047,ANGEL MCCOUGHTRY,ATL,Primary On-Ball Creator,2009
2129,KATIE DOUGLAS,IND,Primary On-Ball Creator,2009
2065,ERIN THORN,CHI,Spot-up Shooter,2009
2066,ESSENCE CARSON,NYL,Primary On-Ball Creator,2009
2076,LEILANI MITCHELL,NYL,Secondary Creator/Distributor,2009
2083,NAKIA SANFORD,WAS,Roller/Cutter,2009
2082,MONIQUE CURRIE,WAS,Secondary Creator/Distributor,2009
2081,MICHELLE SNOW,ATL,Roller/Cutter,2009
2080,MATEE AJAVON,WAS,Primary On-Ball Creator,2009
2079,LOREE MOORE,NYL,Secondary Creator/Distributor,2009
2078,LINDSEY HARDING,WAS,Secondary Creator/Distributor,2009
2077,LINDSAY WHALEN,CON,Secondary Creator/Distributor,2009
2075,LE'COE WILLINGHAM,PHO,Interior Primary Option,2009
2067,HAMCHETOU MAIGA-BA,SAC,Roller/Cutter,2009
2074,KIESHA BROWN,CON,Secondary Creator/Distributor,2009
2073,KIA VAUGHN,NYL,Roller/Cutter,2009
2072,KELLY MILLER,MIN,Spot-up Shooter,2009
2071,JIA PERKINS,CHI,Primary On-Ball Creator,2009
2070,JANELL BURSE,SEA,Roller/Cutter,2009
2069,IZIANE CASTRO MARQUES,ATL,Primary On-Ball Creator,2009
2068,HELEN DARLING,SAN,Secondary Creator/Distributor,2009
2128,JESSICA MOORE,IND,Roller/Cutter,2009
2127,DIANA TAURASI,PHO,Primary On-Ball Creator,2009
2130,KELLY MAZZANTE,PHO,Spot-up Shooter,2009
2190,BARBARA FARRIS,DET,Roller/Cutter,2009
2188,PENNY TAYLOR,PHO,Primary On-Ball Creator,2009
2187,KATIE MATTERA,CHI,Roller/Cutter,2009
2186,NIKKI BLUE,WAS,Secondary Creator/Distributor,2009
2185,KRISTEN MANN,WAS,Spot-up Shooter,2009
2184,ANNA MONTANANA,MIN,Perimeter-Oriented Big,2009
2183,LATOYA SANDERS,MIN,Roller/Cutter,2009
2182,ANN WAUTERS,SAN,Interior Primary Option,2009
2181,ERLANA LARKINS,NYL,Roller/Cutter,2009
2180,SHANNA ZOLMAN,SAN,Spot-up Shooter,2009
2179,SUZY BATKOVIC-BROWN,SEA,Perimeter-Oriented Big,2009
2178,KATIE GEARLDS,SEA,Spot-up Shooter,2009
2177,TAMERA YOUNG,CHI,Perimeter-Oriented Big,2009
2176,NIKKI TEASLEY,DET,Spot-up Shooter,2009
2175,NICOLE OHLDE,PHO,Roller/Cutter,2009
2174,CHRISTINA WIRTH,IND,Spot-up Shooter,2009
2173,BROOKE SMITH,PHO,Roller/Cutter,2009
2172,LISA LESLIE,LAS,Interior Primary Option,2009
2189,ASHLEY WALKER,SEA,Roller/Cutter,2009
2191,CHRISTI THOMAS,MIN,Secondary Creator/Distributor,2009
2170,ASJHA JONES,CON,Interior Primary Option,2009
2193,MISTIE BASS,CHI,Roller/Cutter,2009
2210,TENAE DAVIS-CAIN,DET,Primary On-Ball Creator,2009
2209,SHERILL BAKER,DET,Secondary Creator/Distributor,2009
2208,PLENETTE PIERSON,DET,Roller/Cutter,2009
2207,KELLY SCHUMACHER,DET,Secondary Creator/Distributor,2009
2206,BRITANY MILLER,DET,Roller/Cutter,2009
2205,LISA WILLIS,SAC,Secondary Creator/Distributor,2009
2204,LA'TANGELA ATKINSON,SEA,Roller/Cutter,2009
2203,ERICA WHITE,IND,Secondary Creator/Distributor,2009
2202,A'QUONESIA FRANKLIN,SEA,Secondary Creator/Distributor,2009
2201,YOLANDA GRIFFITH,IND,Roller/Cutter,2009
2200,KHADIJAH WHITTINGTON,IND,Roller/Cutter,2009
2199,WHITNEY BODDIE,SAC,Roller/Cutter,2009
2198,KRISTI CIRONE,CON,Secondary Creator/Distributor,2009
2197,SEIMONE AUGUSTUS,MIN,Primary On-Ball Creator,2009
2196,ALLIE QUIGLEY,PHO,Secondary Creator/Distributor,2009
2195,BARBARA TURNER,CON,Spot-up Shooter,2009
2194,ANNA DEFORGE,DET,Perimeter-Oriented Big,2009
2171,CHELSEA NEWTON,SEA,Perimeter-Oriented Big,2009
2192,LAUREN ERVIN,CON,Roller/Cutter,2009
2169,AMBER HOLT,CON,Spot-up Shooter,2009
2149,BROOKE WYCKOFF,CHI,Spot-up Shooter,2009
2147,TASHA HUMPHREY,MIN,Perimeter-Oriented Big,2009
2146,MARISSA COLEMAN,WAS,Spot-up Shooter,2009
2145,MARIE FERDINAND-HARRIS,LAS,Perimeter-Oriented Big,2009
2144,KARA BRAXTON,DET,Interior Primary Option,2009
2143,MEGAN FRAZEE,SAN,Perimeter-Oriented Big,2009
2142,LINDSAY WISDOM-HYLTON,LAS,Perimeter-Oriented Big,2009
2141,KRISTIN HAYNIE,WAS,Secondary Creator/Distributor,2009
2139,TICHA PENICHEIRO,SAC,Secondary Creator/Distributor,2009
2138,TAN WHITE,CON,Spot-up Shooter,2009
2137,NICKY ANOSIKE,MIN,Interior Primary Option,2009
2136,BETTY LENNOX,LAS,Primary On-Ball Creator,2009
2135,BELINDA SNELL,SAN,Spot-up Shooter,2009
2134,SUE BIRD,SEA,Primary On-Ball Creator,2009
2133,RUTH RILEY,SAN,Perimeter-Oriented Big,2009
2132,OLAYINKA SANNI,DET,Roller/Cutter,2009
2131,KRISTI HARROWER,LAS,Secondary Creator/Distributor,2009
2168,TAMIKA WHITMORE,CON,Perimeter-Oriented Big,2009
2148,ANETE JEKABSONE-ZOGOTA,CON,Spot-up Shooter,2009
2140,CHERYL FORD,DET,Roller/Cutter,2009
2150,K.B. SHARP,CHI,Secondary Creator/Distributor,2009
2158,LAUREN JACKSON,SEA,Primary On-Ball Creator,2009
2167,SYLVIA FOWLES,CHI,Roller/Cutter,2009
2166,SHAY MURPHY,IND,Perimeter-Oriented Big,2009
2165,IVORY LATTA,ATL,Secondary Creator/Distributor,2009
2164,BERNICE MOSBY,WAS,Roller/Cutter,2009
2163,VANESSA HAYDEN,LAS,Roller/Cutter,2009
2162,KARA LAWSON,SAC,Spot-up Shooter,2009
2160,CANDACE PARKER,LAS,Interior Primary Option,2009
2159,SANDRINE GRUDA,CON,Interior Primary Option,2009
2161,CHAMIQUE HOLDSCLAW,ATL,Primary On-Ball Creator,2009
2156,CHEN NAN,CHI,Roller/Cutter,2009
2155,ASHLEY ROBINSON,SEA,Roller/Cutter,2009
2154,TAMMY SUTTON-BROWN,IND,Roller/Cutter,2009
2153,REBEKKAH BRUNSON,MIN,Interior Primary Option,2009
2152,KRISTI TOLIVER,CHI,Primary On-Ball Creator,2009
2157,JESSICA DAVENPORT,IND,Roller/Cutter,2009
2151,KATIE SMITH,DET,Primary On-Ball Creator,2009
1922,TAMERA YOUNG,ATL,Perimeter-Oriented Big,2008
1918,SIDNEY SPENCER,LAS,Spot-up Shooter,2008
1915,MARIE FERDINAND-HARRIS,LAS,Primary On-Ball Creator,2008
1916,MORENIKE ATUNRASE,SAN,Spot-up Shooter,2008
1917,SHANNON JOHNSON,SEA,Secondary Creator/Distributor,2008
1921,TAJ MCWILLIAMS-FRANKLIN,DET,Interior Primary Option,2008
1919,SOPHIA YOUNG-MALCOLM,SAN,Interior Primary Option,2008
1920,SUE BIRD,SEA,Primary On-Ball Creator,2008
1924,TAN WHITE,IND,Primary On-Ball Creator,2008
1913,KRISTIN HAYNIE,ATL,Secondary Creator/Distributor,2008
1914,LISA LESLIE,LAS,Interior Primary Option,2008
1905,CHARDE HOUSTON,MIN,Interior Primary Option,2008
1912,KATIE MATTERA,ATL,Roller/Cutter,2008
1911,KATIE DOUGLAS,IND,Primary On-Ball Creator,2008
1910,KARA BRAXTON,DET,Interior Primary Option,2008
1909,JENNIFER LACY,ATL,Perimeter-Oriented Big,2008
1908,JAMIE CAREY,CON,Spot-up Shooter,2008
1907,EBONY HOFFMAN,IND,Perimeter-Oriented Big,2008
1906,CRYSTAL KELLY,SAC,Roller/Cutter,2008
1904,CANDACE PARKER,LAS,Interior Primary Option,2008
1926,ANN WAUTERS,SAN,Interior Primary Option,2008
1903,BECKY HAMMON,SAN,Primary On-Ball Creator,2008
1925,TICHA PENICHEIRO,SAC,Secondary Creator/Distributor,2008
1945,SANDRINE GRUDA,CON,Roller/Cutter,2008
1927,CAMILLE SMITH,SEA,Perimeter-Oriented Big,2008
1939,DELISHA MILTON-JONES,LAS,Primary On-Ball Creator,2008
1948,SWIN CASH,SEA,Interior Primary Option,2008
1901,ASHLEY ROBINSON,SEA,Roller/Cutter,2008
1947,SHAMEKA CHRISTON,NYL,Primary On-Ball Creator,2008
1946,SEIMONE AUGUSTUS,MIN,Primary On-Ball Creator,2008
1944,OLAYINKA SANNI,DET,Roller/Cutter,2008
1943,LINDSAY WHALEN,CON,Primary On-Ball Creator,2008
1942,KRISTEN RASMUSSEN,MIN,Perimeter-Oriented Big,2008
1941,JANEL MCCARVILLE,NYL,Interior Primary Option,2008
1940,HELEN DARLING,SAN,Spot-up Shooter,2008
1938,BERNADETTE NGOYISA,SAN,Roller/Cutter,2008
1928,CAPPIE PONDEXTER,PHO,Primary On-Ball Creator,2008
1937,ALISON BALES,PHO,Perimeter-Oriented Big,2008
1936,VICKIE JOHNSON,SAN,Secondary Creator/Distributor,2008
1935,SHERI SAM,DET,Perimeter-Oriented Big,2008
1934,NOELLE QUINN,MIN,Secondary Creator/Distributor,2008
1933,MISTIE BASS,CHI,Roller/Cutter,2008
1932,LATOYA BOND,IND,Secondary Creator/Distributor,2008
1931,KIESHA BROWN,LAS,Spot-up Shooter,2008
1930,KARA LAWSON,SAC,Primary On-Ball Creator,2008
1929,ERIN THORN,CHI,Spot-up Shooter,2008
1902,ASJHA JONES,CON,Interior Primary Option,2008
1923,TAMMY SUTTON-BROWN,IND,Interior Primary Option,2008
1900,ALLISON FEASTER,IND,Spot-up Shooter,2008
1899,ALANA BEARD,WAS,Primary On-Ball Creator,2008
1874,ERIN PERPEROGLOU,SAN,Perimeter-Oriented Big,2008
1873,ERICA WHITE,IND,Secondary Creator/Distributor,2008
1872,DIANA TAURASI,PHO,Primary On-Ball Creator,2008
1871,DEANNA NOLAN,DET,Primary On-Ball Creator,2008
1870,CRYSTAL LANGHORNE,WAS,Roller/Cutter,2008
1869,COCO MILLER,WAS,Spot-up Shooter,2008
1868,CHASITY MELVIN,WAS,Interior Primary Option,2008
1867,CATHRINE KRAAYEVELD,NYL,Spot-up Shooter,2008
1866,CANDICE DUPREE,CHI,Interior Primary Option,2008
1865,BROOKE WYCKOFF,CHI,Spot-up Shooter,2008
1864,BETTY LENNOX,ATL,Primary On-Ball Creator,2008
1863,BARBARA TURNER,CON,Spot-up Shooter,2008
1862,BARBARA FARRIS,SAC,Roller/Cutter,2008
1861,ASHLEY BATTLE,NYL,Secondary Creator/Distributor,2008
1860,ARMINTIE HERRINGTON,CHI,Roller/Cutter,2008
1859,ANNA DEFORGE,MIN,Spot-up Shooter,2008
1858,AMBER HOLT,CON,Spot-up Shooter,2008
1857,ALEXIS HORNBUCKLE,DET,Secondary Creator/Distributor,2008
1856,ADRIAN WILLIAMS-STRONG,SAC,Roller/Cutter,2008
1855,A'QUONESIA FRANKLIN,SAC,Secondary Creator/Distributor,2008
1950,EDWIGE LAWSON-WADE,SAN,Spot-up Shooter,2008
1875,ESSENCE CARSON,NYL,Perimeter-Oriented Big,2008
1876,IVORY LATTA,ATL,Primary On-Ball Creator,2008
1877,JIA PERKINS,CHI,Primary On-Ball Creator,2008
1889,MICHELLE SNOW,ATL,Interior Primary Option,2008
1898,TANISHA WRIGHT,SEA,Secondary Creator/Distributor,2008
1897,TAMIKA WHITMORE,CON,Primary On-Ball Creator,2008
1896,TAMIKA RAYMOND,CON,Roller/Cutter,2008
1895,SHYRA ELY-GASH,CHI,Perimeter-Oriented Big,2008
1894,NICOLE POWELL,SAC,Primary On-Ball Creator,2008
1893,NICOLE OHLDE,PHO,Roller/Cutter,2008
1892,NICKY ANOSIKE,MIN,Roller/Cutter,2008
1891,NAKIA SANFORD,WAS,Roller/Cutter,2008
1890,MONIQUE CURRIE,WAS,Primary On-Ball Creator,2008
1888,MATEE AJAVON,WAS,Primary On-Ball Creator,2008
1878,K.B. SHARP,CHI,Secondary Creator/Distributor,2008
