,Player,Team,Archetype,year
4263,KIERSTAN BELL,LVA,Spot-up Shooter,2023
4254,KRISTY WALLACE,IND,Spot-up Shooter,2023
4262,JORDAN HORSTON,SEA,Perimeter-Oriented Big,2023
4260,ASIA (AD) DURR,ATL,Secondary Creator/Distributor,2023
4259,ROBYN PARKS,CHI,Spot-up Shooter,2023
4258,QUEEN EGBO,WAS,Roller/Cutter,2023
4257,NATASHA CLOUD,WAS,Secondary Creator/Distributor,2023
4256,NAPHEESA COLLIER,MIN,Interior Primary Option,2023
4255,MERCEDES RUSSELL,SEA,Roller/Cutter,2023
4235,MARINA MABREY,CHI,Primary On-Ball Creator,2023
4214,KADI SISSOKO,PHO,Perimeter-Oriented Big,2023
4233,KELSEY PLUM,LVA,Primary On-Ball Creator,2023
4202,BRITTNEY SYKES,WAS,Primary On-Ball Creator,2023
4209,ERICA WHEELER,IND,Secondary Creator/Distributor,2023
4208,ELIZABETH WILLIAMS,CHI,Roller/Cutter,2023
4207,DEARICA HAMBY,LAS,Interior Primary Option,2023
4206,DEWANNA BONNER,CON,Primary On-Ball Creator,2023
4205,COURTNEY WILLIAMS,CHI,Secondary Creator/Distributor,2023
4204,CHEYENNE PARKER-TYUS,ATL,Interior Primary Option,2023
4203,CHELSEA GRAY,LVA,Primary On-Ball Creator,2023
4201,BRIANNA TURNER,PHO,Roller/Cutter,2023
4211,HALEY JONES,ATL,Secondary Creator/Distributor,2023
4200,BREANNA STEWART,NYL,Primary On-Ball Creator,2023
4199,BETNIJAH LANEY-HAMILTON,NYL,Spot-up Shooter,2023
4198,ARIKE OGUNBOWALE,DAL,Primary On-Ball Creator,2023
4197,ALYSSA THOMAS,CON,Interior Primary Option,2023
4196,ALIYAH BOSTON,IND,Interior Primary Option,2023
4195,A'JA WILSON,LVA,Interior Primary Option,2023
4273,KARLIE SAMUELSON,LAS,Spot-up Shooter,2023
4210,EZI MAGBEGOR,SEA,Interior Primary Option,2023
4212,JACKIE YOUNG,LVA,Primary On-Ball Creator,2023
4232,DANA EVANS,CHI,Secondary Creator/Distributor,2023
4223,SAMI WHITCOMB,SEA,Spot-up Shooter,2023
4231,COURTNEY VANDERSLOOT,NYL,Secondary Creator/Distributor,2023
4229,VERONICA BURTON,DAL,Secondary Creator/Distributor,2023
4228,TYASHA HARRIS,CON,Spot-up Shooter,2023
4227,TIFFANY HAYES,CON,Primary On-Ball Creator,2023
4226,TIANNA HAWKINS,WAS,Perimeter-Oriented Big,2023
4225,SUG SUTTON,PHO,Secondary Creator/Distributor,2023
4224,SHATORI WALKER-KIMBROUGH,WAS,Spot-up Shooter,2023
4222,REBECCA ALLEN,CON,Spot-up Shooter,2023
4213,JONQUEL JONES,NYL,Interior Primary Option,2023
4221,NAZ HILLMON,ATL,Roller/Cutter,2023
4220,NATISHA HIEDEMAN,CON,Spot-up Shooter,2023
4219,MICHAELA ONYENWERE,PHO,Perimeter-Oriented Big,2023
4218,KIAH STOKES,LVA,Perimeter-Oriented Big,2023
4217,KIA NURSE,SEA,Spot-up Shooter,2023
4216,KELSEY MITCHELL,IND,Primary On-Ball Creator,2023
4215,KAYLA THORNTON,NYL,Spot-up Shooter,2023
4272,JOYNER HOLMES,SEA,Perimeter-Oriented Big,2023
4230,ALYSHA CLARK,LVA,Spot-up Shooter,2023
4274,LI MENG,WAS,Spot-up Shooter,2023
4323,JASMINE DICKEY,DAL,Roller/Cutter,2023
4330,LEXIE BROWN,LAS,Spot-up Shooter,2023
4329,EMILY ENGSTLER,MIN,Perimeter-Oriented Big,2023
4328,ALAINA COATES,LVA,Roller/Cutter,2023
4327,KRISTINE ANIGWE,CON,Roller/Cutter,2023
4326,BRIONNA JONES,CON,Interior Primary Option,2023
4325,LIZ DIXON,PHO,Roller/Cutter,2023
4324,LINNAE HARPER,WAS,Perimeter-Oriented Big,2023
4322,VICTARIA SAXTON,IND,Roller/Cutter,2023
4333,CYESHA GOREE,WAS,Perimeter-Oriented Big,2023
4321,TAYLOR SOULE,CHI,Roller/Cutter,2023
4320,DESTANNI HENDERSON,PHO,Secondary Creator/Distributor,2023
4319,SHEY PEDDY,PHO,Spot-up Shooter,2023
4318,EVINA WESTBROOK,LAS,Perimeter-Oriented Big,2023
4317,CANDACE PARKER,LVA,Perimeter-Oriented Big,2023
4316,SHAKIRA AUSTIN,WAS,Interior Primary Option,2023
4315,RUTHY HEBARD,CHI,Roller/Cutter,2023
4331,KRISTI TOLIVER,WAS,Spot-up Shooter,2023
4334,EPIPHANNY PRINCE,NYL,Secondary Creator/Distributor,2023
4313,SIKA KONÉ,CHI,Roller/Cutter,2023
4344,NIA CLOUDEN,LAS,Secondary Creator/Distributor,2023
4275,MEGAN GUSTAFSON,PHO,Interior Primary Option,2023
4350,SAM THOMAS,PHO,Roller/Cutter,2023
4349,LAUREN COX,CON,Secondary Creator/Distributor,2023
4348,KHAALIA HILLSMAN,CHI,Secondary Creator/Distributor,2023
4347,REBEKAH GARDNER,CHI,Secondary Creator/Distributor,2023
4346,LORELA CUBAJ,ATL,Roller/Cutter,2023
4345,KAILA CHARLES,SEA,Roller/Cutter,2023
4343,MADI WILLIAMS,PHO,Roller/Cutter,2023
4335,GABBY WILLIAMS,SEA,Secondary Creator/Distributor,2023
4342,TAYLOR MIKESELL,ATL,Spot-up Shooter,2023
4341,JENNIE SIMMS,PHO,Roller/Cutter,2023
4340,BERNADETT HATÁR,CON,Roller/Cutter,2023
4339,KAYANA TRAYLOR,MIN,Roller/Cutter,2023
4338,HAN XU,NYL,Roller/Cutter,2023
4337,ARELLA GUIRANTES,SEA,Secondary Creator/Distributor,2023
4336,ABBY MEYERS,WAS,Roller/Cutter,2023
4314,ASHLEY JOENS,PHO,Spot-up Shooter,2023
4332,CHINEY OGWUMIKE,LAS,Interior Primary Option,2023
4312,ILIANA RUPERT,ATL,Perimeter-Oriented Big,2023
4294,JOCELYN WILLOUGHBY,NYL,Perimeter-Oriented Big,2023
4292,TEAIRA MCCOWAN,DAL,Roller/Cutter,2023
4291,MAYA CALDWELL,IND,Perimeter-Oriented Big,2023
4290,LEXIE HULL,IND,Spot-up Shooter,2023
4289,EMMA CANNON,IND,Interior Primary Option,2023
4288,SOPHIE CUNNINGHAM,PHO,Spot-up Shooter,2023
4287,NIA COFFEY,ATL,Perimeter-Oriented Big,2023
4285,BRITTNEY GRINER,PHO,Interior Primary Option,2023
4284,RACHEL BANHAM,MIN,Spot-up Shooter,2023
4283,KALANI BROWN,DAL,Roller/Cutter,2023
4282,JASMINE THOMAS,LAS,Spot-up Shooter,2023
4281,DIAMOND MILLER,MIN,Primary On-Ball Creator,2023
4280,DIJONAI CARRINGTON,CON,Perimeter-Oriented Big,2023
4279,DANIELLE ROBINSON,ATL,Secondary Creator/Distributor,2023
4278,CAYLA GEORGE,LVA,Perimeter-Oriented Big,2023
