Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Candace Parker,LVA,F-C,18,425,18,18,425,7,15,0.465,2,5.9,0.333,5,9.1,0.551,2.9,3.3,0.893,1.9,11.3,7.8,3.1,1.9,3.6,4.1,18.8,2023
Cheyenne Parker-Tyus,ATL,F,40,1066,40,38,1066,10.7,22.2,0.482,0.7,2.5,0.278,10,19.8,0.508,5.6,6.8,0.829,4,12.4,3.3,2,2.7,4.2,5.3,27.8,2023
Robyn Parks,CHI,F,37,505,37,2,505,5.3,14,0.381,3.2,8.8,0.368,2.1,5.2,0.404,0.7,0.7,1,1.5,5.9,1.6,1.2,0.5,1.9,3.5,14.6,2023
Shey Peddy,PHO,G,18,285,18,0,285,5.6,15.3,0.369,2.9,8.4,0.348,2.7,6.9,0.395,2.9,3.6,0.8,1.3,6,6,2.7,0.2,1.8,5.5,17.1,2023
Kelsey Plum,LVA,G,39,1265,39,39,1265,9.7,20.5,0.475,3.7,9.5,0.389,6,10.9,0.55,5.3,5.8,0.912,0.4,3.7,6.9,1.7,0,3.2,3.7,28.5,2023
Aerial Powers,MIN,G,20,195,20,0,195,9.9,24,0.413,1.6,5,0.316,8.4,19.1,0.438,5.7,6.3,0.917,1.6,9.4,3.9,0.8,0.5,4.7,1.6,27.1,2023
Epiphanny Prince,NYL,G,10,71,10,0,71,4.3,10.7,0.4,2.1,7.1,0.3,2.1,3.6,0.6,2.1,2.1,1,0.7,4.3,5.7,1.4,0.7,5,4.3,12.8,2023
Danielle Robinson,ATL,G,32,690,32,27,690,5.1,11,0.461,0.6,2.2,0.29,4.4,8.8,0.504,2.6,3.4,0.75,0.6,4.9,7.4,1.6,0.2,3.1,4.6,13.4,2023
Iliana Rupert,ATL,C,20,158,20,0,158,3.7,10.6,0.353,1.9,6.9,0.273,1.9,3.7,0.5,1.6,2.5,0.625,2.2,12.2,3.1,2.2,2.2,3.1,6.9,10.9,2023
Mercedes Russell,SEA,C,37,705,37,13,705,5.8,11.2,0.516,0,0.1,0,5.8,11.1,0.519,1.6,2.7,0.605,2.8,10.6,3.4,1.1,1.2,3.9,4,13.2,2023
Nyara Sabally,NYL,C,33,260,33,0,260,4.9,11.5,0.424,0.4,1.8,0.222,4.5,9.7,0.46,4.7,6.2,0.75,3.7,13.6,1.4,0.8,1.4,3.5,7.4,14.8,2023
Satou Sabally,DAL,F,38,1258,38,38,1258,9.4,21.7,0.435,2.6,7.3,0.361,6.8,14.4,0.472,6.6,7.6,0.874,3.4,12.2,6.6,2.7,0.6,4.4,5.4,28.1,2023
Karlie Samuelson,LAS,G,34,888,34,23,888,4.7,10.1,0.463,2.8,6.6,0.426,1.9,3.6,0.532,2.8,2.9,0.941,0.6,5.8,3.9,1.3,0.2,1.7,4.6,15,2023
Victaria Saxton,IND,F,15,54,15,0,54,5.7,17.1,0.333,1,1.9,0.5,4.8,15.2,0.313,5.7,6.7,0.857,1.9,9.5,0,1,0,5.7,8.6,18.1,2023
Jessica Shepard,MIN,F,21,565,21,17,565,5.9,11.4,0.516,0,0.2,0,5.9,11.2,0.524,3.7,4.8,0.774,4,13.4,6,1.1,0.2,2.7,3.8,15.4,2023
Maddy Siegrist,DAL,F,39,319,39,0,319,8.9,17.6,0.509,0.8,2.4,0.333,8.1,15.2,0.536,4.2,4.5,0.931,5.6,9.6,1.3,1.3,1.1,1.4,4.4,22.9,2023
Jennie Simms,PHO,G,6,70,6,0,70,3,10.4,0.286,0,3.7,0,3,6.7,0.444,3.7,5.2,0.714,3,9.6,2.2,1.5,0,4.5,5.2,9.6,2023
Odyssey Sims,DAL,G,28,335,28,0,335,3.1,10.3,0.304,0.3,2.2,0.133,2.8,8.1,0.352,1.6,3,0.55,1.2,5.5,9.3,1.8,0,2.5,4.6,8.2,2023
Kadi Sissoko,PHO,F,40,336,40,0,336,3.6,9.6,0.371,0.5,2.8,0.167,3.1,6.8,0.455,1.5,2.5,0.625,2.6,9.6,1.2,0.5,0.8,4,6.6,9.1,2023
Alanna Smith,CHI,F,38,1007,38,35,1007,6.7,13.4,0.498,1.5,5.2,0.294,5.2,8.2,0.626,2.8,4.1,0.679,3.5,12.6,3.4,2.5,2.5,2.8,5.9,17.6,2023
NaLyssa Smith,IND,F,31,885,31,28,885,10.9,22.9,0.477,1.1,3.9,0.284,9.8,19,0.517,4.9,7.2,0.677,3.7,16.5,2.6,0.6,0.6,4.9,5.4,27.8,2023
Taylor Soule,CHI,F,15,53,15,0,53,1.9,13.4,0.143,0,2.9,0,1.9,10.6,0.182,4.8,7.7,0.625,2.9,7.7,2.9,0,1,3.8,5.8,8.6,2023
Azura Stevens,LAS,F-C,35,910,35,29,910,8.3,20.6,0.404,2,6.1,0.321,6.4,14.5,0.438,2.6,3.4,0.754,3,11.6,2.2,2.3,1.8,2.9,5,21.2,2023
Breanna Stewart,NYL,F,40,1365,40,40,1365,11.7,25.2,0.465,3,8.6,0.355,8.7,16.6,0.521,7.6,8.9,0.851,2.4,13.8,5.6,2.2,2.3,2.2,2.8,34.1,2023
Kiah Stokes,LVA,C,40,792,40,22,792,2.2,5.2,0.434,0.3,1.7,0.185,1.9,3.5,0.554,0.6,1.1,0.5,2.8,14.6,1.4,1.6,2.4,1.1,4.4,5.4,2023
Sug Sutton,PHO,G,40,1051,40,12,1051,6.2,16.2,0.385,1.5,4.4,0.337,4.7,11.8,0.403,2.3,2.8,0.807,0.7,5,9.4,1.3,0.1,4.9,3.1,16.2,2023
Brittney Sykes,WAS,G,40,1252,40,40,1252,9.3,21.1,0.439,2.3,6.5,0.35,7,14.6,0.478,4.9,6.2,0.797,1.5,8,6.2,3.4,0.5,3.9,4.6,25.7,2023
Diana Taurasi,PHO,G,26,709,26,26,709,9.4,23.3,0.403,4.7,13.7,0.342,4.7,9.6,0.489,7,8.2,0.848,0.1,6.8,8.8,1,0.9,5.7,4.9,30.4,2023
Alyssa Thomas,CON,F,40,1446,40,40,1446,8.6,18.3,0.474,0,0.1,0,8.6,18.2,0.476,4.7,6.6,0.715,2.8,14,11.2,2.6,0.7,4.9,3.9,22,2023
Jasmine Thomas,LAS,G,32,410,32,7,410,3.7,13.7,0.273,1.9,7.7,0.242,1.9,6,0.313,1.2,1.4,0.909,1.2,4.2,5.2,1.1,0.7,2.6,3.5,10.6,2023
Sam Thomas,PHO,G-F,1,11,1,0,11,0,9.4,0,0,0,,0,9.4,0,0,0,,0,4.7,0,0,0,0,4.7,0,2023
Kayla Thornton,NYL,F,40,693,40,0,693,4.7,11,0.433,1.8,5.8,0.313,2.9,5.1,0.571,1.7,2.2,0.767,3.5,10.3,2,2,0.7,1.5,4.8,13,2023
