Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Wanisha Smith,DET,G,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,2008
Michelle Snow,HOU,C,34,856,34,34,856,7.7,14.6,0.532,0.1,0.1,0.5,7.7,14.4,0.532,5.1,7.3,0.697,4.5,14.1,2.6,1.1,1.8,3.8,6.8,20.6,2008
Sidney Spencer,LAS,G,33,451,33,2,451,7.3,17.9,0.406,3.6,9.4,0.383,3.7,8.5,0.432,2,2.1,0.944,3.2,7.2,2.1,1.6,0.5,2.7,5.5,20.1,2008
Ann Strother,ATL,G-F,21,160,21,0,160,3.8,10.7,0.353,2.2,6,0.368,1.6,4.7,0.333,2.5,3.8,0.667,1.6,4.1,2.2,1.6,0.9,0.9,5.3,12.2,2008
Tammy Sutton-Brown,IND,C,33,956,33,33,956,7.9,16.1,0.495,0,0.1,0,7.9,16,0.497,5.7,8.5,0.673,3.5,11.6,0.9,1.1,3.2,3.8,6.3,21.6,2008
Ketia Swanier,CON,G,25,231,25,6,231,2.9,10.6,0.277,1.6,6.8,0.233,1.4,3.8,0.353,1.8,2.3,0.8,1.1,6.5,5.9,3.2,0.2,4.5,3.8,9.3,2008
Sheryl Swoopes*,SEA,F-G,29,706,29,25,706,5.7,14.6,0.391,1.1,4.8,0.222,4.6,9.8,0.473,3.1,4.5,0.695,2,9.6,4.6,3.3,0.7,2.4,3.3,15.6,2008
Diana Taurasi,PHO,G,34,1083,34,34,1083,11.5,25.9,0.446,4,11,0.36,7.6,14.8,0.509,9.6,11,0.87,1.2,7.7,5.4,2.1,2.1,3.7,5.6,36.7,2008
Christi Thomas,LAS,F-C,20,159,20,0,159,3.9,11.1,0.353,0.3,2,0.167,3.6,9.2,0.393,1.3,2.6,0.5,3.3,13.1,2,0.7,2.6,2.6,10.8,9.5,2008
Tina Thompson*,HOU,F,30,1074,30,29,1074,9.2,22.3,0.413,2.7,6.8,0.406,6.5,15.5,0.416,5.4,6.3,0.859,2.3,10.2,3.2,1.6,1,5.5,3.6,26.5,2008
Erin Thorn,NYL,G,32,380,32,5,380,5.1,14.9,0.34,2.7,10,0.268,2.4,4.9,0.486,1.4,1.5,0.909,0.3,2.8,5.1,1,0.3,2.8,3.1,14.2,2008
Barbara Turner,CON,G-F,34,663,34,6,663,6.3,15.1,0.417,3.5,9.3,0.373,2.8,5.8,0.486,5.4,7,0.775,1.8,8.5,4.1,0.9,1.1,3.1,4.9,21.5,2008
Krystal Vaughn,WAS,F,15,78,15,0,78,2,12.8,0.158,0,1.3,0,2,11.5,0.176,4,6.7,0.6,2.7,10.1,0,1.3,1.3,6.7,4,8.1,2008
DeMya Walker,SAC,F,7,52,7,0,52,5,11,0.455,0,0,,5,11,0.455,1,2,0.5,4,6,1,5,0,10,10,11,2008
Marcedes Walker,HOU,C,2,11,2,0,11,0,19.1,0,0,0,,0,19.1,0,0,9.6,0,23.9,33.4,4.8,0,4.8,19.1,14.3,0,2008
Ann Wauters,SAS,C,32,980,32,31,980,10.5,19.7,0.533,0.6,1.7,0.355,9.9,18.1,0.549,3.8,5.3,0.714,2.5,12.9,3,1.9,2,3.8,4,25.4,2008
Kendra Wecker,WAS,F,9,48,9,0,48,2.2,18.6,0.118,1.1,7.7,0.143,1.1,11,0.1,0,0,,4.4,12.1,7.7,3.3,0,7.7,5.5,5.5,2008
Lindsay Whalen*,CON,G,31,908,31,31,908,8.1,17.6,0.461,1.6,4.6,0.338,6.6,13,0.504,7.2,9,0.803,1.9,10,9.5,2.6,0.1,3.3,5,25,2008
Erica White,HOU,G,34,426,34,2,426,3.1,10.9,0.284,0.1,0.9,0.143,3,10,0.296,8.6,9.6,0.897,1.7,5.8,5.8,2.8,0.4,6,7.4,14.9,2008
Tan White,IND,G,33,894,33,22,894,7.1,19.3,0.366,2.3,7.1,0.325,4.8,12.2,0.39,3,3.6,0.85,1.6,6,4.8,2.6,0.8,5.1,5.2,19.5,2008
Tamika Whitmore,CON,F,34,911,34,33,911,9.2,22.4,0.408,1.9,6.2,0.315,7.2,16.3,0.444,4.3,5.5,0.781,2.3,9.2,2.7,1.1,0.7,3.9,5.4,24.6,2008
Khadijah Whittington,IND,F,22,186,22,0,186,4.9,12.6,0.386,0,0,,4.9,12.6,0.386,2.6,4.9,0.529,2.9,9.7,1.7,2.6,3.1,3.4,12,12.3,2008
Candice Wiggins,MIN,G,30,824,30,1,824,8.5,21,0.403,2.3,7.5,0.306,6.2,13.5,0.457,9.9,12.2,0.817,2.4,6,5.6,3.3,0.4,3.5,7,29.1,2008
Brittany Wilkins,SAS,C,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,2008
Adrian Williams-Strong,SAC,C-F,34,687,34,33,687,6.5,14.8,0.439,0,0,,6.5,14.8,0.439,2.6,4.3,0.614,5.1,12.6,1.5,1.4,0.6,4.1,5.5,15.6,2008
Le'coe Willingham,PHO,F,34,834,34,27,834,8.1,14.2,0.57,0.3,1.6,0.185,7.8,12.6,0.618,3.5,4.7,0.741,5,11.7,1.7,1.3,0.4,2.7,6.7,19.9,2008
Lisa Willis,NYL,G,34,458,34,2,458,6.9,16.3,0.421,5.1,11,0.468,1.7,5.4,0.326,3.4,3.5,0.967,0.9,6.8,1.6,3.4,0.6,3.6,5.2,22.3,2008
Tamika Williams,CON,F,34,374,34,1,374,4.2,10,0.417,0,0.3,0,4.2,9.8,0.429,3.3,5.7,0.585,6.7,13.8,1.8,1.4,0.1,3.6,5.6,11.7,2008
Tanisha Wright,SEA,G,34,808,34,14,808,7.2,16.6,0.432,0.3,1.6,0.167,6.9,15,0.46,3.2,4,0.787,2.1,7.7,5.6,2.1,0.5,5.2,6.2,17.8,2008
Brooke Wyckoff,CHI,F,34,594,34,23,594,2.3,6.6,0.342,1.5,4.6,0.314,0.8,2,0.409,0.8,1.5,0.563,1.3,7.2,4.3,1.3,1.7,3.2,7.3,6.8,2008
Sophia Young-Malcolm,SAS,F,33,1054,33,33,1054,10.4,21.7,0.478,0,0.2,0,10.4,21.6,0.481,8.1,10.3,0.786,2.6,9.3,3.8,2.7,0.9,2.9,4.3,28.9,2008
Tamera Young,ATL,F,33,745,33,15,745,5.4,16.2,0.333,0.9,2.7,0.325,4.5,13.5,0.335,4.5,6.5,0.691,3,9.4,2.8,2,0.7,4,6.5,16.2,2008
Sharnee Zoll,MIN,G,6,30,6,0,30,3.4,13.6,0.25,1.7,5.1,0.333,1.7,8.5,0.2,8.5,10.2,0.833,1.7,5.1,5.1,1.7,0,5.1,3.4,17,2008
Alison Bales,TOT,C,31,515,31,9,515,4.3,10.9,0.4,0.3,0.8,0.375,4,10.1,0.402,2.8,3.9,0.7,2.7,12.2,1.3,2,4.2,1.3,5.4,11.7,2008
Tasha Humphrey,TOT,C,30,509,30,23,509,9.9,21.3,0.466,2.7,7,0.382,7.2,14.3,0.507,3.2,4,0.795,3.6,11.6,3.2,1.8,0.8,4.6,9.4,25.7,2008
Amber Jacobs,TOT,G,11,143,11,3,143,2.2,8.4,0.261,1.8,5.5,0.333,0.4,2.9,0.125,1.1,1.5,0.75,0.7,3.3,6.2,1.1,0,5.9,5.1,7.3,2008
Camille Smith,TOT,F,32,663,32,15,663,7.6,15.1,0.503,0.7,2,0.36,6.9,13.1,0.524,3.6,5.7,0.639,3.7,9.7,2.8,2.2,1,4.7,6.8,19.5,2008
Stacey Lovelace,TOT,C,22,302,22,9,302,6.4,16,0.396,2,4.8,0.414,4.3,11.2,0.388,2.2,3.2,0.684,3.5,10.2,2.7,3,1.7,3.7,6.7,16.9,2008
Kristen Mann,TOT,F,18,254,18,8,254,3.8,9.5,0.396,0.8,1.8,0.444,3,7.8,0.385,1,1,1,2,4.6,3,1.8,1,3,4.6,9.3,2008
Taj McWilliams-Franklin,TOT,F-C,33,1047,33,33,1047,8.7,17.3,0.506,0.4,1.3,0.308,8.3,16,0.522,3.3,4.3,0.776,3.8,12,2.7,2.4,1.5,4.2,4,21.2,2008
Shay Murphy,TOT,G,17,138,17,3,138,5.3,18.2,0.292,1.9,7.6,0.25,3.4,10.6,0.321,1.5,2.3,0.667,4.9,9.9,3,2.3,0.8,4.2,7.2,14.1,2008
Ashley Shields,TOT,G,10,56,10,0,56,7.5,27.2,0.276,2.8,10.3,0.273,4.7,16.9,0.278,4.7,7.5,0.625,0,2.8,2.8,1.9,0,6.6,5.6,22.5,2008
Crystal Smith,TOT,G,29,392,29,4,392,5.2,14.8,0.355,1.9,5.1,0.368,3.4,9.7,0.347,3.9,4.8,0.806,1.3,3.8,3.4,1.9,0.3,4.6,5.8,16.2,2008
Kasha Terry,TOT,C-F,22,299,22,8,299,6.2,13.6,0.457,0,0,,6.2,13.6,0.457,3.4,5.6,0.606,4.7,11.6,2,1.7,1.9,7.2,9.3,15.8,2008
LaToya Thomas,TOT,F,20,187,20,0,187,6.3,14.5,0.434,1.4,2.5,0.556,4.9,12,0.409,1.1,2.5,0.444,2.7,8.2,1.1,0.8,0.3,5.5,5.2,15.1,2008
Alison Bales,IND,C,14,126,14,0,126,5.9,15.2,0.389,0.8,2.1,0.4,5.1,13.1,0.387,3,3.8,0.778,3,9.3,0.8,2.1,5.9,1.3,7.6,15.6,2008
Tasha Humphrey,DET,C,22,297,22,16,297,11,21.9,0.5,2.7,6.9,0.385,8.3,15,0.553,3.7,3.9,0.955,4.4,11.1,3.9,2.3,1.1,4.2,10.4,28.3,2008
Amber Jacobs,WAS,G,6,82,6,3,82,1.9,7.7,0.25,1.9,6.4,0.3,0,1.3,0,0.6,1.3,0.5,0.6,4.5,7.1,1.9,0,5.1,4.5,6.4,2008
Camille Smith,ATL,F,13,221,13,2,221,4.8,11.3,0.42,0.9,2.3,0.4,3.9,9.1,0.425,3.6,6.1,0.593,4.1,9.1,2,2.3,1.6,4.1,7.7,14.1,2008
Stacey Lovelace,ATL,C,15,258,15,7,258,7,17.3,0.404,1.9,4.7,0.417,5.1,12.6,0.4,1.7,2.5,0.692,3.9,10.5,2.9,3.3,1.9,3.5,6.6,17.7,2008
Kristen Mann,ATL,F,13,223,13,8,223,4,9.9,0.409,0.9,1.8,0.5,3.1,8.1,0.389,1.1,1.1,1,2,4.3,3.1,1.8,0.9,3.1,5.2,10.1,2008
Taj McWilliams-Franklin,WAS,F-C,26,862,26,26,862,9,17.1,0.525,0.4,1.5,0.28,8.5,15.6,0.549,2.8,3.8,0.73,3.6,11.7,2.5,2.7,1.5,4.6,3.8,21.2,2008
Shay Murphy,MIN,G,2,5,2,0,5,10.2,50.9,0.2,0,0,,10.2,50.9,0.2,0,0,,20.3,20.3,0,0,0,0,20.3,20.3,2008
Ashley Shields,HOU,G,3,12,3,0,12,0,30.7,0,0,8.8,0,0,21.9,0,8.8,17.5,0.5,0,0,4.4,4.4,0,4.4,13.1,8.8,2008
Crystal Smith,MIN,G,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,2008
Kasha Terry,IND,C-F,2,24,2,0,24,2.2,11.1,0.2,0,0,,2.2,11.1,0.2,0,0,,2.2,11.1,4.4,0,0,13.3,6.6,4.4,2008
LaToya Thomas,DET,F,7,40,7,0,40,5.3,19.7,0.267,0,2.6,0,5.3,17.1,0.308,0,0,,2.6,6.6,1.3,1.3,1.3,2.6,3.9,10.5,2008
Alison Bales,ATL,C,17,389,17,9,389,3.9,9.5,0.405,0.1,0.4,0.333,3.7,9.2,0.408,2.7,4,0.677,2.6,13.1,1.4,1.9,3.7,1.3,4.8,10.6,2008
Tasha Humphrey,WAS,C,8,212,8,7,212,8.4,20.4,0.415,2.7,7.2,0.379,5.7,13.2,0.434,2.5,4.2,0.588,2.5,12.2,2.2,1,0.5,5.2,7.9,22.1,2008
Amber Jacobs,LAS,G,5,61,5,0,61,2.6,9.4,0.273,1.7,4.3,0.4,0.9,5.1,0.167,1.7,1.7,1,0.9,1.7,5.1,0,0,6.8,6,8.5,2008
Camille Smith,SEA,F,19,442,19,13,442,9.1,17.1,0.532,0.6,1.8,0.333,8.5,15.3,0.556,3.6,5.5,0.667,3.5,10.1,3.3,2.2,0.7,5.1,6.3,22.4,2008
Stacey Lovelace,DET,C,7,44,7,2,44,2.4,8.4,0.286,2.4,6,0.4,0,2.4,0,4.8,7.2,0.667,1.2,8.4,1.2,1.2,0,4.8,7.2,11.9,2008
Kristen Mann,IND,F,5,31,5,0,31,1.7,6.9,0.25,0,1.7,0,1.7,5.1,0.333,0,0,,1.7,6.9,1.7,1.7,1.7,1.7,0,3.4,2008
Taj McWilliams-Franklin,DET,F-C,7,185,7,7,185,7.7,18.2,0.422,0.3,0.3,1,7.4,17.9,0.413,5.7,6.2,0.909,4.8,13.3,3.7,0.9,1.4,2.6,5.1,21.3,2008
Shay Murphy,DET,G,13,122,13,3,122,5.2,17.2,0.3,2.2,8.2,0.263,3,9,0.333,1.7,2.6,0.667,3.4,9,3,2.6,0.9,3.9,6.9,14.2,2008
Ashley Shields,DET,G,7,44,7,0,44,9.5,26.3,0.364,3.6,10.7,0.333,6,15.5,0.385,3.6,4.8,0.75,0,3.6,2.4,1.2,0,7.2,3.6,26.3,2008
Crystal Smith,WAS,G,28,392,28,4,392,5.2,14.8,0.355,1.9,5.1,0.368,3.4,9.7,0.347,3.9,4.8,0.806,1.3,3.8,3.4,1.9,0.3,4.6,5.8,16.2,2008
Kasha Terry,ATL,C-F,20,275,20,8,275,6.6,13.9,0.474,0,0,,6.6,13.9,0.474,3.6,6,0.606,4.9,11.7,1.8,1.8,2,6.7,9.5,16.8,2008
LaToya Thomas,MIN,F,13,147,13,0,147,6.6,13.1,0.5,1.7,2.4,0.714,4.8,10.7,0.452,1.4,3.1,0.444,2.8,8.6,1,0.7,0,6.2,5.5,16.3,2008
Shay Murphy,WAS,G,2,11,2,0,11,4.8,14.4,0.333,0,4.8,0,4.8,9.6,0.5,0,0,,14.4,14.4,4.8,0,0,9.6,4.8,9.6,2008
Svetlana Abrosimova,MIN,F,34,843,34,29,843,8,18.1,0.443,2.7,6.1,0.446,5.3,12,0.442,2.2,2.6,0.837,3.2,9.1,5.2,2.7,0.2,4.1,5.2,21,2007
Chantelle Anderson,SAS,C,11,86,11,1,86,6.2,12.4,0.5,0,0,,6.2,12.4,0.5,5,7.5,0.667,3.7,12.4,1.9,0.6,3.1,3.1,6.8,17.4,2007
La'Tangela Atkinson,SAC,G-F,28,226,28,0,226,5.2,11.1,0.468,0,0.5,0,5.2,10.7,0.489,3.3,4.5,0.737,3.1,10.4,3.6,2.4,1.2,7.8,3.6,13.7,2007
Seimone Augustus*,MIN,G-F,34,1093,34,34,1093,13.9,27.4,0.508,1.2,2.9,0.419,12.7,24.5,0.518,7.1,8.1,0.873,1.7,6.4,3.7,1.9,1,3.9,2.7,36.1,2007
Alison Bales,IND,C,17,169,17,0,169,7.5,13.1,0.571,0,0,,7.5,13.1,0.571,2.2,2.5,0.875,3.8,14.1,0.6,1.3,4.1,2.2,4.4,17.2,2007
Mistie Bass,HOU,F,19,101,19,0,101,4.6,16.4,0.281,0,0.5,0,4.6,15.9,0.29,2.1,8.2,0.25,7.2,14.4,2.6,2.6,3.1,5.6,8.2,11.3,2007
Ashley Battle,NYL,F,34,757,34,5,757,6.2,17.1,0.365,2,6.5,0.312,4.2,10.6,0.397,3.1,4.1,0.776,2.2,8.8,3.9,2.4,0.1,3.4,3.5,17.6,2007
Alana Beard,WAS,G-F,33,1169,33,33,1169,9.9,23.8,0.416,2.1,6.5,0.322,7.8,17.4,0.45,5.6,6.6,0.847,1.1,6.1,4.4,2.8,1.1,4.2,4.6,27.5,2007
Tully Bevilaqua,IND,G,34,901,34,34,901,3.9,8.8,0.44,1.9,5.2,0.371,1.9,3.6,0.541,0.9,1.3,0.682,0.9,4.4,5.4,3.3,0.1,3.1,5.2,10.6,2007
Sue Bird*,SEA,G,29,919,29,29,919,6.7,15.6,0.428,2.5,7.5,0.338,4.1,8.1,0.51,1.2,1.5,0.846,0.5,3.2,8.1,2.4,0.5,3.8,2.6,17.1,2007
Nikki Blue,WAS,G,30,420,30,1,420,4.3,13.3,0.324,0.7,3.3,0.222,3.6,10,0.358,3.8,4.6,0.838,1.6,7.8,5.9,2.7,0.6,4.6,6.8,13.2,2007
Lindsay Bowen,NYL,G,6,37,6,1,37,4.3,14.3,0.3,4.3,8.6,0.5,0,5.7,0,0,0,,0,2.9,1.4,0,0,5.7,0,12.9,2007
Kara Braxton,DET,C-F,31,545,31,20,545,7.8,17.5,0.447,0,0,,7.8,17.5,0.447,3.6,5.4,0.672,5,15.5,1.5,1.3,1.5,5.8,8.5,19.3,2007
Rebekkah Brunson,SAC,F,33,932,33,29,932,8.1,17.1,0.473,0,0.2,0,8.1,16.9,0.48,5.5,8,0.686,7.5,16.9,1.4,2.5,1.8,3.3,4.5,21.7,2007
Janell Burse,SEA,C,29,709,29,29,709,6.8,15.3,0.445,0,0.1,0,6.8,15.2,0.447,5.1,7.4,0.693,4.9,11.3,1.6,1,2.1,4.3,6.3,18.8,2007
Latasha Byears,HOU,G-F,30,327,30,0,327,10.3,17.4,0.591,0,0,,10.3,17.4,0.591,3.3,5.7,0.583,5.9,11.9,2.5,3.6,0.8,5.9,9.5,23.9,2007
Dominique Canty,CHI,G,30,776,30,27,776,6,16.5,0.361,0.3,1.1,0.25,5.7,15.4,0.369,5.6,7.9,0.704,1.3,4.4,8.4,2.1,0.3,3.9,2.9,17.7,2007
Jamie Carey,CON,G,33,419,33,0,419,4.5,12.4,0.366,3.9,8.7,0.451,0.6,3.7,0.167,0.7,1,0.75,0.1,3.7,3.7,0.5,0,2,3.7,13.8,2007
Swin Cash*,DET,F,31,959,31,31,959,6.7,16.2,0.41,0,0.2,0,6.7,16.1,0.414,4.9,6.4,0.76,2.9,10,4.2,1,0.7,4.3,3.7,18.2,2007
Iziane Castro Marques,SEA,F-G,34,963,34,34,963,7.5,17.9,0.42,3.2,8.4,0.385,4.3,9.4,0.451,4.4,5.5,0.802,1,5.2,5.1,1.9,0.2,3.5,3.8,22.6,2007
Tamika Catchings*,IND,F,21,678,21,21,678,8.4,20.2,0.417,1.8,5.8,0.311,6.6,14.4,0.459,8.5,10.4,0.82,4.2,14.7,7.6,5.1,1.7,4.8,5,27.1,2007
Cori Chambers,CON,G,1,1,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,103,0,0,2007
Kayte Christensen,CHI,F,23,212,23,7,212,5,12,0.417,0,0,,5,12,0.417,2,4.5,0.444,4.3,10.8,1.8,2.5,1.3,5.3,14.8,12,2007
Shameka Christon,NYL,G,33,1065,33,32,1065,5.9,16.3,0.36,1.9,5.9,0.328,3.9,10.4,0.378,4.6,5.8,0.795,1.7,7.4,3.5,1.7,0.9,4.1,4.9,18.3,2007
Claire Coggins,CHI,G,20,196,20,1,196,5.2,20.9,0.247,2.7,13.6,0.2,2.4,7.3,0.333,0.3,1.1,0.25,0.8,4.3,2.2,1.4,0.3,5.2,7.6,13.3,2007
Stacey Dales,CHI,F,31,845,31,30,845,6.9,19.8,0.347,4.3,12.6,0.338,2.6,7.1,0.363,2.1,2.5,0.846,0.9,3.5,5.2,1.3,0,3.6,3.3,20.1,2007
Helen Darling,SAS,G,33,684,33,19,684,3.6,9.4,0.383,1.2,3.2,0.366,2.4,6.2,0.392,2.1,2.7,0.771,0.5,5.4,8.1,3.5,0.1,4.1,6.6,10.5,2007
Jessica Davenport,NYL,C,33,382,33,13,382,8.5,19,0.445,0,0.1,0,8.5,18.9,0.449,7.5,9.2,0.818,3.1,12.2,1.2,1,4,6.1,9,24.4,2007
Dee Davis,HOU,G,3,19,3,0,19,5.5,16.4,0.333,5.5,8.2,0.667,0,8.2,0,0,0,,0,0,0,0,0,13.6,5.5,16.4,2007
Anna DeForge,IND,G,34,795,34,34,795,7.4,17.8,0.418,2.9,7,0.41,4.6,10.8,0.423,1.9,2.1,0.906,1.9,7.4,3.5,1.7,0.3,3.1,2.4,19.7,2007
Jennifer Derevjanik,PHO,G,23,200,23,0,200,3.1,7.2,0.433,0.2,2.4,0.1,2.9,4.8,0.6,2.1,2.6,0.818,1.2,5.5,5.7,1.4,0.2,3.8,4.3,8.6,2007
Erika de Souza,CON,F-C,32,391,32,2,391,8.3,15.5,0.534,0,0,,8.3,15.5,0.534,1.3,2.8,0.476,4.9,12.8,1.8,0.9,3.8,4.6,7.2,17.9,2007
Tamecka Dixon,HOU,G,18,490,18,0,490,9.5,21.7,0.439,0.5,1.8,0.294,9,19.9,0.452,3.3,3.8,0.861,1.3,6,6,2.5,0.6,4,4.4,22.8,2007
Shay Doron,NYL,G,7,35,7,2,35,6.1,16.7,0.364,1.5,1.5,1,4.5,15.1,0.3,1.5,3,0.5,0,4.5,0,4.5,0,1.5,3,15.1,2007
Scholanda Dorrell,SAC,G,34,525,34,0,525,7,17.3,0.406,0.8,3.3,0.25,6.2,14.1,0.442,5.1,7.1,0.714,2.3,4.9,3.1,3.8,1,4.7,5.6,20,2007
Katie Douglas,CON,G-F,34,1133,34,34,1133,9.4,22,0.428,3.1,9.1,0.338,6.3,12.9,0.491,4.3,5.5,0.779,2.2,7.2,5.7,3,0.5,4.3,3,26.2,2007
Megan Duffy,MIN,G,5,48,5,0,48,1.1,9.6,0.111,1.1,8.6,0.125,0,1.1,0,4.3,4.3,1,2.1,5.3,7.5,1.1,0,4.3,7.5,7.5,2007
Candice Dupree,CHI,F,33,1078,33,33,1078,10.4,23.2,0.446,0,0.2,0,10.4,23,0.451,6.1,7.9,0.775,3.9,12.5,2.3,1.4,2,4,4,26.8,2007
Margo Dydek,CON,C,32,643,32,30,643,7.3,15,0.487,0.2,0.4,0.4,7.1,14.6,0.489,2.4,3,0.789,3,16.7,2.5,1,5.3,4.1,6,17.1,2007
Shyra Ely-Gash,SEA,F,29,282,29,0,282,3.7,11.4,0.323,0.9,2.8,0.333,2.8,8.7,0.319,3.7,5.7,0.645,1.8,7.2,2,1.5,0.2,3.5,5.2,12,2007
Barbara Farris,NYL,F-C,28,237,28,0,237,4.5,13,0.345,0,0,,4.5,13,0.345,2.9,3.6,0.813,3.6,9.6,2.9,1.3,0.2,4.2,7.2,11.8,2007
Marie Ferdinand-Harris,SAS,G,34,481,34,12,481,6.8,18.9,0.359,0.7,3,0.222,6.1,15.9,0.385,4,4.4,0.9,3.7,9,3.1,2.1,0.3,4.1,6.1,18.2,2007
Marta Fernandez,LAS,G,34,891,34,20,891,6.2,16.3,0.379,0.7,2.8,0.245,5.5,13.5,0.408,4.1,5.1,0.798,0.7,4.2,5.8,2.1,0.8,5.2,1.8,17.2,2007
Cheryl Ford,DET,F,15,460,15,15,460,7.8,15.8,0.497,0,0,,7.8,15.8,0.497,5.8,9.2,0.639,5.3,18.5,2.4,3.1,1.2,4.6,6,21.5,2007
Linda Frohlich,SAC,F-C,10,51,10,0,51,4.2,13.6,0.308,2.1,3.1,0.667,2.1,10.5,0.2,4.2,4.2,1,2.1,9.4,2.1,1,1,12.6,10.5,14.7,2007
Katie Gearlds,SEA,G-F,33,437,33,0,437,5.2,13.6,0.386,2.6,7.6,0.344,2.6,5.9,0.44,2.6,3,0.88,1.9,6.3,2.9,1.4,0.7,2.4,2.6,15.7,2007
Gillian Goring,WAS,C,21,156,21,0,156,6.3,14.9,0.422,0,0.3,0,6.3,14.6,0.432,5.3,7,0.762,5.3,13.6,1,1.7,4,1.3,9.3,17.9,2007
Erin Grant,HOU,G,17,211,17,2,211,2.2,5.6,0.391,0,0.5,0,2.2,5.2,0.429,1.7,2.5,0.7,1.7,4.7,9.1,1.7,0,2.7,4.9,6.1,2007
Yolanda Griffith*,SAC,C-F,32,738,32,32,738,7.8,15.4,0.502,0,0,,7.8,15.4,0.502,5.4,8.3,0.658,4.6,10.7,3.4,2.4,0.9,4.7,7,21,2007
Kamesha Hairston,CON,F,17,148,17,0,148,3.5,14.3,0.244,1,4.2,0.25,2.4,10.1,0.241,3.1,4.2,0.75,4.9,10.4,2.1,2.4,0,3.1,8.7,11.1,2007
Becky Hammon*,SAS,G,28,934,28,27,934,10.2,23,0.445,4.2,10.5,0.404,6,12.5,0.479,5.4,5.8,0.931,0.5,4.4,8,1.3,0.3,6.5,2.9,30.2,2007
Lindsey Harding,MIN,G,20,602,20,20,602,7.3,20.7,0.354,0.7,3,0.229,6.6,17.7,0.375,4.5,6.6,0.679,1.3,7.4,6.6,1.7,0.5,4,3.7,19.9,2007
Kristin Haynie,SAC,G,34,545,34,2,545,4.7,13.4,0.353,2.2,4.4,0.489,2.6,8.9,0.286,0.8,1,0.8,0.8,3.6,6.9,1.8,0.6,6.7,4.2,12.4,2007
Doneeka Lewis,SEA,G,7,33,7,0,33,6.3,20.5,0.308,0,4.7,0,6.3,15.8,0.4,3.2,3.2,1,0,3.2,9.5,1.6,0,9.5,3.2,15.8,2007
Roneeka Hodges,HOU,G,29,331,29,4,331,4.9,17.4,0.279,3.1,10.5,0.299,1.7,6.9,0.25,3.1,3.4,0.909,1.3,4.7,4.2,2,0,3.1,3.3,16,2007
Ebony Hoffman,IND,F,34,582,34,10,582,5.2,11.6,0.445,0.2,0.5,0.4,5,11.2,0.447,2.5,3.1,0.824,3.6,12.4,2.4,1.9,1.6,3.7,6.3,13.1,2007
Chamique Holdsclaw,LAS,F,5,150,5,5,150,10.6,21.6,0.492,0.7,1,0.667,10,20.6,0.483,5.1,6.2,0.833,3.1,9.6,5.1,2.1,1,8.9,4.8,27.1,2007
Sandora Irvin,SAS,F,23,128,23,0,128,5.4,17.5,0.31,0,1.7,0,5.4,15.9,0.342,0.4,0.8,0.5,6.7,16.7,2.9,1.3,4.2,4.6,8.4,11.3,2007
Lauren Jackson*,SEA,F-C,31,1020,31,31,1020,13.1,25.3,0.519,2.5,6.2,0.402,10.7,19.1,0.557,8.9,10,0.883,4.1,15.3,2,1.6,3.2,2.9,4.7,37.7,2007
Tiffany Jackson-Jones,NYL,F,34,474,34,0,474,7.2,17.2,0.416,0,0,,7.2,17.2,0.416,5,8.8,0.57,3.5,11.6,2.1,2.6,1.3,5.5,7.4,19.3,2007
Amber Jacobs,MIN,G,29,328,29,0,328,5.3,16,0.333,2.7,10.2,0.262,2.7,5.8,0.459,1.3,2,0.615,0.6,3.1,6.3,1.4,0,6.4,4.8,14.5,2007
Tamara James,WAS,G-F,31,401,31,9,401,6.7,17.3,0.388,2.3,6.4,0.36,4.4,10.8,0.405,5.8,6.8,0.849,1.9,6.3,4.4,3.2,0.5,3.6,5.5,21.5,2007
Cathy Joens,CHI,G-F,19,271,19,0,271,6.1,15.5,0.392,4.3,8.8,0.489,1.8,6.7,0.265,2.2,2.6,0.846,1.2,6.5,6.3,3.3,0.2,2.6,3.5,18.6,2007
Shannon Johnson,DET,G,33,559,33,8,559,5.2,15.1,0.343,2.6,6.4,0.414,2.5,8.7,0.292,4.5,5.5,0.82,1.6,5.5,5.1,1.8,0.2,3.6,6.2,17.5,2007
Temeka Johnson,LAS,G,11,206,11,11,206,7.2,22,0.33,0.2,0.7,0.333,7,21.2,0.329,2.7,4,0.688,1,7.2,7.5,2,0.2,7.7,4.2,17.5,2007
Vickie Johnson,SAS,G-F,30,852,30,29,852,6,13.4,0.444,1.3,3.1,0.429,4.6,10.4,0.448,2,2.4,0.821,3.2,9,6.5,2.1,0.5,2.3,2.9,15.2,2007
Asjha Jones,CON,F,30,942,30,30,942,10.5,23.5,0.449,0.1,0.7,0.083,10.5,22.8,0.459,3.9,5.1,0.766,3.6,10,4.1,1.4,1.3,5,4.9,25.1,2007
