Lineup,Team,Minutes,Offensive Rating,Defensive Rating
"B. Hammon, A. Wauters, E. Perperoglou, E. Lawson-Wade, S. Young-Malcolm",SAN,30,100.0,92.2
"B. Hammon, H. Darling, R. Riley, B. Snell, S. Young-Malcolm",SAN,30,95.1,84.7
"K. Smith, D. Nolan, C. Ford, K. Braxton, S. Zellous",DET,30,98.2,96.6
"S. Christon, L. Moore, A. Battle, C. Kraayeveld, K. Vaughn",NYL,30,90.8,112.1
"S. Johnson, L. Jackson, S. Bird, T. Wright, C. Little",SEA,30,91.2,105.1
"D. Walker, H. Maiga-Ba, N. Powell, R. Brunson, K. Haynie",SAC,29,113.3,88.3
"N. Sanford, M. Currie, L. Harding, M. Ajavon, C. Langhorne",WAS,29,107.7,89.2
"T. McWilliams-Franklin, D. Nolan, N. Teasley, K. Braxton, S. Zellous",DET,29,125.0,113.2
"T. Smith, D. Taurasi, L. Willingham, C. Pondexter, K. Swanier",PHO,29,118.8,101.4
"T. Smith, P. Taylor, D. Taurasi, C. Pondexter, D. Bonner",PHO,29,114.9,101.5
"B. Hammon, R. Riley, B. Snell, E. Lawson-Wade, S. Young-Malcolm",SAN,28,108.3,91.8
"E. Thorn, J. Perkins, C. Dupree, S. Fowles, K. Toliver",CHI,28,111.5,96.3
"T. Smith, K. Mazzante, T. Johnson, C. Pondexter, D. Bonner",PHO,28,100.0,103.3
"T. Thompson, D. Milton-Jones, M. Ferdinand-Harris, C. Parker, S. Bobbitt",LAS,28,62.0,92.5
"V. Johnson, B. Hammon, H. Darling, E. Perperoglou, S. Young-Malcolm",SAN,28,82.5,96.6
"D. Canty, J. Perkins, S. Ely-Gash, C. Dupree, M. Bass",CHI,27,90.0,113.7
"L. Leslie, T. Thompson, K. Harrower, D. Milton-Jones, N. Quinn",LAS,27,112.0,112.0
"L. Leslie, T. Thompson, M. Ferdinand-Harris, N. Quinn, C. Parker",LAS,27,103.9,92.0
"P. Taylor, N. Ohlde, D. Taurasi, K. Swanier, D. Bonner",PHO,27,84.4,84.6
"S. Augustus, C. Wiggins, N. Anosike, C. Houston, R. Montgomery",MIN,27,123.0,93.2
"T. Bevilaqua, T. Sutton-Brown, T. Catchings, E. Hoffman, B. January",IND,27,72.7,100.0
"T. Thompson, D. Milton-Jones, N. Quinn, C. Parker, S. Bobbitt",LAS,27,105.6,87.0
"V. Johnson, B. Hammon, R. Riley, E. Lawson-Wade, S. Young-Malcolm",SAN,27,100.0,105.4
"K. Miller, R. Hodges, N. Anosike, C. Houston, R. McCants",MIN,26,120.4,94.4
"K. Smith, T. McWilliams-Franklin, B. Farris, D. Nolan, S. Zellous",DET,26,85.2,56.9
"K. Smith, T. McWilliams-Franklin, C. Ford, A. Hornbuckle, S. Zellous",DET,26,94.1,68.0
"S. Christon, J. McCarville, A. Battle, C. Kraayeveld, L. Mitchell",NYL,26,106.0,107.7
"T. Humphrey, C. Wiggins, N. Anosike, R. McCants, R. Montgomery",MIN,26,112.8,82.6
"T. Penicheiro, N. Powell, R. Brunson, S. Dorrell, C. Paris",SAC,26,103.8,100.0
"T. Smith, K. Mazzante, D. Taurasi, L. Willingham, T. Johnson",PHO,26,101.9,103.6
"T. Thompson, K. Harrower, D. Milton-Jones, B. Lennox, M. Ferdinand-Harris",LAS,26,90.2,136.7
"T. Whitmore, A. Jones, L. Whalen, E. Phillips, B. Turner",CON,26,74.5,78.0
"V. Johnson, B. Hammon, R. Riley, E. Perperoglou, S. Young-Malcolm",SAN,26,89.6,128.9
"C. Wiggins, N. Anosike, C. Houston, R. McCants, R. Montgomery",MIN,25,67.9,80.0
"N. Ohlde, D. Taurasi, T. Johnson, C. Pondexter, D. Bonner",PHO,25,135.1,70.9
"T. Dixon, T. Sutton-Brown, T. Catchings, E. Hoffman, B. January",IND,25,87.2,71.1
"A. Jones, L. Whalen, E. Phillips, S. Gruda, A. Jekabsone-Zogota",CON,24,89.4,70.2
"B. Hammon, H. Darling, R. Riley, E. Perperoglou, S. Young-Malcolm",SAN,24,69.8,110.2
"K. Miller, R. Hodges, T. Humphrey, C. Wiggins, N. Anosike",MIN,24,128.6,115.4
"R. Hodges, C. Wiggins, C. Houston, Q. Hollingsworth, R. Montgomery",MIN,24,75.9,88.7
"S. Christon, J. McCarville, L. Moore, A. Battle, T. Jackson-Jones",NYL,24,107.1,69.0
"S. Johnson, J. Burse, L. Jackson, S. Cash, T. Wright",SEA,24,76.9,96.2
"B. Hammon, H. Darling, E. Perperoglou, B. Snell, S. Young-Malcolm",SAN,23,64.7,93.9
"C. Holdsclaw, C. Miller, N. Teasley, E. de Souza, S. Lyttle",ATL,23,93.9,106.7
"K. Miller, R. Hodges, C. Wiggins, C. Houston, Q. Hollingsworth",MIN,23,98.1,94.2
"T. Penicheiro, N. Powell, S. Dorrell, C. Kelly, L. Harper",SAC,23,93.0,133.3
"T. Thompson, K. Harrower, D. Milton-Jones, B. Lennox, V. Hayden",LAS,23,78.3,80.9
"C. Holdsclaw, E. de Souza, S. Lyttle, A. McCoughtry, S. Lehning",ATL,22,104.2,106.4
"D. Canty, B. Wyckoff, J. Perkins, S. Ely-Gash, C. Dupree",CHI,22,95.9,81.6
"E. Thorn, C. Nan, C. Dupree, A. Herrington, K. Toliver",CHI,22,78.7,77.1
"J. McCarville, L. Moore, A. Battle, C. Kraayeveld, E. Carson",NYL,22,77.6,88.5
"J. Perkins, C. Nan, C. Dupree, A. Herrington, K. Toliver",CHI,22,108.7,100.0
"K. Mazzante, N. Ohlde, C. Pondexter, K. Swanier, D. Bonner",PHO,22,97.8,110.4
"K. Miller, R. Hodges, C. Wiggins, N. Anosike, L. Sanders",MIN,22,83.7,113.6
"K. Smith, T. McWilliams-Franklin, K. Braxton, A. Hornbuckle, S. Zellous",DET,22,117.1,76.6
"N. Sanford, A. Beard, M. Currie, M. Ajavon, C. Langhorne",WAS,22,64.6,97.9
"R. Hodges, C. Houston, Q. Hollingsworth, R. McCants, R. Montgomery",MIN,22,114.3,131.8
"S. Johnson, J. Burse, S. Bird, T. Wright, C. Little",SEA,22,88.9,104.9
"T. Dixon, T. Bevilaqua, T. Sutton-Brown, T. Catchings, E. Hoffman",IND,22,100.0,117.0
"T. Penicheiro, D. Walker, K. Lawson, N. Powell, C. Paris",SAC,22,106.8,97.7
"T. Penicheiro, D. Walker, K. Lawson, N. Powell, R. Brunson",SAC,22,116.7,102.5
"V. Johnson, B. Hammon, A. Wauters, H. Darling, S. Young-Malcolm",SAN,22,150.0,95.1
"C. Holdsclaw, I. Castro Marques, E. de Souza, S. Lyttle, I. Latta",ATL,21,128.3,78.7
"D. Taurasi, L. Willingham, T. Johnson, C. Pondexter, D. Bonner",PHO,21,134.8,89.8
"M. Snow, I. Castro Marques, S. Lyttle, A. McCoughtry, S. Lehning",ATL,21,134.9,102.0
"P. Taylor, N. Ohlde, T. Johnson, C. Pondexter, D. Bonner",PHO,21,104.0,93.8
