Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%
TRACY REID,CHA,22,3.7,6.2,59.7,0.7,2.3,31.4,0.6,1.7,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
TRENA TRICE-HILL,NYL,33,0.4,0.6,66.7,0.3,0.9,33.3,0.0,0.2,0.0,-,-,-,-,-,-,0.0,0.0,0.0
TRICIA BADER BINFORD,UTA,26,0.2,0.3,57.1,0.0,0.2,0.0,0.1,0.8,12.5,-,-,-,0.3,0.5,50.0,0.6,1.6,36.0
TULLY BEVILAQUA,CLE,26,0.2,0.3,66.7,0.1,0.1,100,0.4,0.6,57.1,0.0,0.0,0.0,-,-,-,0.3,0.8,33.3
UMEKI WEBB,PHO,24,1.1,2.5,45.9,0.6,1.7,37.3,0.0,0.7,4.8,0.0,0.2,0.0,1.0,1.0,100,0.1,0.8,10.0
VICKIE JOHNSON,NYL,27,1.8,3.1,59.8,0.7,1.8,41.5,1.6,4.2,38.1,0.3,0.7,50.0,1.0,1.4,71.4,0.6,1.8,31.1
VICKY BULLETT,CHA,31,1.0,1.7,55.8,2.1,4.4,48.9,2.2,5.3,41.1,0.0,0.2,0.0,0.0,0.0,0.0,0.2,1.1,16.7
WANDA GUYTON,HOU,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-,-,-,-,-,-,-,-,-
WENDY PALMER,UTA,24,3.0,5.2,56.8,1.3,3.5,36.1,0.8,1.7,44.7,0.0,0.3,0.0,0.0,0.0,0.0,0.5,1.2,37.5
YOLANDA MOORE,HOU,24,0.8,1.3,60.5,0.2,0.7,28.6,0.1,0.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,50.0
