,Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,Year
45,ELENA DELLE DONNE,WAS,34,1.0,1.3,76.7,1.7,3.3,50.6,2.4,5.4,44.8,0.0,0.0,0.0,0.0,0.0,100,1.0,2.6,39.0,2023
46,ELIZABETH WILLIAMS,CHI,31,2.7,4.6,59.0,1.4,2.9,47.0,0.1,0.6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
47,EMILY ENGSTLER,MIN,24,0.5,0.8,55.6,0.0,0.4,0.0,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,28.6,2023
48,EMMA CANNON,IND,35,1.0,1.6,62.2,0.2,0.4,53.8,0.4,1.4,31.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,1.1,39.4,2023
49,EPIPHANNY PRINCE,NYL,36,0.0,0.0,0.0,0.2,0.4,50.0,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,30.0,2023
50,ERICA WHEELER,IND,33,1.4,2.8,51.4,0.8,2.1,37.8,0.7,1.9,36.4,0.1,0.1,66.7,0.1,0.1,66.7,0.7,2.2,29.2,2023
51,EVINA WESTBROOK,LAS,25,0.1,0.3,16.7,0.1,0.3,20.0,0.1,0.2,33.3,0.1,0.1,100,0.0,0.2,0.0,0.1,0.7,7.7,2023
52,EZI MAGBEGOR,SEA,24,3.4,5.1,66.7,1.2,2.9,40.0,0.1,0.7,19.2,0.1,0.2,66.7,0.1,0.1,66.7,0.6,1.7,34.8,2023
53,GABBY WILLIAMS,SEA,27,1.7,2.8,60.7,0.4,1.8,22.2,0.8,2.5,32.0,0.0,0.3,0.0,0.0,0.0,0.0,0.5,2.0,25.0,2023
54,GRACE BERGER,IND,25,0.4,0.7,57.7,0.3,0.7,44.0,0.4,1.2,35.7,0.0,0.1,33.3,0.1,0.2,50.0,0.4,0.7,50.0,2023
55,HALEY JONES,ATL,23,0.5,1.2,42.9,0.5,1.7,29.9,0.2,0.6,40.9,0.0,0.1,0.0,0.0,0.1,33.3,0.1,0.6,22.7,2023
56,HAN XU,NYL,24,0.3,0.3,100,0.4,0.8,50.0,0.1,0.6,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,2023
57,ILIANA RUPERT,ATL,22,0.1,0.2,66.7,0.1,0.1,50.0,0.2,0.4,42.9,0.0,0.3,0.0,0.1,0.2,50.0,0.3,0.9,29.4,2023
58,IVANA DOJKIĆ,SEA,26,0.7,1.1,64.0,0.1,0.7,13.3,0.3,1.0,29.2,0.1,0.1,100,0.1,0.1,50.0,0.9,2.2,41.2,2023
59,JACKIE YOUNG,LVA,26,1.9,2.5,77.8,1.6,3.2,50.4,0.5,1.3,36.0,0.0,0.1,0.0,0.1,0.2,44.4,2.1,4.6,45.9,2023
60,JADE MELBOURNE,SEA,21,0.4,0.6,72.2,0.2,0.8,31.8,0.1,0.1,50.0,0.1,0.1,100,0.1,0.1,100,0.0,0.7,5.6,2023
61,JASMINE DICKEY,DAL,24,0.6,0.8,77.8,0.1,0.8,18.2,0.3,0.9,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2023
62,JASMINE THOMAS,LAS,34,0.1,0.2,42.9,0.2,0.5,29.4,0.2,0.8,29.2,0.2,0.3,50.0,0.0,0.1,33.3,0.3,1.7,20.8,2023
63,JENNIE SIMMS,PHO,30,0.4,1.0,40.0,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2023
64,JESSICA SHEPARD,MIN,27,1.9,2.8,69.0,0.8,1.7,47.2,0.4,1.4,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2023
65,JEWELL LOYD,SEA,30,1.5,2.9,50.9,1.3,3.8,35.2,1.7,5.1,32.8,0.2,0.7,32.0,0.1,0.2,50.0,2.7,7.6,35.8,2023
66,JOCELYN WILLOUGHBY,NYL,26,0.1,0.3,25.0,0.0,0.1,33.3,0.1,0.1,66.7,0.0,0.1,0.0,0.1,0.1,50.0,0.2,0.5,46.2,2023
67,JONQUEL JONES,NYL,30,2.9,4.4,66.1,0.5,0.9,48.6,0.2,0.7,31.0,0.0,0.1,20.0,0.0,0.1,50.0,0.8,2.1,35.7,2023
68,JORDAN HORSTON,SEA,23,1.2,2.4,48.8,0.9,2.6,35.1,0.4,1.5,29.6,0.0,0.2,16.7,0.0,0.0,0.0,0.3,0.9,26.5,2023
69,JORDIN CANADA,LAS,28,2.0,3.3,60.3,0.8,2.4,35.6,0.4,1.7,21.9,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.2,34.2,2023
70,JOYNER HOLMES,SEA,26,0.5,0.9,62.1,0.1,0.3,55.6,0.1,0.7,12.5,0.0,0.0,100,0.1,0.2,50.0,0.4,1.3,27.9,2023
71,KADI SISSOKO,PHO,25,0.3,0.6,50.0,0.1,0.2,44.4,0.1,0.3,36.4,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.4,21.4,2023
72,KAHLEAH COPPER,CHI,29,2.8,5.0,55.3,0.7,1.8,36.8,1.7,4.1,40.4,0.3,0.6,47.6,0.1,0.2,62.5,1.4,3.7,38.0,2023
73,KAILA CHARLES,SEA,26,0.5,0.8,66.7,0.3,1.7,20.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2023
74,KALANI BROWN,DAL,27,2.2,3.2,68.3,0.5,0.9,50.0,0.2,0.3,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
75,KARLIE SAMUELSON,LAS,29,0.3,0.4,71.4,0.3,0.7,39.1,0.4,0.7,56.0,0.2,0.4,53.8,0.0,0.1,33.3,1.2,2.9,41.4,2023
76,KAYANA TRAYLOR,MIN,24,0.2,0.4,50.0,0.0,0.0,0.0,0.3,0.9,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2023
77,KAYLA MCBRIDE,MIN,32,1.1,1.4,74.5,0.6,1.2,45.7,1.1,2.6,43.3,0.2,0.4,50.0,0.1,0.1,60.0,1.9,5.8,32.7,2023
78,KAYLA THORNTON,NYL,31,0.7,1.1,66.7,0.1,0.3,36.4,0.2,0.4,47.1,0.1,0.4,38.5,0.1,0.2,37.5,0.4,1.5,29.3,2023
79,KELSEY MITCHELL,IND,28,2.2,3.7,57.7,0.4,1.1,35.7,1.1,2.7,38.9,0.1,0.4,33.3,0.2,0.3,46.2,2.3,5.7,39.9,2023
80,KELSEY PLUM,LVA,29,2.2,3.2,69.1,1.4,3.0,47.4,0.4,1.1,34.1,0.2,0.4,46.7,0.2,0.5,35.0,2.1,5.4,38.8,2023
