Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%
CHANTE BLACK,TUL,27,1.0,1.7,60.4,0.2,0.7,31.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHARDE HOUSTON,PHO,27,1.8,3.1,59.0,0.9,2.5,37.3,0.5,1.7,27.7,0.2,0.4,57.1,0.3,0.6,45.5,1.1,3.5,31.9
CHAY SHEGOG,CON,23,0.5,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COCO MILLER,LAS,34,0.1,0.5,20.0,0.1,0.4,25.0,0.7,2.2,31.8,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.5,40.0
COURTNEY PARIS,TUL,25,1.4,2.3,59.7,0.1,0.3,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COURTNEY VANDERSLOOT,CHI,24,1.4,2.2,64.0,0.4,1.0,39.4,0.9,2.9,29.3,0.1,0.2,66.7,0.0,0.1,0.0,0.8,2.3,33.8
CRYSTAL LANGHORNE,WAS,26,4.5,6.5,70.0,0.4,1.0,43.3,1.2,3.2,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.5
DANIELLE ADAMS,SAN,24,2.2,3.5,63.6,0.4,1.2,33.3,0.4,1.4,29.2,0.1,0.2,25.0,0.0,0.0,100,1.1,3.1,33.6
DANIELLE MCCRAY,CON,25,0.3,0.9,34.6,0.1,0.3,33.3,0.3,1.0,24.1,0.2,0.5,40.0,0.1,0.3,50.0,0.7,2.1,31.4
DANIELLE ROBINSON,SAN,24,2.2,3.3,66.7,0.4,0.7,50.0,1.8,3.8,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
DAWN EVANS,LAS,24,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,100,-,-,-,0.0,1.0,0.0,0.0,1.0,0.0
DELISHA MILTON-JONES,LAS,38,1.4,2.1,63.9,0.3,1.1,29.7,1.1,2.9,38.1,0.5,1.0,46.4,0.0,0.0,0.0,0.5,1.8,26.7
DEMYA WALKER,NYL,35,1.0,1.8,55.9,0.2,0.7,21.7,0.1,0.7,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEWANNA BONNER,PHO,25,2.8,4.3,64.5,0.8,3.5,22.1,1.4,4.6,31.3,0.3,0.5,58.3,0.1,0.2,40.0,1.3,5.1,26.2
DEVEREAUX PETERS,MIN,23,1.3,2.0,64.4,0.5,1.0,48.3,0.3,0.7,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIANA TAURASI,PHO,31,0.6,1.3,50.0,0.5,0.9,57.1,1.0,2.3,44.4,0.0,0.0,0.0,0.5,0.5,100,1.9,5.1,36.6
DOMINIQUE CANTY,WAS,36,0.7,1.7,40.0,0.0,0.3,0.0,0.3,1.3,25.0,0.0,0.0,0.0,-,-,-,0.0,1.0,0.0
DYMOND SIMON,PHO,23,0.4,0.4,100,0.6,1.9,33.3,0.4,1.4,27.3,0.0,0.3,0.0,0.0,0.3,0.0,0.4,2.6,15.4
EBONY HOFFMAN,LAS,30,0.2,0.4,50.0,0.0,0.3,0.0,0.5,1.0,47.4,0.1,0.3,50.0,0.0,0.1,0.0,0.2,0.9,25.0
EPIPHANNY PRINCE,CHI,25,1.4,2.4,58.7,0.7,2.0,37.3,1.6,3.7,43.8,0.3,0.5,50.0,0.3,0.6,40.0,1.9,4.7,40.2
ERIKA DE SOUZA,ATL,31,3.9,5.9,65.9,0.7,1.9,34.5,0.7,2.3,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERIN PHILLIPS,IND,28,0.8,1.4,52.4,0.1,0.6,16.7,0.3,1.2,25.7,0.3,0.6,45.5,0.4,0.7,60.0,0.5,1.4,36.8
ERIN THORN,MIN,32,0.0,0.1,50.0,0.1,0.1,100,0.1,0.4,22.2,0.2,0.5,33.3,0.0,0.4,0.0,0.6,1.4,40.0
ERLANA LARKINS,IND,27,1.5,2.4,63.4,0.1,0.5,16.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESSENCE CARSON,NYL,26,1.6,2.4,66.3,0.5,1.8,27.4,1.5,4.4,35.1,0.1,0.3,33.3,0.0,0.1,0.0,1.0,2.8,36.2
EWELINA KOBRYN,SEA,31,0.8,1.5,55.6,0.3,0.9,36.7,0.3,1.0,29.4,0.1,0.1,50.0,0.1,0.1,50.0,0.3,0.8,34.8
GLORY JOHNSON,TUL,22,2.9,5.3,54.4,0.5,1.5,36.0,0.4,1.2,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVORY LATTA,TUL,28,1.5,2.5,58.1,0.8,2.1,36.6,0.9,2.1,41.1,0.2,0.5,41.7,0.0,0.5,8.3,1.9,4.6,41.2
IZIANE CASTRO MARQUES,WAS,31,0.5,1.0,45.5,0.3,2.0,15.0,0.5,1.5,31.3,0.0,0.0,0.0,0.2,0.2,100,0.0,0.6,0.0
JANTEL LAVENDER,LAS,24,1.5,2.6,59.8,0.4,1.1,34.2,0.5,1.0,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JASMINE THOMAS,WAS,23,0.8,1.8,44.3,0.5,1.2,42.9,0.8,2.4,32.5,0.1,0.3,28.6,0.2,0.5,41.7,0.9,2.5,36.4
JAYNE APPEL MARINELLI,SAN,25,1.4,2.1,67.6,0.0,0.2,12.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEANETTE POHLEN-MAVUNGA,IND,24,0.4,0.8,53.8,0.1,0.3,30.0,0.2,0.5,37.5,0.5,0.8,55.6,0.4,1.1,33.3,0.5,1.1,41.2
JENE MORRIS,TUL,25,0.2,0.3,66.7,0.0,0.2,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.6,0.9,66.7
JENNA O'HEA,LAS,26,0.6,1.3,50.0,0.0,0.0,0.0,0.1,0.1,100,0.3,0.5,50.0,0.7,1.0,66.7,0.3,0.9,33.3
JENNIFER LACY,TUL,30,0.7,1.8,40.4,0.1,0.6,20.0,0.4,1.0,40.7,0.2,0.9,26.7,0.1,0.5,20.0,1.5,3.4,45.2
JESSICA ADAIR,MIN,26,0.6,0.8,76.9,0.1,0.9,6.7,0.1,0.5,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JESSICA DAVENPORT,IND,28,1.3,2.0,62.3,0.5,1.3,42.9,0.6,1.9,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,33.3
JESSICA MOORE,CON,30,0.3,0.7,45.5,0.1,0.4,20.0,0.2,0.3,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JIA PERKINS,SAN,31,0.8,1.5,51.0,0.4,1.5,24.5,1.3,3.4,37.5,0.2,0.5,40.0,0.2,0.4,44.4,1.2,3.3,38.0
JULIE WOJTA,MIN,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-,-,-,-,-,-,0.0,1.0,0.0
KALANA GREENE,CON,25,0.9,1.5,61.5,0.1,0.4,20.0,0.4,0.9,40.6,0.0,0.2,0.0,0.0,0.1,0.0,0.2,0.5,33.3
KARA BRAXTON,NYL,30,2.6,4.2,61.1,0.3,1.3,22.2,0.1,0.5,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,20.0
KARA LAWSON,CON,32,0.6,1.0,66.7,0.6,1.1,55.6,1.6,3.0,52.0,0.3,0.4,66.7,0.2,0.4,53.8,1.8,4.4,40.9
KARIMA CHRISTMAS-KELLY,IND,23,0.5,1.0,55.2,0.0,0.6,5.6,0.0,0.3,12.5,0.4,0.7,62.5,0.1,0.3,40.0,0.2,1.0,20.0
KATELAN REDMON,NYL,24,0.2,0.3,50.0,0.3,1.0,33.3,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
KATIE DOUGLAS,IND,34,1.8,3.6,50.4,0.2,0.9,20.7,1.3,3.5,35.7,0.3,0.7,35.0,0.6,1.0,55.2,1.8,4.4,40.7
KATIE SMITH,SEA,39,0.3,0.4,78.6,0.2,0.4,50.0,0.5,1.5,31.4,0.0,0.5,10.0,0.3,0.5,53.8,1.1,2.6,41.4
KAYLA PEDERSEN,TUL,24,1.0,2.1,46.6,0.2,0.7,31.6,0.3,2.2,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,25.0
KELLEY CAIN,NYL,24,0.4,0.9,41.2,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KELLY MILLER,NYL,34,0.1,0.2,50.0,0.0,0.2,0.0,0.2,0.8,22.2,0.3,1.0,33.3,0.0,0.3,0.0,0.0,0.9,0.0
KELSEY GRIFFIN,CON,25,0.7,1.3,53.7,0.1,0.4,33.3,0.2,1.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,20.0
KETIA SWANIER,ATL,26,0.5,0.8,60.7,0.0,0.3,11.1,0.1,0.4,20.0,0.1,0.3,33.3,0.0,0.0,0.0,0.1,0.9,14.8
KIA VAUGHN,NYL,26,1.5,2.5,60.3,0.5,1.8,27.3,0.9,2.4,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRISTI TOLIVER,LAS,26,1.6,2.3,68.8,0.5,1.3,37.2,1.9,3.8,49.2,0.1,0.3,37.5,0.2,0.4,44.4,1.7,3.9,42.5
KRYSTAL THOMAS,PHO,24,2.0,3.5,57.8,0.6,1.5,36.4,0.0,0.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAUREN JACKSON,SEA,32,1.7,2.6,65.2,0.6,1.1,50.0,0.9,2.0,44.4,0.2,0.7,25.0,0.0,0.3,0.0,0.6,2.7,20.8
LAURIE KOEHN,ATL,31,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,16.7,0.7,1.9,36.4
LE'COE WILLINGHAM,CHI,32,0.5,1.2,44.7,0.1,0.3,18.2,0.0,0.2,16.7,0.0,0.1,0.0,0.1,0.2,33.3,0.6,2.1,27.9
LEILANI MITCHELL,NYL,28,0.3,0.6,52.6,0.2,0.6,33.3,0.3,0.7,37.5,0.3,0.7,46.2,0.2,0.3,83.3,1.2,3.2,38.0
LINDSAY WHALEN,MIN,31,2.7,4.2,64.7,0.4,1.3,29.5,1.0,2.5,38.1,0.1,0.2,66.7,0.0,0.0,0.0,0.4,0.7,50.0
LINDSAY WISDOM-HYLTON,WAS,27,1.2,1.7,67.8,0.2,0.6,35.0,0.4,1.4,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINDSEY HARDING,ATL,29,1.4,2.5,57.1,1.0,2.4,43.2,1.8,4.3,41.1,0.0,0.3,0.0,0.0,0.0,100,0.4,1.6,24.1
LYNETTA KIZER,PHO,23,1.1,1.8,60.0,0.2,1.3,13.8,0.7,1.9,39.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.2,75.0
MARISSA COLEMAN,LAS,26,0.4,0.8,48.1,0.1,0.2,25.0,0.2,0.8,30.8,0.2,0.9,25.0,0.1,0.2,25.0,0.3,1.0,25.7
MATEE AJAVON,WAS,27,0.8,2.0,37.9,0.3,0.9,33.3,0.5,2.3,21.3,0.1,0.3,37.5,0.1,0.3,25.0,0.8,2.8,29.9
MAYA MOORE,MIN,24,1.9,3.1,62.3,0.6,1.1,53.8,1.1,2.8,41.1,0.3,0.6,45.5,0.4,0.8,46.2,1.8,4.8,37.8
MICHELLE SNOW,WAS,33,1.0,1.8,58.9,0.8,1.5,50.0,0.8,1.6,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MISTIE BASS,CON,29,2.0,2.9,68.1,0.4,1.1,33.3,0.7,1.8,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONICA WRIGHT,MIN,24,1.5,2.5,59.5,0.3,1.2,22.5,0.8,1.7,49.1,0.2,0.4,50.0,0.1,0.1,50.0,0.4,1.1,32.4
MONIQUE CURRIE,WAS,30,1.4,2.4,61.3,0.4,1.4,29.8,1.3,3.3,39.3,0.1,0.3,25.0,0.1,0.4,37.5,0.5,1.9,26.6
NAKIA SANFORD,PHO,37,1.0,1.6,63.3,0.2,0.6,31.6,0.2,1.0,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,25.0
NATALIE NOVOSEL,WAS,23,0.4,0.7,52.2,0.1,0.3,33.3,0.3,1.0,35.7,0.1,0.7,20.0,0.0,0.2,0.0,0.3,1.1,25.0
NATASHA LACY,WAS,27,0.6,1.2,50.0,0.2,0.5,44.4,0.4,1.4,29.6,0.1,0.2,50.0,0.0,0.2,0.0,0.3,0.9,26.7
NICKY ANOSIKE,LAS,27,0.2,0.6,33.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NICOLE POWELL,NYL,31,0.4,0.8,57.7,0.2,0.5,44.4,0.6,1.4,38.8,0.2,0.6,35.3,0.1,0.6,14.3,1.1,2.6,43.3
NNEKA OGWUMIKE,LAS,22,4.2,6.2,69.0,0.6,2.1,30.4,0.5,1.6,29.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,16.7
NOELLE QUINN,WAS,28,0.4,0.7,59.1,0.2,0.6,26.3,0.8,2.1,35.9,0.4,0.9,43.8,0.1,0.5,20.0,0.8,1.8,43.1
PLENETTE PIERSON,NYL,31,3.0,5.5,55.6,0.7,1.8,40.4,0.7,2.1,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,27.8
REBEKKAH BRUNSON,MIN,31,2.4,4.0,60.2,0.8,1.8,43.6,1.3,3.1,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RENEE MONTGOMERY,CON,26,1.3,2.9,45.9,0.3,1.1,25.0,0.4,2.1,21.4,0.1,0.3,50.0,0.1,0.2,40.0,1.2,3.4,36.2
RIQUNA WILLIAMS,TUL,23,1.2,2.7,43.2,0.5,1.7,32.7,0.7,2.3,28.6,0.6,0.9,64.7,0.0,0.5,0.0,0.8,2.6,31.0
RONEEKA HODGES,TUL,30,0.8,1.2,69.2,0.1,0.2,33.3,0.3,1.2,27.0,0.6,1.5,43.2,0.5,1.1,44.0,0.7,2.5,28.4
RUTH RILEY,CHI,33,0.2,0.4,53.8,0.1,0.4,16.7,0.7,1.6,42.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,27.8
SAMANTHA PRAHALIS,PHO,23,1.1,2.1,50.0,0.8,1.9,42.6,1.3,4.1,31.6,0.0,0.1,0.0,0.1,0.2,33.3,1.0,3.6,27.7
SANCHO LYTTLE,ATL,29,2.0,2.8,71.9,1.2,2.5,48.2,1.8,5.6,31.8,0.1,0.2,66.7,0.0,0.1,0.0,0.8,3.2,25.0
SASHA GOODLETT,IND,22,0.8,1.4,58.3,0.2,0.8,31.6,0.2,0.7,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHOLANDA DORRELL,TUL,30,0.3,0.6,46.7,0.2,0.8,30.0,0.3,1.1,28.6,0.2,0.5,37.5,0.1,0.6,20.0,0.5,1.3,34.4
SEIMONE AUGUSTUS,MIN,29,1.5,2.1,72.1,1.1,2.4,43.7,2.5,5.4,46.2,0.5,0.6,75.0,0.3,0.3,100,1.2,3.1,39.6
SHAMEKA CHRISTON,SAN,31,0.2,0.4,53.3,0.0,0.3,0.0,0.6,1.4,42.9,0.2,0.7,25.0,0.1,0.3,20.0,1.5,4.1,35.5
SHANNON BOBBITT,WAS,27,0.2,0.5,40.0,0.2,0.5,46.2,0.3,0.7,40.0,0.2,0.6,37.5,0.1,0.4,25.0,0.2,1.0,17.9
SHAVONTE ZELLOUS,IND,26,1.1,2.2,48.5,0.1,0.7,17.4,0.7,2.2,33.8,0.4,1.2,30.8,0.2,0.4,50.0,0.2,0.7,33.3
SHAY MURPHY,CHI,28,1.0,2.0,52.6,0.1,0.6,11.8,0.3,1.1,32.3,0.2,0.6,27.3,0.5,0.9,50.0,1.3,2.8,45.3
SHEKINNA STRICKLEN,SEA,22,1.1,1.7,62.1,0.4,1.1,37.8,0.4,1.2,31.7,0.3,0.8,35.3,0.1,0.5,27.3,0.8,2.6,31.8
SHENISE JOHNSON,SAN,22,0.9,1.8,48.4,0.1,0.6,23.8,0.4,1.6,22.6,0.2,0.5,33.3,0.1,0.4,25.0,0.5,1.0,47.1
SONJA PETROVIC,CHI,24,0.4,0.9,50.0,0.2,0.4,50.0,0.6,1.7,34.6,0.2,0.3,50.0,0.0,0.3,0.0,0.5,1.6,30.6
SOPHIA YOUNG-MALCOLM,SAN,29,3.2,4.6,68.6,1.2,3.2,39.0,2.0,4.4,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
SUE BIRD,SEA,32,0.6,0.8,75.0,0.3,0.8,45.5,1.8,3.7,49.1,0.3,0.7,41.7,0.1,0.1,100,1.6,4.2,37.7
SVETLANA ABROSIMOVA,SEA,32,0.5,1.1,42.9,0.4,0.7,50.0,0.5,1.4,37.0,0.4,0.9,40.0,0.2,0.6,33.3,0.1,1.2,10.0
SWIN CASH,CHI,33,1.8,3.4,52.2,0.4,1.3,30.2,0.6,2.1,29.6,0.1,0.4,33.3,0.1,0.2,66.7,0.8,3.0,25.3
SYDNEY CARTER,CHI,22,0.0,0.0,0.0,1.0,1.0,100,1.0,3.0,33.3,-,-,-,-,-,-,0.0,2.0,0.0
SYLVIA FOWLES,CHI,27,5.6,8.0,70.0,0.5,1.1,42.9,0.2,0.7,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAJ MCWILLIAMS-FRANKLIN,MIN,42,2.1,3.4,62.2,0.4,1.0,41.2,1.1,2.6,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,40.0
TAMERA YOUNG,CHI,26,1.8,3.2,56.2,0.5,1.6,27.8,1.3,3.5,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAMIKA CATCHINGS,IND,33,2.9,4.7,62.3,0.4,1.5,23.5,1.1,3.6,32.2,0.1,0.1,66.7,0.0,0.1,0.0,1.4,3.7,37.8
TAMMY SUTTON-BROWN,IND,35,1.1,2.4,47.4,0.1,0.4,15.4,0.3,0.8,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAN WHITE,CON,30,0.4,0.6,61.1,0.2,0.8,28.0,0.4,1.1,36.4,0.1,0.3,40.0,0.3,0.5,50.0,0.7,1.7,38.8
TANGELA SMITH,SAN,36,0.3,0.5,62.5,0.2,0.3,60.0,0.2,0.6,33.3,0.2,0.2,100,0.0,0.0,0.0,0.3,1.2,23.1
TANISHA WRIGHT,SEA,29,1.2,2.1,57.6,0.4,1.5,27.7,0.8,2.2,38.0,0.1,0.1,50.0,0.0,0.1,0.0,0.3,1.4,19.6
TEMEKA JOHNSON,TUL,30,1.6,3.0,53.4,0.6,2.7,21.8,1.0,2.7,38.5,0.2,0.3,50.0,0.1,0.1,66.7,1.0,1.9,52.7
TICHA PENICHEIRO,CHI,38,0.3,0.4,62.5,0.0,0.1,0.0,0.2,0.5,44.4,0.0,0.2,0.0,0.0,0.0,0.0,0.2,1.1,21.4
TIFFANY HAYES,ATL,23,1.6,3.0,52.4,0.3,0.9,31.0,0.2,0.6,27.3,0.0,0.2,0.0,0.0,0.2,0.0,0.7,2.2,30.4
TINA CHARLES,CON,24,3.5,5.4,65.4,1.7,4.0,42.0,2.3,5.6,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,25.0
TINA THOMPSON,SEA,38,0.7,1.1,59.4,0.4,1.0,40.0,0.7,1.7,39.6,0.0,0.0,0.0,0.1,0.1,50.0,1.4,3.2,43.0
TULLY BEVILAQUA,SAN,40,0.0,0.1,50.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.6,16.7
VICTORIA DUNLAP,SEA,23,0.6,1.4,42.9,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-,-,-,0.0,0.0,0.0
YELENA LEUCHANKA,ATL,30,1.0,1.9,51.4,0.2,0.8,20.0,0.1,0.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
ZANE TAMANE,PHO,29,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
ZIOMARA MORRISON,SAN,24,0.6,1.0,62.5,0.0,0.5,8.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,60.0
