,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
1367,Diana Taurasi,PHO,G,31,883,31,9.7,24.2,0.4,5.5,14.4,0.384,4.1,9.8,0.424,7.1,7.8,0.912,0.6,5.3,4.8,0.9,0.6,3.6,5.1,32.0,2017,27.6,1.15942
1369,Alyssa Thomas,CON,F,33,982,33,9.4,18.5,0.509,0.0,0.2,0.0,9.4,18.4,0.514,5.7,10.1,0.567,2.4,11.3,7.4,2.6,0.7,4.9,5.3,24.6,2017,22.9,1.07424
1370,Jasmine Thomas,CON,G,32,902,31,9.3,22.2,0.421,3.0,7.3,0.403,6.4,14.9,0.43,3.1,4.0,0.781,0.7,4.0,7.6,2.8,0.2,4.2,2.8,24.8,2017,24.0,1.03333
1371,Krystal Thomas,WAS,C,34,888,30,5.8,10.6,0.544,0.0,0.0,,5.8,10.6,0.544,2.4,4.0,0.603,6.5,19.3,1.9,1.0,2.2,2.8,5.6,13.9,2017,12.4,1.12097
1372,Kayla Thornton,DAL,F,34,586,1,6.2,15.0,0.412,1.4,5.2,0.279,4.7,9.8,0.483,5.8,7.2,0.8,3.4,9.5,2.5,1.9,0.7,2.0,6.4,19.6,2017,18.2,1.07692
1373,Ramu Tokashiki,SEA,F,33,411,1,5.3,12.0,0.442,0.0,0.4,0.0,5.3,11.6,0.457,2.8,3.4,0.815,2.4,6.8,2.6,1.1,1.1,3.3,9.3,13.4,2017,13.5,0.99259
1374,Kristi Toliver,WAS,G,34,989,34,7.3,17.9,0.407,4.0,11.9,0.338,3.3,6.0,0.544,2.7,3.2,0.867,0.6,3.5,6.1,1.2,0.4,3.3,3.4,21.3,2017,19.3,1.10363
1376,Yvonne Turner,PHO,G,34,434,4,7.7,18.9,0.41,1.5,6.3,0.241,6.2,12.5,0.495,3.4,4.5,0.763,1.4,3.9,4.3,2.2,0.1,4.3,4.5,20.4,2017,20.9,0.97608
1377,Courtney Vandersloot,CHI,G,27,817,22,7.7,14.9,0.516,1.6,4.1,0.382,6.1,10.8,0.567,1.9,2.2,0.861,1.0,6.1,13.2,2.0,0.4,4.9,3.6,18.9,2017,15.9,1.18868
1378,Kia Vaughn,NYL,C,28,549,22,7.0,13.0,0.536,0.0,0.0,,7.0,13.0,0.536,1.3,2.3,0.583,5.1,12.9,1.9,1.1,1.0,2.2,5.2,15.3,2017,14.0,1.09286
1380,Lindsay Whalen*,MIN,G,22,520,22,6.8,15.1,0.451,1.2,3.3,0.353,5.6,11.7,0.479,2.7,3.5,0.75,0.8,5.3,8.9,1.1,0.2,4.3,3.6,17.4,2017,16.6,1.04819
1381,Erica Wheeler,IND,G,34,898,26,9.1,22.7,0.4,2.9,8.8,0.331,6.2,13.9,0.444,2.2,2.8,0.792,0.6,4.4,8.0,2.7,0.1,4.5,4.5,23.3,2017,23.9,0.9749
1382,Sami Whitcomb,SEA,G,33,404,0,6.2,17.1,0.361,4.4,13.1,0.333,1.8,4.0,0.452,2.2,2.7,0.81,1.8,7.2,4.4,3.1,0.0,3.7,6.4,18.9,2017,18.3,1.03279
1384,Courtney Williams,CON,G,34,884,28,10.3,21.8,0.473,0.7,2.1,0.324,9.6,19.7,0.489,2.0,2.3,0.878,2.6,8.0,4.0,1.0,0.4,2.6,3.1,23.3,2017,22.8,1.02193
1385,Elizabeth Williams,ATL,C-F,34,1069,34,7.0,14.4,0.485,0.0,0.0,0.0,7.0,14.4,0.487,2.5,3.9,0.659,5.0,11.6,2.2,1.7,3.1,2.2,3.8,16.5,2017,16.1,1.02484
1386,Riquna Williams,LAS,G,23,408,6,5.7,17.7,0.321,2.5,9.4,0.27,3.2,8.4,0.379,4.8,5.6,0.864,0.8,4.1,2.0,2.4,0.4,3.3,5.3,18.7,2017,20.2,0.92574
1389,Shavonte Zellous,NYL,G,34,991,34,6.4,15.2,0.423,0.8,2.5,0.333,5.6,12.7,0.44,7.1,8.6,0.823,1.7,7.1,5.0,1.5,0.4,3.4,6.0,20.8,2017,19.0,1.09474
1409,Tamera Young,CHI,F,24,697,21,6.5,17.7,0.365,1.6,4.6,0.344,4.9,13.2,0.373,2.8,4.1,0.69,1.3,6.5,4.2,2.3,0.7,3.8,3.9,17.4,2017,19.5,0.89231
1413,Monique Currie,PHO,F,22,460,7,8.0,18.8,0.424,2.8,6.5,0.424,5.2,12.3,0.423,6.2,7.5,0.824,1.2,7.3,5.3,1.9,0.7,2.3,5.4,24.9,2017,22.1,1.1267
